0: [[18, 7, 37, 9], [16, 29], [26, 19, 15], [17, 24, 5, 10, 6, 11, 1, 2, 4, 12, 36], [8, 14], [20, 27, 3, 22, 21], [25, 28], [30, 31, 23, 32, 33, 34], [13, 35]]
1: [[18, 7, 37, 9], [16, 29], [26, 19, 15], [17, 24], [5, 10, 6, 11], [1, 2], [4, 12, 36], [8, 14, 20, 27], [3, 22, 21], [25, 28], [30, 31, 23, 32, 33], [34, 13, 35]]
2: [[18, 7, 37, 9], [16, 29], [26, 19, 15], [17, 24, 5], [10, 6, 11, 1], [2, 4, 12], [36, 8, 14], [20, 27, 3, 22, 21], [25, 28], [30, 31, 23, 32, 33], [34, 13, 35]]
3: [[18, 7, 37, 9], [16, 29], [26, 19], [15, 17, 24], [5, 10, 6, 11, 1], [2, 4, 12], [36, 8, 14], [20, 27, 3, 22, 21], [25, 28], [30, 31, 23, 32, 33], [34, 13, 35]]
4: [[18, 7, 37, 9], [16, 29], [26, 19], [15, 17, 24], [5, 10, 6, 11, 1], [2, 4, 12], [36, 8, 14], [20, 27, 3, 22, 21], [25, 28], [30, 31, 23, 32, 33], [34, 13, 35]]
5: [[18, 7, 37, 9], [16, 29], [26, 19, 15], [17, 24, 5, 10, 6, 11, 1, 2, 4], [12, 36, 8, 14, 20, 27, 3], [22, 21], [25, 28], [30, 31, 23], [32, 33, 34, 13, 35]]
6: [[18, 7, 37, 9], [16, 29], [26, 19, 15], [17, 24, 5, 10], [6, 11, 1], [2, 4, 12], [36, 8], [14, 20, 27], [3, 22], [21, 25, 28], [30, 31, 23, 32, 33], [34, 13, 35]]
7: [[18, 7, 37], [9, 16, 29], [26, 19, 15], [17, 24, 5], [10, 6, 11], [1, 2, 4], [12, 36, 8, 14], [20, 27, 3, 22], [21, 25, 28, 30], [31, 23, 32, 33], [34, 13, 35]]
8: [[18, 7, 37, 9], [16, 29], [26, 19, 15], [17, 24, 5], [10, 6, 11, 1], [2, 4, 12, 36], [8, 14], [20, 27, 3, 22, 21, 25, 28], [30, 31, 23, 32], [33, 34, 13, 35]]
9: [[18, 7, 37, 9], [16, 29], [26, 19, 15], [17, 24, 5, 10, 6, 11, 1, 2, 4, 12, 36], [8, 14, 20, 27, 3, 22, 21], [25, 28, 30, 31, 23, 32, 33], [34], [13, 35]]
10: [[18, 7, 37, 9], [16, 29], [26, 19, 15], [17, 24, 5, 10, 6], [11, 1, 2], [4, 12, 36, 8], [14], [20, 27, 3, 22], [21, 25, 28, 30], [31, 23, 32, 33, 34], [13, 35]]
11: [[18, 7, 37, 9], [16, 29], [26, 19, 15], [17, 24, 5, 10, 6, 11, 1, 2, 4, 12, 36], [8, 14, 20, 27, 3], [22, 21, 25, 28], [30, 31], [23, 32, 33, 34, 13, 35]]
12: [[18, 7, 37, 9], [16, 29], [26, 19, 15], [17, 24, 5, 10], [6, 11], [1, 2, 4], [12, 36, 8, 14, 20, 27], [3, 22], [21, 25, 28], [30, 31, 23], [32, 33, 34, 13, 35]]
13: [[18, 7, 37, 9], [16, 29], [26, 19, 15], [17, 24], [5, 10, 6, 11], [1, 2], [4, 12, 36], [8, 14], [20, 27, 3, 22], [21, 25], [28, 30], [31, 23, 32, 33, 34, 13, 35]]
14: [[18, 7, 37, 9], [16, 29, 26], [19, 15, 17], [24, 5, 10, 6, 11, 1, 2, 4, 12, 36, 8, 14, 20, 27, 3, 22, 21, 25], [28, 30, 31, 23, 32, 33, 34], [13, 35]]
15: [[18, 7], [37, 9], [16, 29, 26], [19, 15, 17], [24, 5], [10, 6, 11], [1, 2, 4], [12, 36], [8, 14, 20], [27, 3, 22, 21], [25, 28], [30, 31, 23, 32], [33, 34, 13, 35]]
16: [[18, 7], [37, 9], [16, 29, 26], [19, 15, 17], [24, 5], [10, 6, 11], [1, 2, 4], [12, 36], [8, 14, 20], [27, 3, 22, 21], [25, 28], [30, 31, 23, 32], [33, 34, 13, 35]]
17: [[18, 7, 37, 9], [16, 29], [26, 19], [15, 17, 24], [5, 10, 6, 11], [1, 2, 4], [12, 36, 8, 14], [20, 27, 3, 22], [21, 25, 28, 30], [31, 23, 32, 33], [34, 13, 35]]
18: [[18, 7, 37, 9], [16, 29, 26], [19, 15, 17, 24, 5], [10, 6, 11, 1, 2, 4], [12, 36, 8, 14], [20, 27, 3, 22], [21, 25, 28, 30], [31, 23, 32], [33, 34, 13, 35]]
19: [[18, 7, 37, 9], [16, 29], [26, 19, 15], [17, 24], [5, 10], [6, 11, 1, 2, 4], [12, 36], [8, 14, 20, 27, 3, 22], [21, 25], [28, 30, 31, 23, 32, 33, 34, 13, 35]]
20: [[18, 7, 37, 9], [16, 29], [26, 19], [15, 17, 24], [5, 10, 6, 11], [1, 2], [4, 12, 36, 8, 14, 20], [27, 3, 22, 21, 25, 28], [30, 31, 23, 32, 33, 34, 13, 35]]
21: [[18, 7, 37, 9], [16, 29], [26, 19], [15, 17, 24, 5, 10, 6, 11, 1, 2, 4, 12], [36, 8], [14, 20, 27, 3, 22], [21, 25], [28, 30, 31, 23, 32, 33], [34, 13], [35]]
22: [[18, 7, 37, 9], [16, 29], [26, 19, 15, 17], [24, 5], [10, 6, 11, 1, 2], [4, 12], [36, 8, 14, 20, 27, 3, 22, 21], [25, 28, 30, 31, 23, 32, 33], [34, 13, 35]]
23: [[18, 7, 37, 9], [16, 29], [26, 19, 15], [17, 24], [5, 10, 6, 11, 1], [2, 4, 12, 36], [8, 14, 20, 27], [3], [22, 21, 25, 28, 30], [31, 23, 32, 33], [34, 13, 35]]
24: [[18, 7, 37, 9], [16, 29], [26, 19, 15], [17, 24], [5, 10], [6, 11, 1, 2, 4, 12, 36, 8, 14, 20, 27, 3, 22], [21, 25, 28, 30, 31, 23, 32, 33, 34, 13, 35]]
25: [[18, 7], [37, 9], [16, 29], [26, 19, 15], [17, 24, 5], [10, 6, 11], [1, 2], [4, 12], [36, 8], [14, 20, 27], [3, 22], [21, 25, 28], [30, 31, 23], [32, 33], [34, 13, 35]]
26: [[18, 7, 37, 9], [16, 29, 26, 19, 15], [17, 24, 5, 10, 6, 11, 1, 2, 4, 12, 36], [8, 14, 20, 27], [3, 22, 21, 25], [28, 30, 31, 23, 32, 33], [34, 13, 35]]
27: [[18, 7, 37], [9, 16, 29], [26, 19, 15], [17, 24, 5], [10, 6, 11], [1, 2, 4, 12, 36], [8, 14], [20, 27, 3, 22, 21], [25, 28, 30], [31, 23, 32, 33, 34, 13, 35]]
28: [[18, 7, 37, 9], [16, 29], [26, 19, 15], [17, 24], [5, 10], [6, 11, 1, 2, 4], [12, 36], [8, 14, 20], [27, 3], [22], [21, 25, 28, 30], [31, 23, 32, 33, 34, 13, 35]]
29: [[18, 7, 37, 9], [16, 29], [26, 19, 15], [17, 24, 5], [10, 6, 11, 1, 2, 4, 12, 36, 8, 14, 20, 27, 3, 22, 21, 25, 28, 30], [31, 23, 32, 33, 34, 13, 35]]
30: [[18, 7, 37, 9], [16, 29], [26, 19, 15], [17, 24], [5, 10, 6, 11], [1, 2, 4, 12, 36], [8, 14], [20, 27, 3], [22, 21, 25], [28, 30, 31], [23, 32, 33, 34, 13, 35]]
31: [[18, 7, 37, 9], [16, 29, 26], [19, 15], [17, 24], [5, 10], [6, 11, 1, 2, 4], [12, 36], [8, 14, 20, 27, 3, 22], [21, 25], [28, 30, 31, 23, 32, 33, 34, 13, 35]]
32: [[18, 7, 37, 9, 16, 29, 26, 19, 15, 17, 24], [5, 10, 6, 11, 1], [2, 4, 12, 36], [8, 14, 20, 27], [3, 22], [21, 25], [28, 30, 31, 23, 32, 33, 34, 13, 35]]
33: [[18, 7, 37, 9], [16, 29], [26, 19, 15], [17, 24], [5, 10, 6, 11], [1, 2, 4, 12, 36], [8, 14, 20], [27, 3], [22, 21, 25], [28, 30, 31], [23, 32, 33], [34, 13, 35]]
34: [[18, 7, 37, 9], [16, 29], [26, 19, 15], [17, 24, 5], [10, 6, 11], [1, 2, 4, 12], [36, 8], [14, 20], [27, 3, 22], [21, 25], [28, 30, 31, 23, 32], [33, 34], [13, 35]]
35: [[18, 7, 37, 9], [16, 29], [26, 19, 15], [17, 24, 5], [10, 6, 11], [1, 2], [4, 12, 36, 8, 14], [20, 27], [3, 22, 21, 25, 28], [30, 31, 23], [32, 33, 34, 13, 35]]
36: [[18, 7, 37, 9], [16, 29, 26], [19, 15], [17, 24], [5, 10, 6, 11, 1], [2, 4], [12, 36, 8, 14, 20], [27, 3, 22], [21, 25, 28, 30, 31, 23, 32, 33, 34, 13, 35]]
37: [[18, 7], [37, 9, 16], [29, 26, 19, 15], [17, 24, 5], [10, 6, 11], [1, 2, 4, 12], [36, 8], [14, 20, 27], [3, 22], [21, 25, 28, 30], [31, 23, 32, 33], [34, 13, 35]]
