0: [[23, 15, 4, 13, 10], [19, 1, 8, 12], [9, 2, 16], [3, 11, 20], [6, 5, 25], [24, 17, 7, 18], [21], [26, 28, 27], [29, 14], [22]]
1: [[19, 10, 5, 7, 3, 22, 1, 2, 6], [12, 9, 8, 4, 11, 13, 15, 17, 16, 18], [21, 14, 28, 23, 25, 26, 20, 24, 27, 29]]
2: [[19, 10, 5, 7, 3, 22, 1, 2, 6], [12, 9, 8, 4, 11, 13, 15, 17, 16, 18], [21, 14, 28, 23, 25, 26, 20, 24, 27, 29]]
3: [[19, 10, 5, 7, 3, 22, 1, 2, 6], [12, 9, 8, 4, 11, 13, 15, 17, 16, 18], [21, 14, 28, 23, 25, 26, 20, 24, 27, 29]]
4: [[19, 10, 5, 7, 3, 22, 1, 2, 6], [12, 9, 8, 4, 11, 13, 15, 17, 16, 18], [21, 14, 28, 23, 25, 26, 20, 24, 27, 29]]
5: [[19, 10, 5, 7, 3, 22, 1, 2, 6], [12, 9, 8, 4, 11, 13, 15, 17, 16, 18], [21, 14, 28, 23, 25, 26, 20, 24, 27, 29]]
6: [[19, 10, 5, 7, 3, 22, 1, 2, 6], [12, 9, 8, 4, 11, 13, 15, 17, 16, 18], [21, 14, 28, 23, 25, 26, 20, 24, 27, 29]]
7: [[19, 10, 5, 7, 3, 22, 1, 2, 6], [12, 9, 8, 4, 11, 13, 15, 17, 16, 18], [21, 14, 28, 23, 25, 26, 20, 24, 27, 29]]
8: [[19, 10, 5, 7, 3, 22, 1, 2, 6], [12, 9, 8, 4, 11, 13, 15, 17, 16, 18], [21, 14, 28, 23, 25, 26, 20, 24, 27, 29]]
9: [[19, 10, 5, 7, 3, 22, 1, 2, 6], [12, 9, 8, 4, 11, 13, 15, 17, 16, 18], [21, 14, 28, 23, 25, 26, 20, 24, 27, 29]]
10: [[19, 10, 5, 7, 3, 22, 1, 2, 6], [12, 9, 8, 4, 11, 13, 15, 17, 16, 18], [21, 14, 28, 23, 25, 26, 20, 24, 27, 29]]
11: [[19, 10, 5, 7, 3, 22, 1, 2, 6], [12, 9, 8, 4, 11, 13, 15, 17, 16, 18], [21, 14, 28, 23, 25, 26, 20, 24, 27, 29]]
12: [[19, 10, 5, 7, 3, 22, 1, 2, 6], [12, 9, 8, 4, 11, 13, 15, 17, 16, 18], [21, 14, 28, 23, 25, 26, 20, 24, 27, 29]]
13: [[19, 10, 5, 7, 3, 22, 1, 2, 6], [12, 9, 8, 4, 11, 13, 15, 17, 16, 18], [21, 14, 28, 23, 25, 26, 20, 24, 27, 29]]
