0: [[11, 1, 3], [5, 6, 7, 4, 2], [10, 8], [12, 13, 16, 9], [15, 14], [17, 19, 18, 20]]
1: [[11, 1, 3], [5, 6, 7, 2, 4], [10, 8], [9, 12, 13, 16], [15, 14], [17, 19, 18, 20]]
2: [[11, 1, 3], [5, 6, 7, 2, 4], [10, 8], [9, 12, 13, 16], [15, 14], [17, 19, 18, 20]]
3: [[11, 1, 3], [5, 6, 7, 2, 4], [10, 8], [9, 12, 13, 16], [15, 14], [17, 19, 18, 20]]
4: [[11, 1, 3], [5, 6, 7, 2, 4], [10, 8], [9, 12, 13, 16], [15, 14], [17, 19, 18, 20]]
5: [[11, 1, 3], [5, 6, 7, 2, 4], [10, 8], [9, 12, 13, 16], [15, 14], [17, 19, 18, 20]]
6: [[11, 1, 3], [5, 6, 7, 2, 4], [10, 8], [9, 12, 13, 16], [15, 14], [17, 19, 18, 20]]
7: [[11, 1, 3], [5, 6, 7, 2, 4], [10, 8], [9, 12, 13, 16], [15, 14], [17, 19, 18, 20]]
8: [[11, 1, 3], [5, 6, 7, 2, 4], [10, 8], [9, 12, 13, 16], [15, 14], [17, 19, 18, 20]]
9: [[11, 1, 3], [5, 6, 7, 2, 4], [10, 8], [9, 12, 13, 16], [15, 14], [17, 19, 18, 20]]
10: [[11, 1, 3], [5, 6, 7, 2, 4], [10, 8], [9, 12, 13, 16], [15, 14], [17, 19, 18, 20]]
11: [[11, 1, 3], [5, 6, 7, 2, 4], [10, 8], [9, 12, 13, 16], [15, 14], [17, 19, 18, 20]]
12: [[11, 1, 3], [5, 6, 7, 2, 4], [10, 8], [9, 12, 13, 16], [15, 14], [17, 19, 18, 20]]
13: [[11, 1, 3], [5, 6, 7, 2, 4], [10, 8], [9, 12, 13, 16], [15, 14], [17, 19, 18, 20]]
14: [[11, 1, 3], [5, 6, 7, 2, 4], [10, 8], [9, 12, 13, 16], [15, 14], [17, 19, 18, 20]]
15: [[11, 1, 3], [5, 6, 7, 2, 4], [10, 8], [9, 12, 13, 16], [15, 14], [17, 19, 18, 20]]
16: [[11, 1, 3], [5, 6, 7, 2, 4], [10, 8], [9, 12, 13, 16], [15, 14], [17, 19, 18, 20]]
17: [[11, 1, 3], [5, 6, 7, 2, 4], [10, 8], [9, 12, 13, 16], [15, 14], [17, 19, 18, 20]]
18: [[11, 1, 3], [4, 6, 7, 5, 2], [10, 8], [9, 12, 13, 16], [15, 14], [17, 19, 18, 20]]
19: [[11, 1, 3], [4, 6, 7, 5, 2], [10, 8], [9, 12, 13, 16], [15, 14], [17, 19, 18, 20]]
20: [[11, 1, 3], [4, 6, 7, 5, 2], [10, 8], [9, 12, 13, 16], [15, 14], [17, 19, 18, 20]]
21: [[11, 1, 3], [4, 6, 7, 5, 2], [10, 8], [9, 12, 13, 16], [15, 14], [17, 19, 18, 20]]
22: [[11, 1, 3], [5, 6, 7, 2, 4], [10, 8], [9, 12, 13], [16, 15], [14, 17, 19, 18, 20]]
23: [[11, 1, 3], [5, 6, 7, 2, 4], [10, 8], [9, 12, 13], [16, 15], [14, 17, 19, 18, 20]]
24: [[11, 1, 3], [5, 6, 7, 2], [10, 8], [9, 12, 13, 16, 15], [14, 17, 4], [19, 18, 20]]
25: [[11, 1, 3], [5, 6, 7, 2], [10, 8], [9, 12, 13, 16, 15], [14, 17, 4], [19, 18, 20]]
26: [[11, 1, 3], [5, 6, 7, 2], [10, 8], [9, 12, 13, 16, 15], [14, 17, 4], [19, 18, 20]]
27: [[3, 11, 1], [6, 2, 4], [7, 10, 5], [8, 9, 12, 13], [16, 15], [14, 17, 19, 18, 20]]
28: [[11, 3], [1, 5, 2, 7, 4, 6], [10, 8], [9, 12, 13], [16, 15], [14, 17, 19, 18, 20]]
29: [[3, 11, 8], [1, 5, 2, 4, 6], [7, 10], [9, 12, 13, 16], [15, 14], [17, 19, 18, 20]]
30: [[3, 11, 8], [1, 5, 2, 4, 6], [7, 10], [9, 12, 13], [16, 15], [14, 17, 19, 18, 20]]
31: [[3, 11, 1], [5, 2, 7, 10, 4, 6], [8, 9], [12, 13, 16], [15, 14], [17, 19, 18, 20]]
32: [[3, 11, 1], [5, 2, 7, 10, 4, 6], [8, 9], [12, 13, 16], [15, 14], [17, 19, 18, 20]]
33: [[3, 11, 1], [5, 2, 7, 10, 4, 6], [8, 9], [12, 13, 16], [15, 14], [17, 19, 18, 20]]
34: [[3, 11, 1], [5, 2, 7, 10, 4, 6], [8, 9], [12, 13, 16], [15, 14], [17, 19, 18, 20]]
35: [[3, 11, 1], [5, 2, 4, 6], [7, 10], [8, 9, 12, 13, 16], [15, 14], [17, 19, 18, 20]]
36: [[11, 1, 3], [5, 2, 4], [6, 7], [10, 8, 9, 12, 13], [16, 15], [14, 17, 19, 18, 20]]
37: [[3, 11, 1], [5, 2, 7, 10, 4, 6], [8, 9], [12, 13, 16, 15], [14, 17], [19, 18, 20]]
38: [[3, 11, 1], [5, 2, 7, 10, 4, 6], [8, 9], [12, 13, 16, 15], [14, 17], [19, 18, 20]]
39: [[3, 11, 1], [5, 2, 7, 10, 4, 6], [8, 9], [12, 13, 16, 15], [14, 17], [19, 18, 20]]
40: [[3, 11, 1, 5], [2, 7, 10, 4, 6], [8, 9], [12, 13, 16], [15, 14], [17, 19, 18, 20]]
41: [[3, 11, 1, 5, 2], [7, 10, 4, 6], [8, 9], [12, 13, 16], [15, 14], [17, 19, 18, 20]]
