0: [[16, 2, 1, 6], [7, 5, 10], [3, 8], [11, 12, 13, 9], [14, 4, 15], [17, 18, 19, 20]]
1: [[16, 2, 1, 6], [5, 7, 10], [3, 8], [11, 12, 13, 9], [14, 4, 15], [17, 18, 19, 20]]
2: [[16, 2, 1, 6], [5, 7, 10], [3, 8], [11, 12, 13, 9], [14, 4, 15], [17, 18, 19, 20]]
3: [[16, 2, 1, 6], [5, 7, 10], [3, 8], [11, 12, 13, 9], [14, 4, 15], [17, 18, 19, 20]]
4: [[16, 2, 1, 6], [5, 7, 10], [3, 8], [11, 12, 13, 9], [14, 4, 15], [17, 18, 19, 20]]
5: [[16, 2, 1, 6], [5, 7, 10], [3, 8], [11, 12, 13, 9], [14, 4, 15], [17, 18, 19, 20]]
6: [[16, 2, 1, 6], [5, 7, 10], [3, 8], [11, 12, 13, 9], [14, 4, 15], [17, 18, 19, 20]]
7: [[16, 2, 1, 4], [7, 5, 10], [3, 8], [11, 12, 13, 9], [14, 6, 15], [17, 18, 19, 20]]
8: [[16, 2, 1, 4], [7, 5, 10], [3, 8], [11, 12, 13, 9], [14, 6, 15], [17, 18, 19, 20]]
9: [[16, 2, 1], [5, 7, 10, 6], [3, 8], [11, 12, 13, 9], [14, 4, 15], [17, 18, 19, 20]]
10: [[16, 2, 1], [5, 7, 10, 6], [3, 8], [11, 12, 13, 9], [14, 4, 15], [17, 18, 19, 20]]
11: [[16, 2, 1], [5, 7, 10, 6], [3, 8], [11, 12, 13, 9], [14, 4, 15], [17, 18, 19, 20]]
12: [[16, 2, 1], [5, 7, 10, 6], [3, 8], [11, 12, 13, 9], [14, 4, 15], [17, 18, 19, 20]]
13: [[16, 2, 1], [5, 7, 10, 6], [3, 8], [11, 12, 13, 9], [14, 4, 15], [17, 18, 19, 20]]
14: [[16, 2, 1], [5, 7, 10, 6], [3, 8], [11, 12, 13, 9], [14, 4, 15], [17, 18, 19, 20]]
15: [[16, 2, 1], [5, 7, 10, 6], [3, 8], [11, 12, 13, 9], [14, 4, 15], [17, 18, 19, 20]]
16: [[16, 2, 1], [5, 7, 10, 6], [3, 8], [11, 12, 13, 9], [14, 4, 15], [17, 18, 19, 20]]
17: [[16, 2, 1], [5, 7, 10, 6], [3, 8], [11, 12, 13, 9], [14, 4, 15], [17, 18, 19, 20]]
18: [[16, 2, 1], [5, 7, 10], [3, 8, 11], [12, 13], [14, 9, 4, 6, 15], [17, 18, 19, 20]]
19: [[16, 2, 1], [5, 7, 10], [3, 8, 11], [12, 13], [14, 9, 4, 6, 15], [17, 18, 19, 20]]
20: [[16, 2, 1], [5, 7, 10], [3, 8, 11], [12, 13], [14, 9, 4, 6, 15], [17, 18, 19, 20]]
21: [[16, 2, 1], [5, 7, 10], [3, 8], [11, 12, 13], [14, 9, 4, 6, 15], [17, 18, 19, 20]]
22: [[16, 2, 1], [5, 7, 10], [3, 8], [11, 12, 13], [14, 9, 4, 6, 15], [17, 18, 19, 20]]
23: [[16, 2, 1], [5, 7, 10], [3, 8], [11, 12, 13], [14, 9, 4, 6, 15], [17, 18, 19, 20]]
24: [[16, 2, 1], [5, 7, 10], [3, 8], [11, 12, 13], [14, 9, 4, 6, 15], [17, 18, 19, 20]]
25: [[16, 2, 1, 6], [5, 7], [10, 3, 8], [11, 12, 13, 9], [14, 4, 15], [17, 18, 19, 20]]
26: [[16, 2, 1, 6], [7, 5], [10, 3, 8], [11, 12, 13, 9], [14, 4, 15], [17, 18, 19, 20]]
27: [[16, 2, 1, 6], [5, 7], [10, 3, 8], [11, 12, 13, 9], [14, 4, 15], [17, 18, 19, 20]]
28: [[16, 2, 1, 6], [5, 7], [10, 3, 8], [11, 12, 13, 9], [14, 4, 15], [17, 18, 19, 20]]
29: [[16, 2, 1, 6], [5, 7], [10, 3, 8, 11], [12, 13, 9], [14, 4, 15], [17, 18, 19, 20]]
30: [[16, 2, 1, 6], [5, 7], [10, 3, 8, 11], [12, 13, 9], [14, 4, 15], [17, 18, 19, 20]]
31: [[16, 2, 1, 7], [5, 10, 6], [3, 8], [11, 12, 13, 9], [14, 4, 15], [17, 18, 19, 20]]
32: [[16, 2, 6], [1, 5, 7], [10, 3, 8], [11, 12, 13, 9], [14, 4, 15], [17, 18, 19, 20]]
33: [[16, 2, 6], [1, 5, 7], [10, 3, 8], [11, 12, 13, 9], [14, 4, 15], [17, 18, 19, 20]]
34: [[16, 2, 6], [1, 5, 7], [10, 3, 8], [11, 12, 13, 9], [14, 4, 15], [17, 18, 19, 20]]
35: [[16, 2, 6], [1, 5, 7], [10, 3, 8], [11, 12, 13, 9], [14, 4, 15], [17, 18, 19, 20]]
36: [[16, 2, 6], [1, 5, 7], [10, 3, 8], [11, 12, 13, 9], [14, 4, 15], [17, 18, 19, 20]]
37: [[16, 2, 1], [5, 10, 4], [3, 8], [11, 12, 13, 9], [14, 7, 6, 15], [17, 18, 19, 20]]
38: [[16, 2, 1], [7, 5], [10, 3, 8, 11], [12, 13], [14, 9, 4, 6, 15], [17, 18, 19, 20]]
39: [[16, 2, 1, 7, 6], [5], [10, 3, 8, 11], [12, 13, 9], [14, 4, 15], [17, 18, 19, 20]]
40: [[16, 2, 6], [1, 5], [7, 10, 3, 8], [11, 12, 13, 9], [14, 4, 15], [17, 18, 19, 20]]
41: [[16, 2, 1], [5], [7, 10, 3, 8], [11, 12, 13], [14, 9, 4, 6, 15], [17, 18, 19, 20]]
