0: [[8, 3, 1], [2, 5, 7], [14, 4, 6], [10, 9], [11, 13, 12], [16, 15], [17, 18, 19, 20]]
1: [[8, 3, 1], [2, 5, 7], [14, 4, 6], [10, 9], [11, 13, 12], [17, 16, 18, 19, 20, 15]]
2: [[8, 3, 1], [2, 5, 7], [14, 4, 6], [10, 9], [11, 13, 12], [16, 17, 15], [18, 19, 20]]
3: [[8, 3, 1], [2, 5, 7], [14, 4, 6], [10, 9], [11, 13, 12], [17, 16, 15], [18, 19, 20]]
4: [[8, 3, 1], [2, 5, 7], [14, 4, 6], [10, 9], [11, 13, 12], [17, 16, 15], [18, 19, 20]]
5: [[8, 3, 1], [2, 5, 7], [14, 4, 6], [10, 9], [11, 12, 13], [17, 16, 15], [18, 19, 20]]
6: [[8, 3, 1], [2, 5, 7], [14, 4, 6], [10, 9], [11, 13, 12], [17, 16, 15], [18, 19, 20]]
7: [[8, 3, 1], [2, 5, 7], [14, 4, 6], [10, 9], [11, 13, 12], [16, 17, 15], [18, 19, 20]]
8: [[8, 3, 1], [2, 5, 7], [14, 4], [10, 9, 6], [11, 13, 12], [16, 17, 15], [18, 19, 20]]
9: [[8, 3, 1], [2, 5, 7], [14, 4], [10, 9, 6], [11, 13, 12], [17, 16, 15], [18, 19, 20]]
10: [[8, 3, 1], [2, 5, 7], [14, 4], [10, 9, 6], [11, 13, 12], [17, 16, 15], [18, 19, 20]]
11: [[8, 3, 1], [2, 5, 7], [14, 4], [10, 9, 6], [11, 13, 12], [16, 17, 15], [18, 19, 20]]
12: [[8, 3, 1], [2, 5, 7], [14, 4], [10, 9, 6], [11, 13, 12], [16, 17, 15], [18, 19, 20]]
13: [[8, 3, 1], [2, 5, 7], [14, 4, 6], [10, 11, 9], [13, 12], [16, 17, 15], [18, 19, 20]]
14: [[8, 3, 1], [2, 5, 7], [14, 4, 6], [10, 11, 13, 12, 9], [16, 17, 15], [18, 19, 20]]
15: [[8, 3, 1], [2, 5, 7], [14, 10, 4, 6], [11, 9], [13, 12], [16, 17, 15], [18, 19, 20]]
16: [[8, 3, 1], [2, 5, 7], [14, 4, 6], [10, 11, 9], [13, 12], [16, 17, 18, 15], [19, 20]]
17: [[8, 3, 1], [2, 5, 7], [14, 4, 6], [10, 11, 9], [13, 12, 16, 17, 15], [18, 19, 20]]
18: [[8, 3, 1], [2, 5], [7, 14, 4, 6], [10, 9], [11, 13, 12], [16, 17, 18, 19, 20, 15]]
19: [[8, 3, 1], [2, 5, 7], [14, 4], [10, 9, 6], [11, 13, 12], [16, 17, 18, 19, 15], [20]]
20: [[8, 3, 1], [2, 5, 7], [14, 4, 6], [10, 11, 9], [13, 12, 15], [17, 16, 18, 19, 20]]
21: [[8, 3, 1], [2, 5, 7], [14, 4, 6], [10, 11, 9], [13, 12, 15], [16, 17, 18, 19, 20]]
22: [[8, 3, 1], [2, 5, 7], [14, 4, 6], [10, 11, 13, 12, 15, 9], [16, 17, 18, 19, 20]]
23: [[8, 3, 1], [2, 5], [7, 14, 4, 6], [10, 9], [11, 13, 12], [16, 17, 15], [18, 19, 20]]
24: [[8, 3, 1], [2, 5], [7, 14, 4, 6], [10, 9], [11, 13, 12], [17, 16, 15], [18, 19, 20]]
25: [[8, 3, 1], [2, 5], [7, 14, 4, 6], [10, 11, 13, 12, 9], [15, 16, 17, 18, 19, 20]]
26: [[8, 3, 1], [2, 5, 7], [14, 4, 6], [10, 11, 9], [13, 12, 15, 16, 17, 18, 19, 20]]
27: [[8, 3], [1, 2], [5, 7], [14, 4], [10], [11, 13, 9], [12, 16, 6, 15], [19, 18, 17, 20]]
28: [[8, 3], [1, 2, 5], [7, 14, 4, 6], [10, 9], [11, 13, 12], [17, 16, 15], [18, 19, 20]]
29: [[8, 3], [1, 2, 5], [7, 14, 4, 6], [10, 9], [11, 13, 12], [17, 16, 15], [18, 19, 20]]
30: [[8, 3, 1], [2, 5, 7], [14, 4], [10, 9, 6], [11, 13, 12, 15, 16, 17, 18, 19, 20]]
31: [[8, 3], [1, 2, 5], [7, 14, 4, 6], [10], [11, 9], [13, 12], [17, 16, 15], [18, 19, 20]]
32: [[8, 3, 1], [2, 5, 7], [14, 10, 4, 6], [11, 13, 9], [12], [16, 17, 18, 15], [19, 20]]
33: [[8, 3, 1], [2, 5], [7, 14, 6], [10, 9], [11, 13, 12, 17], [16, 18, 19, 15], [20, 4]]
34: [[8, 3, 1], [2, 5, 7], [14, 4, 6], [10, 11, 13, 12, 15, 17, 16, 18, 19, 20, 9]]
35: [[8, 3, 1], [2, 5], [7, 14, 4, 6], [10], [11, 13, 9], [12, 16, 15], [17, 18], [19, 20]]
36: [[8, 3, 1, 2], [5, 7, 14], [10, 4, 6], [11, 13, 9], [12, 16, 17, 18, 15], [19, 20]]
37: [[8, 3], [1, 2], [5, 7, 14], [10, 4, 6], [11, 9], [13, 12], [17, 19], [18, 16, 20, 15]]
38: [[8, 3, 1], [2, 5], [7, 14, 4, 6], [10, 11, 13, 12, 15, 16, 17, 18, 19, 20, 9]]
39: [[8, 3, 1], [2, 5], [7, 14, 4, 6], [10, 11, 13, 12, 15, 17, 16, 18, 19, 20, 9]]
40: [[8, 3, 1], [2, 5, 7, 14, 4, 6, 10, 9, 11, 13, 12, 15, 16, 17, 18], [19, 20]]
41: [[8, 3], [1, 2, 5, 7, 14, 4, 6, 10, 9, 11, 13, 12, 15, 17, 16, 18], [19, 20]]
