0: [[17, 18, 4, 9], [29, 11, 7], [35, 1, 3, 2], [6, 37], [5, 12, 13], [10, 14], [15, 8, 20, 19], [22, 16, 24], [21, 27, 23], [26, 25, 28], [31, 30, 32, 34], [36, 33]]
1: [[17, 18, 4, 9], [29, 11, 7], [35, 1, 3, 2], [6, 37], [5, 12, 13], [10, 14], [15, 8, 20, 19], [22, 16, 24], [21, 27, 23], [26, 25, 28], [31, 30, 32, 34], [36, 33]]
2: [[17, 18, 4, 9], [29, 11, 7], [35, 1, 3, 2], [6, 37], [5, 12, 13], [10, 14], [15, 8, 20, 19], [22, 16, 24], [21, 27, 23], [26, 25, 28], [31, 30, 32, 34], [36, 33]]
3: [[17, 18, 4], [9, 29, 11, 7], [35, 1, 3, 2], [6, 37], [5, 12, 13], [10, 14], [15, 8, 20, 19], [22, 16, 24], [21, 27, 23], [26, 25, 28], [31, 30, 32], [34, 36, 33]]
4: [[17, 18, 4, 9], [29, 11, 7], [35, 1, 3, 2], [6, 37, 5, 12], [13, 10, 14], [15, 8, 20], [19, 22, 16], [24, 21, 27, 23], [26, 25, 28], [31, 30, 32, 34], [36, 33]]
5: [[17, 18, 4], [9, 29, 11, 7], [35, 1, 3, 2], [6, 37], [5, 12, 13], [10, 14], [15, 8, 20, 19], [22, 16, 24], [21, 27, 23], [26, 25, 28, 31], [30, 32, 34], [36, 33]]
6: [[17, 18, 4, 9], [29, 11], [7, 35, 1, 3, 2, 6], [37, 5, 12, 13], [10, 14, 15], [8, 20, 19], [22, 16, 24], [21, 27, 23, 26], [25, 28], [31, 30, 32, 34, 36, 33]]
7: [[17, 18, 4], [9, 29], [11, 7, 35], [1, 3], [2, 6, 37], [5, 12], [13, 10], [14, 15, 8], [20, 19], [22, 16, 24], [21, 27, 23], [26, 25, 28], [31, 30, 32, 34], [36, 33]]
8: [[17, 18, 4, 9], [29, 11, 7], [35, 1, 3, 2], [6, 37], [5, 12, 13], [10, 14], [15, 8, 20], [19, 22, 16, 24, 21], [27, 23, 26, 25, 28, 31, 30, 32, 34, 36, 33]]
9: [[17, 18, 4, 9], [29, 11, 7], [35, 1, 3, 2], [6, 37], [5, 12, 13], [10, 14], [15, 8, 20], [19, 22], [16, 24, 21, 27, 23, 26, 25, 28, 31, 30, 32, 34, 36, 33]]
10: [[17, 18, 4, 9], [29, 11, 7, 35], [1, 3, 2, 6], [37, 5], [12, 13, 10], [14, 15], [8, 20, 19], [22, 16, 24], [21, 27, 23], [26, 25, 28, 31], [30, 32, 34], [36, 33]]
11: [[17, 18, 4, 9], [29, 11], [7, 35, 1], [3], [2, 6, 37, 5, 12, 13, 10, 14, 15, 8, 20, 19, 22, 16, 24], [21, 27, 23, 26, 25, 28, 31, 30, 32, 34, 36, 33]]
12: [[17, 18, 4, 9], [29, 11, 7], [35, 1, 3, 2], [6, 37, 5], [12, 13, 10], [14, 15, 8, 20], [19, 22, 16, 24, 21], [27, 23, 26, 25, 28, 31, 30, 32, 34, 36, 33]]
13: [[17, 18], [4, 9, 29], [11, 7, 35], [1, 3], [2, 6, 37], [5, 12, 13, 10], [14, 15, 8, 20], [19, 22, 16, 24], [21, 27, 23], [26, 25, 28, 31], [30, 32], [34, 36, 33]]
14: [[17, 18, 4], [9, 29], [11, 7, 35], [1, 3, 2], [6, 37], [5, 12, 13], [10, 14, 15], [8, 20, 19], [22, 16, 24], [21, 27, 23], [26, 25], [28, 31], [30, 32, 34], [36, 33]]
15: [[17, 18, 4, 9], [29, 11, 7, 35], [1, 3], [2, 6, 37, 5, 12, 13, 10, 14, 15, 8, 20], [19, 22, 16, 24, 21, 27, 23, 26, 25, 28, 31, 30, 32, 34, 36, 33]]
16: [[17, 18, 4], [9, 29, 11, 7], [35, 1, 3], [2, 6, 37, 5], [12, 13, 10], [14, 15, 8, 20], [19, 22, 16, 24], [21, 27, 23, 26], [25, 28, 31], [30, 32, 34], [36, 33]]
17: [[17, 18, 4, 9, 29, 11, 7, 35, 1, 3, 2], [6, 37, 5, 12, 13, 10, 14, 15, 8, 20, 19, 22, 16], [24, 21, 27, 23, 26, 25, 28, 31, 30, 32, 34, 36, 33]]
18: [[17, 18, 4], [9, 29, 11], [7, 35, 1], [3, 2, 6], [37, 5, 12], [13, 10], [14, 15], [8, 20, 19], [22, 16], [24, 21, 27, 23], [26, 25, 28], [31, 30, 32, 34], [36, 33]]
19: [[17, 18], [4, 9], [29, 11], [7, 35, 1], [3, 2], [6, 37, 5], [12, 13, 10], [14, 15, 8], [20, 19, 22], [16, 24, 21], [27, 23], [26, 25, 28], [31, 30, 32], [34, 36, 33]]
20: [[17, 18], [4, 9, 29, 11], [7, 35, 1], [3, 2, 6, 37], [5, 12, 13], [10, 14, 15], [8, 20, 19], [22, 16, 24], [21, 27, 23, 26, 25, 28, 31, 30, 32, 34, 36, 33]]
