0: [[3, 16, 4, 6, 18, 5, 17], [20], [12, 7, 14, 11], [9, 8, 1, 13, 15], [10, 2], [24, 23, 21], [19, 22]]
1: [[3, 16, 4, 6, 18, 17], [1, 13], [20, 5], [12, 7, 14, 11], [9, 8, 15], [10, 2], [24, 23, 21], [19, 22]]
2: [[3, 16, 4, 6, 18, 17], [1, 13], [20, 5], [12, 7, 14, 11], [9, 8, 15], [10, 2], [24, 23, 21], [19, 22]]
3: [[3, 16, 4, 6, 18, 17], [1, 13], [20, 5], [12, 7, 14, 11], [9, 8, 15], [10, 2], [24, 23, 21], [19, 22]]
4: [[3, 16, 4, 6, 18, 17], [1, 13], [20, 5], [12, 7, 14, 11], [9, 8, 15], [10, 2], [24, 23, 21], [19, 22]]
5: [[3, 16, 4, 6, 18, 17], [1, 13], [20, 5], [12, 7, 14, 11], [9, 8, 15], [10, 2], [24, 23, 21], [19, 22]]
6: [[3, 16, 4, 6, 18, 17], [1, 13], [20, 5], [12, 7, 14, 11], [9, 8, 15], [10, 2], [24, 23, 21], [19, 22]]
7: [[3, 16, 4, 6, 18, 17], [1, 13], [20, 5], [12, 7, 14, 11], [9, 8, 15], [10, 2], [24, 23, 21], [19, 22]]
8: [[3, 16, 4, 6, 18, 17], [1, 13], [20, 5], [12, 7, 14, 11], [9, 8, 15], [10, 2], [24, 23, 21], [19, 22]]
9: [[3, 16, 4, 6, 18, 17], [1, 13], [20, 5], [12, 7, 14, 11], [9, 8, 15], [10, 2], [24, 23, 21], [19, 22]]
10: [[3, 16, 4, 6, 18, 17], [1, 13], [20, 5], [12, 7, 14, 11], [9, 8, 15], [10, 2], [24, 23, 21], [19, 22]]
11: [[3, 16, 4, 6, 18, 17], [1, 13], [20, 5], [12, 7, 14, 11], [9, 8, 15], [10, 2], [24, 23, 21], [19, 22]]
12: [[3, 16, 4, 6, 18, 17], [1, 13], [20, 5], [12, 7, 14, 11], [9, 8, 15], [10, 2], [24, 23, 21], [19, 22]]
13: [[3, 16, 4, 6, 18, 17], [1, 13], [20, 5], [12, 7, 14, 11], [9, 8, 15], [10, 2], [24, 23, 21], [19, 22]]
14: [[3, 16, 4, 6, 18, 17], [1, 13], [20, 5], [12, 7, 14, 11], [9, 8, 15], [10, 2], [24, 23, 21], [19, 22]]
15: [[3, 16, 4, 6, 18, 17], [1, 13], [20, 5], [12, 7, 14, 11], [9, 8, 15], [10, 2], [24, 23, 21], [19, 22]]
16: [[3, 16, 4, 6, 18, 17], [1, 13], [20, 5], [12, 7, 14, 11], [9, 8, 15], [10, 2], [24, 23, 21], [19, 22]]
17: [[3, 16, 4, 6, 18, 17], [1, 13], [20, 5], [12, 7, 14, 11], [9, 8, 15], [10, 2], [24, 23, 21], [19, 22]]
18: [[3, 16, 4, 6, 18, 17], [1, 13], [20, 5], [12, 7, 14, 11], [9, 8, 15], [10, 2], [24, 23, 21], [19, 22]]
19: [[3, 16, 4, 6, 18, 17], [1, 13], [20, 5], [12, 7, 14, 11], [9, 8, 15], [10, 2], [24, 23, 21], [19, 22]]
20: [[3, 16, 4, 6, 18, 17], [1, 13], [20, 5], [12, 7, 14, 11], [9, 8, 15], [10, 2], [24, 23, 21], [19, 22]]
21: [[3, 16, 4, 6, 18, 17], [1, 13], [20, 5], [12, 7, 14, 11], [9, 8, 15], [10, 2], [24, 23, 21], [19, 22]]
22: [[3, 16, 4, 6, 18, 17], [1, 13], [20, 5], [12, 7, 14, 11], [9, 8, 15], [10, 2], [24, 23, 21], [19, 22]]
23: [[3, 16, 4, 6, 18, 17], [1, 13], [20, 5], [12, 7, 14, 11], [9, 8, 15], [10, 2], [24, 23, 21], [19, 22]]
24: [[3, 16, 4, 6, 18, 17], [1, 13], [20, 5], [12, 7, 14, 11], [9, 8, 15], [10, 2], [24, 23, 21], [19, 22]]
25: [[3, 16, 4, 6, 18, 17], [1, 13], [20, 5], [12, 7, 14, 11], [9, 8, 15], [10, 2], [24, 23, 21], [19, 22]]
26: [[3, 16, 4, 6, 18, 17], [1, 13], [20, 5], [12, 7, 14, 11], [9, 8, 15], [10, 2], [24, 23, 21], [19, 22]]
27: [[3, 16, 4, 6, 18, 17], [1, 13], [20, 5], [12, 7, 14, 11], [9, 8, 15], [10, 2], [24, 23, 21], [19, 22]]
28: [[3, 16, 4, 6, 18, 1, 17], [13, 20], [5, 12], [7, 14, 11], [9, 8, 15], [10, 2], [24, 23, 21], [19, 22]]
29: [[3, 16, 4, 6, 18, 1, 17], [13, 20], [5, 12], [7, 14, 11], [9, 8, 15], [10, 2], [24, 23, 21], [19, 22]]
30: [[3, 16, 4, 6, 18, 1, 17], [13, 20], [5, 12], [7, 14, 11], [9, 8, 15], [10, 2], [24, 23, 21], [19, 22]]
31: [[3, 16, 4, 6, 18, 1, 17], [13, 20], [5, 12], [7, 14, 11], [9, 8, 15], [10, 2], [24, 23, 21], [19, 22]]
32: [[3, 16, 4, 6, 18, 1, 17], [13, 20], [5, 12], [7, 14, 11], [9, 8, 15], [10, 2], [24, 23, 21], [19, 22]]
33: [[3, 17], [16, 4, 6, 18, 1], [13, 20], [5, 12], [7, 14, 11], [9, 8, 15], [10, 2], [24, 23, 21], [19, 22]]
34: [[3, 17], [16, 4, 6, 18, 1], [13, 20], [5, 12], [7, 14, 11], [9, 8, 15], [10, 2], [24, 23, 21], [19, 22]]
35: [[3, 16, 4, 6, 17], [18, 1], [13, 20], [5, 12, 7, 14, 11], [9, 8, 15], [10, 2], [24, 23, 21], [19, 22]]
36: [[3, 16, 4, 6, 17], [18, 1], [13, 20], [5, 12, 7, 14, 11], [9, 8, 15], [10, 2], [24, 23, 21], [19, 22]]
37: [[3, 16, 4, 6, 17], [18, 1], [13, 20], [5, 12, 7, 14, 11], [9, 8, 15], [10, 2], [24, 23, 21], [19, 22]]
38: [[3, 16, 4, 6, 17], [18, 1], [13, 20], [5, 12, 7, 14, 11], [9, 8, 15], [10, 2], [24, 23, 21], [19, 22]]
39: [[3, 16, 4, 6, 17], [18, 1], [13, 20], [5, 12, 7, 14, 11], [9, 8, 15], [10, 2], [24, 23, 21], [19, 22]]
40: [[3, 16, 4, 6, 18], [1, 13], [20, 5], [12, 7, 11], [14, 9, 17], [8, 10, 15], [2, 24, 23, 21], [19, 22]]
41: [[3, 16, 4, 6, 18], [1, 13], [20, 5], [12, 7, 11], [14, 9, 17], [8, 10, 15], [2, 24, 23, 21], [19, 22]]
42: [[3, 16, 4, 6, 18], [1, 13], [20, 5], [12, 7, 11], [14, 9, 17], [8, 10, 15], [2, 24, 23, 21], [19, 22]]
43: [[3, 16, 4, 6, 18], [1, 13], [20, 5], [12, 7, 11], [14, 9, 17], [8, 10, 15], [2, 24, 23, 21], [19, 22]]
44: [[3, 16, 4, 6, 18], [1, 13], [20, 5], [12, 7, 11], [14, 9, 17], [8, 10, 15], [2, 24, 23, 21], [19, 22]]
45: [[3, 16, 4, 6, 17], [18, 1], [13, 20], [5, 12, 7, 11], [14, 9], [8, 10, 15], [2, 24, 23, 21], [19, 22]]
46: [[3, 16, 4, 6, 17], [18, 1], [13, 20], [5, 12, 7, 11], [14, 9], [8, 10, 15], [2, 24, 23, 21], [19, 22]]
47: [[3, 16, 4, 6, 18, 1, 17], [13, 20], [5, 12], [7, 14, 9, 11], [8, 10, 15], [2, 24], [23, 21], [19, 22]]
48: [[3, 17], [16, 4, 6, 18, 1], [13, 20], [5, 12], [7, 14, 9, 11], [8, 10, 15], [2, 24], [23, 21], [19, 22]]
49: [[3, 16, 4, 6, 17], [18, 1], [13, 20], [5, 12, 7, 14, 9, 11], [8, 10, 15], [2, 24], [23, 21], [19, 22]]
