0: [[19, 2, 1, 10], [5, 4, 6, 15], [11, 7], [13, 8, 9, 20, 12, 14, 17], [16, 22, 18, 3], [21, 23, 24]]
1: [[19, 2, 1, 13, 10], [5, 4, 6, 15], [11, 7], [8, 9, 20, 12, 14, 17], [16, 22, 18, 3], [21, 23, 24]]
2: [[2, 10, 3], [5, 4, 6, 15], [11, 7], [13, 8, 19, 1], [9, 20, 12, 14, 17, 16, 22, 18], [21, 23, 24]]
3: [[2, 10, 3], [5, 4, 6, 15], [11, 7], [13, 8, 19, 1], [9, 20, 12, 14, 17, 16, 22, 18], [21, 23, 24]]
4: [[2, 10, 5, 4, 6, 15], [11, 7], [13, 8, 9, 20, 12, 19, 1], [14, 17, 16, 22, 18, 3], [21, 23, 24]]
5: [[2, 10, 19, 1], [5, 4, 6, 15, 11, 7, 13, 8], [9, 20, 12, 14, 17], [16, 22, 18, 3], [21, 23, 24]]
6: [[19, 2, 5, 4, 1], [6, 15, 11, 7, 13], [8, 9, 20, 12], [14, 17, 10], [16, 22, 18, 3], [21, 23, 24]]
7: [[2, 10, 19, 1], [5, 4, 6, 15], [11, 7, 13, 8, 9, 20, 12], [14, 17, 16, 22, 18, 3], [21, 23, 24]]
8: [[2, 10], [5, 4, 19], [6, 15, 11, 7, 13], [8, 9, 20, 1], [12, 14, 17, 16, 22, 18, 3], [21, 23, 24]]
9: [[2, 10, 19], [5, 4, 6, 15, 11, 7], [13, 8, 9, 20, 1], [12, 14, 17, 16, 22, 18, 3], [21, 23, 24]]
10: [[2, 10, 19], [5, 4, 6, 15, 11, 7], [13, 8, 9, 20, 1], [12, 14, 17, 16, 22, 18, 3], [21, 23, 24]]
11: [[2, 10, 5, 4, 6, 15], [11, 7, 13, 8, 9, 1], [20, 12, 14, 17, 19], [16, 22, 18, 3], [21, 23, 24]]
12: [[2, 10, 5, 4, 6, 15, 3], [11, 7], [13, 8, 19, 1], [9, 20, 12, 14, 17, 16, 22, 18], [21, 23, 24]]
13: [[2, 10, 5, 4, 6, 15], [11, 7], [13, 8], [9, 20, 12, 19, 1], [14, 17, 16, 22, 18, 3], [21, 23, 24]]
14: [[2], [10, 5, 4, 6, 15, 3], [11, 7], [13, 8, 19, 1], [9, 20, 12, 14, 17, 16, 22, 18], [21, 23, 24]]
15: [[2], [10, 5, 4, 6, 15, 3], [11, 7], [13, 8, 19, 1], [9, 20, 12, 14, 17, 16, 22, 18], [21, 23, 24]]
16: [[2, 10], [5, 4, 19], [6, 15], [11, 7, 13, 8, 9, 20, 1], [12, 14, 17, 16, 22, 18, 3], [21, 23, 24]]
17: [[2, 10, 5, 4, 19], [6, 15, 11, 7, 13], [8, 9, 20, 1], [12, 14, 17, 16, 22, 18, 3], [21, 23, 24]]
18: [[19], [2, 5, 4, 1, 10], [6, 15, 11, 7], [13, 8, 9, 20, 12, 14, 17], [16, 22, 18, 3], [21, 23, 24]]
19: [[2, 10], [5, 4, 6, 15, 11, 7, 13], [8, 9, 19, 1], [20, 12, 14], [17, 16, 22, 18, 3], [21, 23, 24]]
20: [[2], [10, 5, 4, 6, 15, 11, 7], [13, 8, 9, 20, 12, 1], [14, 17, 19], [16, 22, 18, 3], [21, 23, 24]]
21: [[2, 10], [5, 4, 6, 15, 11, 7, 13], [8, 9, 20, 12, 14, 19, 1], [17, 16, 22, 18, 3], [21, 23, 24]]
22: [[2, 10], [5, 4, 6, 15, 11, 7, 13], [8, 9, 20, 12, 14, 19, 1], [17, 16, 22, 18, 3], [21, 23, 24]]
23: [[2], [10, 5, 4, 6, 15, 11, 7], [13, 8, 9, 20, 1], [12, 14, 19], [17, 16, 22, 18, 3], [21, 23, 24]]
24: [[2], [10, 5, 4, 6, 15, 11, 7], [13, 8, 9, 20, 1], [12, 14, 19], [17, 16, 22, 18, 3], [21, 23, 24]]
25: [[2, 10, 5, 4, 6, 15, 19], [11, 7, 13, 8, 9, 1], [20, 12, 14], [17, 16, 22, 18, 3], [21, 23, 24]]
26: [[2, 10, 5, 4, 19, 1], [6, 15, 11, 7, 13, 8], [9, 20, 12], [14, 17, 16, 22, 18, 3], [21, 23, 24]]
27: [[2, 10, 3], [5, 4, 6, 15, 11, 7, 13], [8, 9, 19, 1], [20, 12, 14, 17, 16, 22, 18], [21, 23, 24]]
28: [[2, 10, 5, 4, 6, 1], [15, 11, 7, 13, 8, 9, 20], [12, 14, 19], [17, 16, 22, 18, 3], [21, 23, 24]]
29: [[2, 10, 5], [4, 6, 15, 11, 7], [13, 8, 9, 1], [20, 12, 19], [14, 17, 16, 22, 18, 3], [21, 23, 24]]
30: [[2, 1], [10, 5, 4, 6, 15, 3], [11, 7, 13, 8, 9, 20, 12, 14, 17, 16, 19], [22, 18], [21, 23, 24]]
31: [[2, 10, 5], [4, 6, 15, 11, 7], [13, 8, 9, 1], [20, 12, 19], [14, 17, 16, 22, 18, 3], [21, 23, 24]]
32: [[2, 10, 5], [4, 6, 15, 11, 7], [13, 8, 9, 1], [20, 12, 19], [14, 17, 16, 22, 18, 3], [21, 23, 24]]
33: [[2], [10, 5, 4, 6, 15, 3], [11, 7, 13, 8], [9, 20, 12, 14, 17, 16, 22, 18, 19, 1], [21, 23, 24]]
34: [[2], [10, 5, 4, 6, 15, 3], [11, 7, 13, 8], [9, 20, 12, 14, 17, 16, 22, 18, 19, 1], [21, 23, 24]]
35: [[2], [10, 5, 19], [4, 6, 15, 11, 7, 13, 8], [9, 20, 12, 14, 17, 1], [16, 22, 18, 3], [21, 23, 24]]
36: [[2, 10, 3], [5, 4, 6, 15, 11, 7], [13, 8, 19, 1], [9, 20, 12, 14, 17, 16], [22, 18], [21, 23, 24]]
37: [[2, 10, 19, 1], [5, 4, 6], [15, 11], [7, 13, 8, 9, 20], [12, 14, 17, 16, 22, 18, 3], [21, 23, 24]]
38: [[2, 10, 5, 3], [4, 6, 15, 11, 7], [13, 8, 19, 1], [9, 20, 12, 14, 17, 16, 22, 18], [21, 23, 24]]
39: [[2, 10, 5], [4, 6, 3], [15, 11, 7, 13, 8, 9, 20, 1], [12, 14, 19], [17, 16, 22, 18], [21, 23, 24]]
40: [[2, 10], [5, 4, 6, 15, 11, 7, 13], [8, 9, 20, 12, 19, 1], [14, 17, 16, 3], [22, 18], [21, 23, 24]]
41: [[2], [10, 5, 3], [4, 6, 15], [11, 7, 13, 8], [9, 20, 12, 14, 17, 16, 22, 18, 19, 1], [21, 23, 24]]
42: [[2], [10, 5, 3], [4, 6, 15, 11, 7], [13, 8, 19, 1], [9, 20, 12, 14, 17, 16, 22, 18], [21, 23, 24]]
43: [[19, 2, 1, 10], [5, 4, 6, 15], [11, 7], [13, 8, 9, 20, 12, 14, 17], [16, 22, 3], [18, 21, 23, 24]]
44: [[2, 10, 5], [4, 6, 15, 11, 7, 13], [8, 9, 20, 12, 14, 19, 1], [17, 16, 3], [22, 18], [21, 23, 24]]
45: [[19, 2, 5, 4, 6, 1], [15, 11], [7, 13, 8, 9], [20, 12, 14, 17, 16, 10], [22, 18, 3], [21, 23, 24]]
46: [[2, 10, 5, 4, 6, 15, 3], [11, 7, 13], [8, 9, 19, 1], [20, 12, 14, 17, 16, 22, 18, 21], [23, 24]]
47: [[3, 19, 2, 5, 6, 1, 10, 4], [15, 11], [7, 13], [8, 9, 20, 12, 14], [17, 16, 22, 18], [21, 23, 24]]
