0: [[5, 2, 8], [13, 12], [3, 11], [20, 17, 18, 19], [1], [7, 10, 9], [14, 16, 4, 6, 15]]
1: [[5, 2], [8, 13, 12], [3, 11], [20, 17, 18, 19], [1], [7, 10, 9], [14, 16, 4, 6, 15]]
2: [[5, 2, 8], [13, 12], [3, 11], [20, 17], [18, 19, 1], [7, 10, 9], [14, 4], [16, 6, 15]]
3: [[5, 2, 8], [13, 12], [3, 11], [20, 17, 18], [19, 1], [7, 10, 9], [14, 4], [16, 6, 15]]
4: [[5, 2, 8], [13, 12], [3, 11], [20, 17, 18], [19, 1, 7, 10, 9], [14, 16, 4, 6, 15]]
5: [[5, 2, 8], [13, 12], [3, 11], [20, 17], [18, 19], [1, 7], [10, 9], [14, 4], [16, 6, 15]]
6: [[5, 2, 8], [13, 12], [3, 11], [20, 17], [18, 19], [1, 7], [10, 9], [14, 4], [16, 6, 15]]
7: [[5, 2, 8], [13, 12], [3, 11], [20, 17, 18], [19, 1, 7, 10], [14, 16, 9, 4, 6, 15]]
8: [[5, 2], [8, 13, 12], [3, 11], [20, 17, 18], [19, 1], [7, 10, 9], [14, 4], [16, 6, 15]]
9: [[5], [2, 8], [13, 12], [3, 11], [20, 17, 18], [19, 1], [7, 10], [14, 9, 4, 15], [16, 6]]
10: [[5, 2, 8], [13, 12], [3, 11, 20], [17, 18, 19], [1, 7, 10, 9], [14], [16, 4, 6, 15]]
11: [[5, 2, 8], [13, 12], [3, 11, 20], [17, 18], [19, 1], [7, 10, 9], [14, 4], [16, 6, 15]]
12: [[5, 2, 8], [13, 12], [3, 11, 20], [17, 18, 19], [1, 7, 10, 14, 16, 6, 9, 4, 15]]
13: [[5, 2, 8], [13, 12, 3, 11], [20], [17, 18, 19], [1, 7, 10, 14, 9], [16, 4, 6, 15]]
14: [[5, 2], [8, 13, 12], [3, 11], [20, 17, 18], [19], [1, 7, 10], [14, 16, 9, 4, 6, 15]]
15: [[5, 2], [8, 13, 12], [3, 11], [20, 17], [18, 19], [1, 7], [10, 9], [14, 4], [16, 6, 15]]
16: [[5, 2, 8], [13, 12], [3, 11, 20], [17, 18, 19, 1], [7, 10, 14, 6, 16, 9, 4, 15]]
17: [[5, 2, 8], [13, 12], [3, 11], [20, 17], [18, 19], [1, 7], [10, 9, 14], [4], [6, 16, 15]]
18: [[5, 2, 8], [13, 12], [3], [11, 20], [17, 18, 19], [1, 7, 10], [14, 16, 9, 4, 6, 15]]
19: [[5, 2], [8, 13, 12, 3], [11], [20, 17, 18], [19, 1], [7, 10, 9], [14, 4], [16, 6, 15]]
20: [[5, 2], [8, 13], [12, 3, 11], [20, 17, 18, 19], [1, 7, 10], [14, 16, 9, 4, 6], [15]]
21: [[5, 2, 8], [13, 12], [3, 11], [20, 17, 18, 19, 1, 7, 10, 14, 4, 6, 16, 15, 9]]
22: [[5, 2], [8, 13], [12, 3, 11], [20, 17, 18], [19, 1], [7, 10], [14, 9, 4, 15], [16, 6]]
23: [[5, 2, 8], [13], [12, 3, 9], [11, 20, 17], [18, 19], [1, 7, 10], [14, 4, 6], [16, 15]]
24: [[5, 2], [8, 13], [12, 3, 11], [20, 17], [18, 19], [1, 7], [10, 9], [14, 4], [16, 6, 15]]
25: [[5, 2], [8, 13, 12], [3, 11, 20], [17, 18, 19], [1, 7, 10], [14, 9, 4], [16, 6, 15]]
26: [[5, 2], [8, 13, 12], [3, 11, 20], [17, 18, 4], [19, 1], [7, 10, 9], [14, 15], [16, 6]]
27: [[5, 2, 8], [13, 12], [3, 11, 20], [17, 18], [19, 1, 7], [10, 9], [14, 4], [16, 6, 15]]
28: [[5, 2], [8, 13, 12], [3, 11], [20, 17, 18], [19, 1, 7], [10, 14, 9], [16, 4, 6, 15]]
29: [[5, 2, 4], [8, 13, 12, 3], [11], [20, 17], [18, 1, 7, 10, 9], [14, 19, 16, 6, 15]]
30: [[5, 2], [8, 13], [12, 3, 9], [11, 20], [17, 18, 19], [1, 7, 10], [14, 4, 6], [16, 15]]
31: [[5, 2, 4], [8, 13, 12], [3], [11, 20], [17, 18, 19], [1, 7, 10], [14, 9, 6], [16, 15]]
32: [[5, 2], [8, 13], [12, 3, 9], [11, 20], [17, 18, 19], [1, 7, 10], [14, 4, 6], [16, 15]]
33: [[5, 2], [8, 13], [12, 3, 11], [20, 17, 18], [19, 4], [1, 14, 9, 15], [7, 10, 16, 6]]
34: [[5], [2, 8, 13], [12, 3, 9], [11, 20], [17, 18, 19], [1, 7, 10], [14, 4, 6], [16, 15]]
35: [[5, 2, 8], [13, 12, 3, 9], [11, 20], [17, 18, 19], [1, 7], [10], [14, 4], [16, 6], [15]]
36: [[5, 2, 8], [13, 12], [3, 11, 20, 17], [18, 19, 1, 7, 10, 14, 9, 4, 15], [6, 16]]
37: [[5, 2, 8], [13, 12, 3, 11, 20], [17, 18, 19, 1, 7, 10, 9, 14, 4, 6, 16, 15]]
38: [[5, 2], [8, 13, 12], [3, 11, 20], [17, 18], [19, 1], [7, 10, 14, 6], [16, 9, 4, 15]]
39: [[5, 2], [8, 13, 12], [11, 20, 17], [18, 19, 1], [7, 10, 14, 6], [16], [3, 4, 15], [9]]
40: [[5, 2, 4], [8, 13], [12, 3, 11, 20], [17], [18, 19], [1, 7, 10], [14, 9, 6, 15], [16]]
41: [[5, 2, 8, 13, 12], [3, 11, 20, 17], [18, 19, 1, 7, 10, 14, 9, 16, 4, 6, 15]]
