0: [[19, 22, 6, 2, 5, 9, 1, 16], [8, 4, 3, 11, 25], [10, 12, 28, 17, 23, 24, 7, 13, 14, 18, 20, 15], [21, 27, 26, 29]]
1: [[19, 22, 6, 1, 7, 2, 5, 9], [8, 4, 3, 11], [13, 10, 12, 16, 28, 17, 23, 18, 20, 24, 25, 15, 14], [21, 27, 26, 29]]
2: [[19, 22, 6, 1, 7, 2, 5, 9], [8, 4, 3, 11, 13, 10, 12, 15], [16, 28, 17, 23, 18, 20, 24, 25, 14], [21, 27, 26, 29]]
3: [[19, 22, 6, 1, 7, 2, 5, 9], [8, 4, 3, 11, 13, 10, 12, 15], [16, 28, 17, 23, 18, 20, 24, 25, 14], [21, 27, 26, 29]]
4: [[19, 22, 6, 1, 7, 2, 5, 9], [8, 4, 3, 11, 13, 10, 12, 15], [16, 28, 17, 23, 18, 20, 24, 25, 14], [21, 27, 26, 29]]
5: [[19, 22, 6, 1, 7, 2, 5, 9], [8, 4, 3, 11, 13, 10, 12, 15], [16, 28, 17, 23, 18, 20, 24, 25, 14], [21, 27, 26, 29]]
6: [[19, 22, 6, 1, 7, 2, 5, 9], [8, 4, 3, 11, 13, 10, 12, 15], [16, 28, 17, 23, 18, 20, 24, 25, 14], [21, 27, 26, 29]]
7: [[19, 22, 6, 1, 7, 2, 5, 9], [8, 4, 3, 11, 13, 10, 12, 15], [16, 28, 17, 23, 18, 20, 24, 25, 14], [21, 27, 26, 29]]
8: [[19, 22, 6, 1, 7, 2, 5, 9], [8, 4, 3, 11, 13, 10, 12, 15], [16, 28, 17, 23, 18, 20, 24, 25, 14], [21, 27, 26, 29]]
9: [[19, 22, 6, 1, 7, 2, 5, 9], [8, 4, 3, 11, 13, 10, 12, 15], [16, 28, 17, 23, 18, 20, 24, 25, 14], [21, 27, 26, 29]]
10: [[19, 22, 6, 1, 7, 2, 5, 9], [8, 4, 3, 11, 13, 10, 12, 15], [16, 28, 17, 23, 18, 20, 24, 25, 14], [21, 27, 26, 29]]
11: [[19, 22, 6, 1, 7, 2, 5], [9, 8, 4, 3, 11, 13, 10, 12, 16, 15, 14], [28, 17, 23, 18, 20, 24, 25], [21, 27, 26, 29]]
12: [[19, 22, 6, 1, 7, 2, 5], [9, 8, 4, 3, 11, 13, 15], [10, 12, 16, 28, 17, 23, 18, 20, 24, 25, 14], [21, 27, 26, 29]]
13: [[19, 22, 6, 1, 7, 2, 5], [9, 8, 4, 3, 11, 13, 10, 12, 15], [16, 28, 17, 23, 18, 20, 24, 25, 14], [21, 27, 26, 29]]
14: [[19, 22, 6, 1, 7, 2, 5, 9], [8, 4, 3, 11, 13, 10, 12, 15, 14], [16, 28, 17, 23, 18, 20, 24, 25], [21, 27, 26, 29]]
15: [[19, 22, 6, 1, 7, 2, 5, 9], [8, 4, 3, 11, 13, 10, 12, 15, 14], [16, 28, 17, 23, 18, 20, 24, 25], [21, 27, 26, 29]]
16: [[19, 22, 6, 1, 7, 2, 5, 9], [8, 4, 3, 11, 13, 10, 12, 15, 14], [16, 28, 17, 23, 18, 20, 24, 25], [21, 27, 26, 29]]
17: [[19, 22, 6, 1, 7, 2, 5, 9], [8, 4, 3, 11, 13, 10, 12, 15, 14], [16, 28, 17, 23, 18, 20, 24, 25], [21, 27, 26, 29]]
18: [[19, 22, 6, 1, 7, 2, 5, 9], [8, 4, 3, 11, 13, 10, 12, 15, 14], [16, 28, 17, 23, 18, 20, 24, 25], [21, 27, 26, 29]]
19: [[19, 22, 6, 1, 7, 2, 5], [9, 8, 4, 3, 11, 13, 10, 15], [12, 16, 28, 17, 23, 18, 20, 24, 25, 14], [21, 27, 26, 29]]
