0: [[19, 9, 1, 17, 2], [6, 5], [3, 11], [4, 7, 15, 8, 12], [13, 10], [25, 20], [16, 18, 22, 14], [23, 24, 28, 29], [21, 27, 26]]
1: [[19, 9, 1, 17, 2], [6, 5], [3, 11], [4, 7, 15, 8, 12], [10, 14], [20, 28, 16, 18, 22], [25, 23, 24, 13, 29], [21, 27, 26]]
2: [[19, 9], [1, 17, 2], [6, 5, 3, 11], [4, 7, 13, 12], [10, 8], [15, 25, 20, 16], [18, 22, 14, 23], [24, 28, 29], [21, 27, 26]]
3: [[19, 9, 1, 17, 6, 2, 5], [3, 11, 4], [7, 13, 8], [25, 12, 14], [20, 24, 10], [15, 16], [23, 18, 28, 22], [29, 21, 27, 26]]
4: [[19, 9], [1, 17], [2, 6], [5, 3, 11], [4, 7, 15], [8, 12, 13], [28, 10, 20], [18, 14, 16], [22, 23], [24, 25], [21, 29, 27, 26]]
5: [[19, 9, 1], [17, 2], [6, 5], [3, 11], [4, 7, 15, 8], [12, 13], [14, 18], [20, 16, 22, 23], [10, 21, 24, 28, 25], [29, 27, 26]]
6: [[19, 9, 1], [17, 2], [6, 5], [3, 11], [4, 7, 15, 8], [12, 13], [14, 18], [20, 16, 22, 23], [10, 21, 24, 28, 25], [29, 27, 26]]
7: [[19, 9, 1], [17, 2], [6, 5], [3, 11], [4, 7, 15, 8], [12, 13], [14, 18, 20, 10, 22], [16, 21, 23, 24, 28, 25], [29, 27, 26]]
8: [[19, 9, 1, 17, 6], [2, 5], [3, 11], [4, 7, 13, 8, 28], [12, 14], [20, 24, 10, 15, 16], [23, 18, 22, 25], [29, 21, 27, 26]]
9: [[19, 9, 1], [17, 2, 6], [5, 3, 11], [4, 7, 15], [8, 12, 10], [14, 20], [28, 13, 22, 18], [25, 16, 23, 24, 29], [21, 27, 26]]
10: [[19, 9, 1, 17], [2, 6, 5], [3, 11, 4, 7, 15, 8, 12, 13, 10, 25, 22, 16, 18, 14, 20], [23, 24, 26, 21, 29, 27, 28]]
11: [[19, 9, 1, 17, 2], [6, 5], [3, 11], [4, 7, 15, 8, 12], [13, 26, 14, 20, 10, 18], [16, 21, 22, 23, 24, 28, 29, 27, 25]]
12: [[19, 9, 1], [17, 2], [6, 5], [3, 11, 4], [7, 15, 8], [12, 13, 28, 16, 10], [18, 14, 24, 22], [23, 26, 21, 29, 20, 27, 25]]
