It No., Best MQ, No clusters, max clus, min clus
1,2.106410256410256,6,6,2
2,1.993378408834798,6,8,3
3,2.1204129597127235,5,9,2
4,1.9088119745423118,4,10,3
5,2.1003770679511984,6,6,2
6,2.0704921348849386,6,8,2
7,2.151938691701495,7,5,1
8,1.9977068008775327,6,5,3
9,1.9808270330075604,5,8,3
10,2.0570327304048233,6,7,2
11,1.9717211131276466,6,8,2
12,2.0194140734510793,4,10,3
13,1.9260141987829615,6,7,2
14,2.107047830218562,5,8,3
15,1.9636164274322168,5,7,3
16,2.0651075977162936,6,9,2
17,2.0226172607879924,5,9,2
18,2.1521346469622333,8,4,2
19,2.0006614960101423,7,6,2
20,1.856911779808976,3,11,3
21,1.8458875585632484,3,11,3
22,1.8821110529072813,3,12,3
23,1.9215055567986874,4,11,3
24,1.9578556941524334,4,9,3
25,1.9361111111111111,5,7,2
26,2.0835611157835716,6,6,3
27,1.9516032747740064,5,8,2
28,1.9132662073838542,4,11,2
29,2.091824631774169,7,5,2
30,1.9460695832675254,4,9,3
31,1.9490042320139407,4,9,3
