It No., Best MQ, No clusters, max clus, min clus
1,1.8839112583554793,13,6,2
2,1.9876851235500856,10,5,3
3,1.6944781779295173,9,9,2
4,1.830438437397693,9,5,2
5,1.6388911402491158,6,11,3
6,1.8109834987116935,7,9,2
7,1.902795342906737,14,5,1
8,2.213124528214043,12,5,1
9,1.9325439266615736,9,8,2
10,1.8516067424037066,12,5,2
11,1.959472001966931,8,10,2
12,2.0158102006998755,13,6,2
13,1.704930359495577,10,15,1
14,1.6308324896883357,11,6,2
15,2.006928560691158,11,6,2
16,1.918168299181053,8,6,3
17,1.8109700106298323,8,9,3
18,1.942036433463595,9,6,1
19,2.0465733361349,10,6,2
20,1.8186688420451014,9,11,2
21,1.6484333857251587,10,7,1
22,1.6121123885740072,8,16,1
23,1.7923230347220722,6,10,2
24,1.742962962962963,8,9,1
25,1.5287610912042477,11,6,2
26,1.8411372831720483,11,5,1
27,1.8723391352346763,11,8,2
28,1.9292926650220568,6,9,3
29,1.6526672887648497,13,4,1
30,1.938577492001182,10,8,2
31,1.852968808423446,9,8,3
