0: [[5, 24, 2, 1, 6], [4, 13, 3, 8, 12], [11, 7, 9, 19, 14], [16, 15, 17, 18], [23, 28, 25, 20, 10, 22], [27, 26, 29, 21]]
1: [[5, 24, 2, 1, 6], [4, 13, 3, 8, 12], [11, 7, 9, 19, 14], [16, 15, 17, 18], [23, 28, 25, 20, 10, 22], [27, 26, 29, 21]]
2: [[5, 24, 2, 1, 6], [4, 13, 3, 8, 12], [11, 7, 9, 19, 14], [16, 15, 17, 18], [23, 28, 25, 20, 10, 22], [27, 26, 29, 21]]
3: [[5, 24, 2, 1, 6], [4, 13, 3, 8, 12], [11, 7, 9, 19, 14], [16, 15, 17, 18], [23, 28, 25, 20, 10, 22], [27, 26, 29, 21]]
4: [[5, 24, 2, 1, 6], [4, 13, 3, 8, 12], [11, 7, 9, 19, 14], [16, 15, 17, 18], [23, 28, 25, 20, 10, 22], [27, 26, 29, 21]]
5: [[5, 24, 2, 1, 6], [4, 13, 3, 8, 12], [11, 7, 9, 19, 14], [16, 15, 17, 18], [23, 28, 25, 20, 10, 22], [27, 26, 29, 21]]
6: [[5, 24, 2, 1, 6], [4, 13, 3, 8, 12], [11, 7, 9, 19, 14], [16, 15, 17, 18], [23, 28, 25, 20, 10, 22], [27, 26, 29, 21]]
7: [[5, 24, 2, 1, 6], [4, 13, 3, 8, 12], [11, 7, 9, 19, 14], [16, 15, 17, 18], [23, 28, 25, 20, 10, 22], [27, 26, 29, 21]]
8: [[5, 24, 2, 1, 6], [4, 13, 3, 8, 12], [11, 7, 9, 19, 14], [16, 15, 17, 18], [23, 28, 25, 20, 10, 22], [27, 26, 29, 21]]
9: [[5, 24, 2, 1, 6], [4, 13, 3, 8, 12], [11, 7, 9, 19, 14], [16, 15, 17, 18], [23, 28, 25, 20, 10, 22], [27, 26, 29, 21]]
10: [[5, 24, 2, 1, 6], [4, 13, 3, 8, 12], [11, 7, 9, 19, 14], [16, 15, 17, 18], [23, 28, 25, 20, 10, 22], [27, 26, 29, 21]]
11: [[5, 24, 2, 1, 6], [4, 13, 3, 8, 12], [11, 7, 9, 19, 14], [16, 15, 17, 18], [23, 28, 25, 20, 10, 22], [27, 26, 29, 21]]
12: [[5, 24, 2, 1, 6], [4, 13, 3, 8, 12], [11, 7, 9, 19, 14], [16, 15, 17, 18], [23, 28, 25, 20, 10, 22], [27, 26, 29, 21]]
13: [[5, 24, 2, 1, 6], [4, 13, 3, 8, 12], [11, 7, 9, 19, 14], [16, 15, 17, 18], [23, 28, 25, 20, 10, 22], [27, 26, 29, 21]]
14: [[5, 24, 2, 1, 6], [4, 13, 3, 8, 12], [11, 7, 9, 19, 14], [16, 15, 17, 18], [23, 28, 25, 20, 10, 22], [27, 26, 29, 21]]
15: [[5, 24, 2, 1, 6], [4, 13, 3, 8, 12], [11, 7, 9, 19, 14], [16, 15, 17, 18], [23, 28, 25, 20, 10, 22], [27, 26, 29, 21]]
16: [[5, 24, 2, 1, 6], [4, 13, 3, 8, 12], [11, 7, 9, 19, 14], [16, 15, 17, 18], [23, 28, 25, 20, 10, 22], [27, 26, 29, 21]]
17: [[5, 24, 2, 1, 6], [4, 13, 3, 8, 12], [11, 7, 9, 19, 14], [16, 15, 17, 18], [23, 28, 25, 20, 10, 22], [27, 26, 29, 21]]
18: [[5, 24, 2, 1, 6], [4, 13, 3, 8, 12], [11, 7, 9, 19, 14], [16, 15, 17, 18], [23, 28, 25, 20, 10, 22], [27, 26, 29, 21]]
19: [[5, 24, 2, 1, 6], [4, 13, 3, 8, 12], [11, 7, 9, 19, 14], [16, 15, 17, 18], [23, 28, 25, 20, 10, 22], [27, 26, 29, 21]]
20: [[5, 24, 2, 1, 6], [4, 13, 3, 8, 12], [11, 7, 9, 19, 14], [16, 15, 17, 18], [23, 28, 25, 20, 10, 22], [27, 26, 29, 21]]
21: [[5, 24, 2, 1, 6], [4, 13, 3, 8, 12], [11, 7, 9, 19, 14], [16, 15, 17, 18], [23, 28, 25, 20, 10, 22], [27, 26, 29, 21]]
22: [[5, 24, 2, 1, 6], [4, 13, 3, 8, 12], [11, 7, 9, 19, 14], [16, 15, 17, 18], [23, 28, 25, 20, 10, 22], [27, 26, 29, 21]]
23: [[5, 24, 2, 1, 6], [4, 13, 3, 8, 12], [11, 7, 9, 19, 14], [16, 15, 17, 18], [23, 28, 25, 20, 10, 22], [27, 26, 29, 21]]
24: [[5, 24, 2, 1, 6], [4, 13, 3, 8, 12], [11, 7, 9, 19, 14], [16, 15, 17, 18], [23, 28, 25, 20, 10, 22], [27, 26, 29, 21]]
25: [[5, 24, 2, 1, 6], [4, 13, 3, 8, 12], [11, 7, 9, 19, 14], [16, 15, 17, 18], [23, 28, 25, 20, 10, 22], [27, 26, 29, 21]]
26: [[5, 24, 2, 1, 6], [4, 13, 3, 8, 12], [11, 7, 9, 19, 14], [16, 15, 17, 18], [23, 28, 25, 20, 10, 22], [27, 26, 29, 21]]
27: [[5, 24, 2, 1, 6], [4, 13, 3, 8, 12], [11, 7, 9, 19, 14], [16, 15, 17, 18], [23, 28, 25, 20, 10, 22], [27, 26, 29, 21]]
28: [[5, 24, 2, 1, 6], [4, 13, 3, 8, 12], [11, 7, 9, 19, 14], [16, 15, 17, 18], [23, 28, 25, 20, 10, 22], [27, 26, 29, 21]]
29: [[5, 24, 2, 1, 6], [4, 13, 3, 8, 12], [11, 7, 9, 19, 14], [16, 15, 17, 18], [23, 28, 25, 20, 10, 22], [27, 26, 29, 21]]
30: [[5, 24, 2, 1, 6], [4, 13, 3, 8, 12], [11, 7, 9, 19, 14], [16, 15, 17, 18], [23, 28, 25, 20, 10, 22], [27, 26, 29, 21]]
31: [[5, 24, 2, 1, 6], [4, 13, 3, 8, 12], [11, 7, 9, 19, 14], [16, 15, 17, 18], [23, 28, 25, 20, 10, 22], [27, 26, 29, 21]]
32: [[5, 24, 2, 1, 6], [4, 13, 3, 8, 12], [11, 7, 9, 19, 14], [16, 15, 17, 18], [23, 28, 25, 20, 10, 22], [27, 26, 29, 21]]
33: [[5, 24, 2, 1, 6], [4, 13, 3, 8, 12], [11, 7, 9, 19, 14], [16, 15, 17, 18], [23, 28, 25, 20, 10, 22], [27, 26, 29, 21]]
34: [[5, 24, 2, 1, 6], [4, 13, 3, 8, 12], [11, 7, 9, 19, 14], [16, 15, 17, 18], [23, 28, 25, 20, 10, 22], [27, 26, 29, 21]]
35: [[5, 24, 2, 1, 6], [4, 13, 3, 8, 12], [11, 7, 9, 19, 14], [16, 15, 17, 18], [23, 28, 25, 20, 10, 22], [27, 26, 29, 21]]
36: [[5, 24, 2, 1, 6], [4, 13, 3, 8, 12], [11, 7, 9, 19, 14], [16, 15, 17, 18], [23, 28, 25, 20, 10, 22], [27, 26, 29, 21]]
37: [[5, 24, 2, 1, 6], [4, 13, 3, 8, 12], [11, 7, 9, 19, 14], [16, 15, 17, 18], [23, 28, 25, 20, 10, 22], [27, 26, 29, 21]]
38: [[5, 24, 2, 1, 6], [4, 13, 3, 8, 12], [11, 7, 9, 19, 14], [16, 15, 17, 18], [23, 28, 25, 20, 10, 22], [27, 26, 29, 21]]
39: [[5, 24, 2, 1, 6], [4, 13, 3, 8, 12], [11, 7, 9, 19, 14], [16, 15, 17, 18], [23, 28, 25, 20, 10, 22], [27, 26, 29, 21]]
40: [[5, 24, 2, 1, 6], [4, 13, 3, 8, 12], [11, 7, 9, 19, 14], [16, 15, 17, 18], [23, 28, 25, 20, 10, 22], [27, 26, 29, 21]]
41: [[5, 24, 2, 1, 6], [4, 13, 3, 8, 12], [11, 7, 9, 19, 14], [16, 15, 17, 18], [23, 28, 25, 20, 10, 22], [27, 26, 29, 21]]
42: [[5, 24, 2, 1, 6], [4, 13, 3, 8, 12], [11, 7, 9, 19, 14], [16, 15, 17, 18], [23, 28, 25, 20, 10, 22], [27, 26, 29, 21]]
43: [[5, 24, 2, 1, 6], [4, 13, 3, 8, 12], [11, 7, 9, 19, 14], [16, 15, 17, 18], [23, 28, 25, 20, 10, 22], [27, 26, 29, 21]]
44: [[5, 24, 2, 1, 6], [4, 13, 3, 8, 12], [11, 7, 9, 19, 14], [16, 15, 17, 18], [23, 28, 25, 20, 10, 22], [27, 26, 29, 21]]
45: [[5, 24, 2, 1, 6], [4, 13, 3, 8, 12], [11, 7, 9, 19, 14], [16, 15, 17, 18], [23, 28, 25, 20, 10, 22], [27, 26, 29, 21]]
46: [[5, 24, 2, 1, 6], [4, 13, 3, 8, 12], [11, 7, 9, 19, 14], [16, 15, 17, 18], [23, 28, 25, 20, 10, 22], [27, 26, 29, 21]]
47: [[5, 24, 2, 1, 6], [4, 13, 3, 8, 12], [11, 7, 9, 19, 14], [16, 15, 17, 18], [23, 28, 25, 20, 10, 22], [27, 26, 29, 21]]
48: [[5, 24, 2, 1, 6], [4, 13, 3, 8, 12], [11, 7, 9, 19, 14], [16, 15, 17, 18], [23, 28, 25, 20, 10, 22], [27, 26, 29, 21]]
49: [[5, 24, 2, 1, 6], [4, 13, 3, 8, 12], [11, 7, 9, 19, 14], [16, 15, 17, 18], [23, 28, 25, 20, 10, 22], [27, 26, 29, 21]]
50: [[5, 24, 2, 1, 6], [4, 13, 3, 8, 12], [11, 7, 9, 19, 14], [16, 15, 17, 18], [23, 28, 25, 20, 10, 22], [27, 26, 29, 21]]
51: [[5, 24, 2, 1, 6], [4, 13, 3, 8, 12], [11, 7, 9, 19, 14], [16, 15, 17, 18], [23, 28, 25, 20, 10, 22], [27, 26, 29, 21]]
52: [[5, 24, 2, 1, 6], [4, 13, 3, 8, 12], [11, 7, 9, 19, 14], [16, 15, 17, 18], [23, 28, 25, 20, 10, 22], [27, 26, 29, 21]]
53: [[5, 24, 2, 1, 6], [4, 13, 3, 8, 12], [11, 7, 9, 19, 14], [16, 15, 17, 18], [23, 28, 25, 20, 10, 22], [27, 26, 29, 21]]
