0: [[4, 13, 5, 6, 1, 12], [11, 2, 16, 7, 3, 10], [8, 9, 14, 15, 17, 18], [19, 23, 20, 21, 22, 24]]
1: [[4, 13, 5, 6, 1, 12], [11, 2, 16, 7, 3, 10], [8, 9, 14, 15, 17, 18], [19, 23, 20, 21, 22, 24]]
2: [[4, 13, 5, 6, 1, 12], [11, 2, 16, 7, 3, 10], [8, 9, 14, 15, 17, 18], [19, 23, 20, 21, 22, 24]]
3: [[4, 13, 5, 6, 1, 12], [11, 2, 16, 7, 3, 10], [8, 9, 14, 15, 17, 18], [19, 23, 20, 21, 22, 24]]
4: [[4, 13, 5, 6, 1, 12], [11, 2, 16, 7, 3, 10], [8, 9, 14, 15, 17, 18], [19, 23, 20, 21, 22, 24]]
5: [[4, 13, 5, 6, 1, 12], [11, 2, 16, 7, 3, 10], [8, 9, 14, 15, 17, 18], [19, 23, 20, 21, 22, 24]]
6: [[4, 13, 5, 6, 1, 12], [11, 2, 16, 7, 3, 10], [8, 9, 14, 15, 17, 18], [19, 23, 20, 21, 22, 24]]
7: [[4, 13, 5, 6, 1, 12], [11, 2, 16, 7, 3, 10], [8, 9, 14, 15, 17, 18], [19, 23, 20, 21, 22, 24]]
8: [[4, 13, 5, 6, 1, 12], [11, 2, 16, 7, 3, 10], [8, 9, 14, 15, 17, 18], [19, 23, 20, 21, 22, 24]]
9: [[4, 13, 5, 6, 1, 12], [11, 2, 16, 7, 3, 10], [8, 9, 14, 15, 17, 18], [19, 23, 20, 21, 22, 24]]
10: [[4, 13, 5, 6, 1, 12], [11, 2, 16, 7, 3, 10], [8, 9, 14, 15, 17, 18], [19, 23, 20, 21, 22, 24]]
11: [[4, 13, 5, 6, 1, 12], [11, 2, 16, 7, 3, 10], [8, 9, 14, 15, 17, 18], [19, 23, 20, 21, 22, 24]]
12: [[4, 13, 5, 6, 1, 12], [11, 2, 16, 7, 3, 10], [8, 9, 14, 15, 17, 18], [19, 23, 20, 21, 22, 24]]
13: [[4, 13, 5, 6, 1, 12], [11, 2, 16, 7, 3, 10], [8, 9, 14, 15, 17, 18], [19, 23, 20, 21, 22, 24]]
14: [[4, 13, 5, 6, 1, 12], [11, 2, 16, 7, 3, 10], [8, 9, 14, 15, 17, 18], [19, 23, 20, 21, 22, 24]]
15: [[4, 13, 5, 6, 1, 12], [11, 2, 16, 7, 3, 10], [8, 9, 14, 15, 17, 18], [19, 23, 20, 21, 22, 24]]
16: [[4, 13, 5, 6, 1, 12], [11, 2, 16, 7, 3, 10], [8, 9, 14, 15, 17, 18], [19, 23, 20, 21, 22, 24]]
17: [[4, 13, 5, 6, 1, 12], [11, 2, 16, 7, 3, 10], [8, 9, 14, 15, 17, 18], [19, 23, 20, 21, 22, 24]]
18: [[4, 13, 5, 6, 1, 12], [11, 2, 16, 7, 3, 10], [8, 9, 14, 15, 17, 18], [19, 23, 20, 21, 22, 24]]
19: [[4, 13, 5, 6, 1, 12], [11, 2, 16, 7, 3, 10], [8, 9, 14, 15, 17, 18], [19, 23, 20, 21, 22, 24]]
20: [[4, 13, 5, 6, 1, 12], [11, 2, 16, 7, 3, 10], [8, 9, 14, 15, 17, 18], [19, 23, 20, 21, 22, 24]]
21: [[4, 13, 5, 6, 1, 12], [11, 2, 16, 7, 3, 10], [8, 9, 14, 15, 17, 18], [19, 23, 20, 21, 22, 24]]
22: [[4, 13, 5, 6, 1, 12], [11, 2, 16, 7, 3, 10], [8, 9, 14, 15, 17, 18], [19, 23, 20, 21, 22, 24]]
23: [[4, 13, 5, 6, 1, 12], [11, 2, 16, 7, 3, 10], [8, 9, 14, 15, 17, 18], [19, 23, 20, 21, 22, 24]]
24: [[4, 13, 5, 6, 1, 12], [11, 2, 16, 7, 3, 10], [8, 9, 14, 15, 17, 18], [19, 23, 20, 21, 22, 24]]
25: [[4, 13, 5, 6, 1, 12], [11, 2, 16, 7, 3, 10], [8, 9, 14, 15, 17, 18], [19, 23, 20, 21, 22, 24]]
26: [[4, 13, 5, 6, 1, 12], [11, 2, 16, 7, 3, 10], [8, 9, 14, 15, 17, 18], [19, 23, 20, 21, 22, 24]]
27: [[4, 13, 5, 6, 1, 12], [11, 2, 16, 7, 3, 10], [8, 9, 14, 15, 17, 18], [19, 23, 20, 21, 22, 24]]
28: [[4, 13, 5, 6, 1, 12], [11, 2, 16, 7, 3, 10], [8, 9, 14, 15, 17, 18], [19, 23, 20, 21, 22, 24]]
29: [[4, 13, 5, 6, 1, 12], [11, 2, 16, 7, 3, 10], [8, 9, 14, 15, 17, 18], [19, 23, 20, 21, 22, 24]]
30: [[4, 13, 5, 6, 1, 12], [11, 2, 16, 7, 3, 10], [8, 9, 14, 15, 17, 18], [19, 23, 20, 21, 22, 24]]
31: [[4, 13, 5, 6, 1, 12], [11, 2, 16, 7, 3, 10], [8, 9, 14, 15, 17, 18], [19, 23, 20, 21, 22, 24]]
32: [[4, 13, 5, 6, 1, 12], [11, 2, 16, 7, 3, 10], [8, 9, 14, 15, 17, 18], [19, 23, 20, 21, 22, 24]]
33: [[4, 13, 5, 6, 1, 12], [11, 2, 16, 7, 3, 10], [8, 9, 14, 15, 17, 18], [19, 23, 20, 21, 22, 24]]
34: [[4, 13, 5, 6, 1, 12], [11, 2, 16, 7, 3, 10], [8, 9, 14, 15, 17, 18], [19, 23, 20, 21, 22, 24]]
35: [[4, 13, 5, 6, 1, 12], [11, 2, 16, 7, 3, 10], [8, 9, 14, 15, 17, 18], [19, 23, 20, 21, 22, 24]]
36: [[4, 13, 5, 6, 1, 12], [11, 2, 16, 7, 3, 10], [8, 9, 14, 15, 17, 18], [19, 23, 20, 21, 22, 24]]
37: [[4, 13, 5, 6, 1, 12], [11, 2, 16, 7, 3, 10], [8, 9, 14, 15, 17, 18], [19, 23, 20, 21, 22, 24]]
38: [[4, 13, 5, 6, 1, 12], [11, 2, 16, 7, 3, 10], [8, 9, 14, 15, 17, 18], [19, 23, 20, 21, 22, 24]]
39: [[4, 13, 5, 6, 1, 12], [11, 2, 16, 7, 3, 10], [8, 9, 14, 15, 17, 18], [19, 23, 20, 21, 22, 24]]
40: [[4, 13, 5, 6, 1, 12], [11, 2, 16, 7, 3, 10], [8, 9, 14, 15, 17, 18], [19, 23, 20, 21, 22, 24]]
41: [[4, 13, 5, 6, 1, 12], [11, 2, 16, 7, 3, 10], [8, 9, 14, 15, 17, 18], [19, 23, 20, 21, 22, 24]]
42: [[4, 13, 5, 6, 1, 12], [11, 2, 16, 7, 3, 10], [8, 9, 14, 15, 17, 18], [19, 23, 20, 21, 22, 24]]
43: [[4, 13, 5, 6, 1, 12], [11, 2, 16, 7, 3, 10], [8, 9, 14, 15, 17, 18], [19, 23, 20, 21, 22, 24]]
44: [[4, 13, 5, 6, 1, 12], [11, 2, 16, 7, 3, 10], [8, 9, 14, 15, 17, 18], [19, 23, 20, 21, 22, 24]]
