0: [[17, 2, 22, 4, 37], [7, 9, 1, 3], [11, 12, 5], [13, 6, 15, 24], [10, 8, 14, 29], [16, 19, 20, 18], [21, 25, 28, 26, 27], [31, 23, 30, 34, 32, 33], [35, 36]]
1: [[17, 2, 22, 4, 37], [7, 9, 1, 3], [11, 12, 5], [13, 6, 15, 24], [10, 8, 14, 29], [16, 19, 20, 18], [21, 25, 28, 26, 27], [31, 23, 30, 34, 32, 33], [35, 36]]
2: [[17, 2, 22, 4, 37], [7, 9, 1, 3], [11, 12, 5], [13, 6, 15, 24], [10, 8, 14, 29], [16, 19, 20, 18], [21, 25, 28, 26], [27, 31, 23], [30, 34, 32], [33, 35, 36]]
3: [[17, 2, 22], [4, 37, 7], [9, 1, 3], [11, 12, 5, 13], [6, 15, 24], [10, 8, 14], [29, 16, 19], [20, 18, 21], [25, 28, 26], [27, 31], [23, 30, 34, 32, 33, 35, 36]]
4: [[17, 2, 22, 4, 37], [7, 9, 1, 3], [11, 12, 5], [13, 6, 15, 24], [10, 8, 14, 29], [16, 19, 20, 18], [21, 25, 28], [26, 27, 31], [23, 30, 34, 32, 33, 35, 36]]
5: [[17, 2, 22, 4, 37], [7, 9, 1, 3], [11, 12, 5], [13, 6, 15, 24], [10, 8, 14, 29], [16, 19, 20, 18], [21, 25, 28], [26, 27, 31], [23, 30, 34, 32, 33, 35, 36]]
6: [[17, 2, 22, 4, 37], [7, 9, 1, 3], [11, 12, 5], [13, 6, 15, 24], [10, 8, 14, 29], [16, 19, 20, 18], [21, 25, 28], [26, 27, 31], [23, 30, 34, 32, 33, 35, 36]]
7: [[17, 2], [22, 4, 37, 7], [9, 1, 3], [11, 12, 5], [13, 6, 15], [24, 10], [8, 14], [29, 16], [19, 20, 18], [21, 25, 28, 26], [27, 31, 23, 30], [34, 32, 33, 35, 36]]
8: [[17, 2, 22], [4, 37, 7], [9, 1, 3], [11, 12, 5], [13, 6], [15, 24, 10], [8, 14, 29], [16, 19, 20], [18, 21], [25, 28, 26], [27, 31, 23], [30, 34, 32], [33, 35, 36]]
9: [[17, 2], [22, 4, 37], [7, 9, 1], [3, 11], [12, 5, 13], [6, 15, 24], [10, 8, 14], [29, 16, 19], [20, 18, 21], [25, 28, 26], [27, 31, 23], [30, 34, 32], [33, 35, 36]]
10: [[17, 2, 22], [4, 37, 7], [9, 1, 3], [11, 12, 5, 13], [6, 15, 24], [10, 8, 14], [29, 16, 19], [20, 18, 21], [25, 28, 26, 27], [31, 23], [30, 34, 32], [33, 35, 36]]
11: [[17, 2], [22, 4, 37], [7, 9], [1, 3, 11], [12, 5, 13], [6, 15, 24], [10, 8, 14], [29, 16, 19], [20, 18, 21], [25, 28, 26], [27, 31, 23], [30, 34, 32], [33, 35, 36]]
12: [[17, 2, 22], [4, 37, 7], [9, 1, 3], [11, 12, 5], [13, 6, 15, 24], [10, 8, 14], [29, 16, 19, 20, 18], [21, 25, 28, 26], [27, 31, 23, 30], [34, 32], [33, 35, 36]]
13: [[17, 2, 22], [4, 37, 7], [9, 1, 3], [11, 12, 5], [13, 6, 15, 24], [10, 8, 14, 29], [16, 19, 20, 18], [21, 25], [28, 26, 27], [31, 23, 30, 34, 32, 33, 35, 36]]
14: [[17, 2, 22], [4, 37, 7], [9, 1, 3], [11, 12, 5], [13, 6, 15, 24], [10, 8, 14, 29], [16, 19, 20, 18], [21, 25], [28, 26, 27], [31, 23, 30, 34, 32, 33, 35, 36]]
