0: [[3, 2, 1, 8, 14, 4, 6], [5, 10, 7], [12, 11, 13, 9], [15, 17, 18, 16, 19, 20]]
1: [[3, 2, 1, 8, 14, 4, 6], [5, 10, 7], [12, 9, 11, 13], [15, 17, 18, 16, 19, 20]]
2: [[3, 2, 1, 8, 14, 4, 6], [5, 10, 7], [12, 9, 11, 13], [15, 17, 18, 16, 19, 20]]
3: [[3, 2, 1, 8, 14, 4, 6], [5, 10, 7], [12, 9, 11, 13], [15, 17, 18, 16, 19, 20]]
4: [[3, 2, 1, 8, 14, 4, 6], [5, 10, 7], [12, 9, 11, 13], [15, 17, 18, 16, 19, 20]]
5: [[3, 2, 1, 8, 14, 4, 6], [5, 10, 7], [12, 9, 11, 13], [15, 17, 18, 16, 19, 20]]
6: [[3, 2, 1, 8, 14, 4, 6], [5, 10, 7], [12, 9, 11, 13], [15, 17, 18, 16, 19, 20]]
7: [[3, 2, 1, 8, 14, 4, 6], [5, 10, 7], [12, 9, 11, 13], [15, 17, 18, 16, 19, 20]]
8: [[3, 2, 1, 8, 14, 4, 6], [5, 10, 7], [12, 9, 11, 13], [15, 17, 18, 16, 19, 20]]
9: [[3, 2, 1, 8, 14, 4, 6], [5, 10, 7], [12, 9, 11, 13], [15, 17, 18, 16, 19, 20]]
10: [[3, 2, 1, 8, 14, 4, 6], [5, 10, 7], [12, 9, 11, 13], [15, 17, 18, 16, 19, 20]]
11: [[3, 2, 1, 8, 14, 4, 6], [5, 10, 7], [12, 9, 11, 13], [15, 17, 18, 16, 19, 20]]
12: [[3, 2, 1, 8, 14, 4, 6], [5, 10, 7], [12, 9, 11, 13], [15, 17, 18, 16, 19, 20]]
13: [[3, 2, 1, 8, 14, 4, 6], [5, 10, 7], [12, 9, 11, 13], [15, 17, 18, 16, 19, 20]]
14: [[3, 2, 1, 8, 14, 4, 6], [5, 10, 7], [12, 9, 11, 13], [15, 17, 18, 16, 19, 20]]
15: [[3, 2, 1, 8, 14, 4, 6], [5, 10, 7], [12, 9, 11, 13], [15, 17, 18, 16, 19, 20]]
16: [[3, 2, 1, 8, 14, 4, 6], [5, 10, 7], [12, 9, 11, 13], [15, 17, 18, 16, 19, 20]]
17: [[3, 2, 1, 8, 14, 4, 6], [5, 10, 7], [12, 9, 11, 13], [15, 17, 18, 16, 19, 20]]
18: [[3, 2, 1, 8, 14, 4, 6], [5, 10, 7], [12, 9, 11, 13], [15, 17, 18, 16, 19, 20]]
19: [[3, 2, 1, 8, 14, 4, 6], [5, 10, 7], [12, 9, 11, 13], [15, 17, 18, 16, 19, 20]]
20: [[3, 2, 1, 8, 14, 4, 6], [5, 10, 7], [12, 9, 11, 13], [15, 17, 18, 16, 19, 20]]
21: [[3, 2, 1, 8, 14, 4, 6], [5, 10, 7], [12, 9, 11, 13], [15, 17, 18, 16, 19, 20]]
22: [[3, 2, 1, 8, 14, 4, 6], [5, 10, 7], [12, 9, 11, 13], [15, 17, 18, 16, 19, 20]]
23: [[3, 2, 1, 8, 14, 4, 6], [5, 10, 7], [12, 9, 11, 13], [15, 17, 18, 16, 19, 20]]
24: [[3, 2, 1, 8, 14, 4, 6], [5, 10, 7], [12, 9, 11, 13], [15, 17, 18, 16, 19, 20]]
25: [[3, 2, 1, 8, 14, 4, 6], [5, 10, 7], [12, 9, 11, 13], [15, 17, 18, 16, 19, 20]]
26: [[3, 2, 1, 8, 14, 4, 6], [5, 10, 7], [12, 9, 11, 13], [15, 17, 18, 16, 19, 20]]
27: [[3, 2, 1, 8, 14, 4, 6], [5, 10, 7], [12, 9, 11, 13], [15, 17, 18, 16, 19, 20]]
28: [[3, 2, 1, 8, 14, 4, 6], [5, 10, 7], [12, 9, 11, 13], [15, 17, 18, 16, 19, 20]]
29: [[3, 2, 1, 8, 14, 4, 6], [5, 10, 7], [12, 9, 11, 13, 15], [17, 18, 16, 19, 20]]
30: [[3, 2, 1, 8, 14, 4, 6], [5, 10, 7], [12, 9, 11, 13, 15], [17, 18, 16, 19, 20]]
31: [[3, 2, 4, 1, 8, 14, 5, 6], [10, 7], [12, 11, 13, 9], [15, 17, 18, 16, 19, 20]]
32: [[3, 2, 4, 1, 8, 14, 6], [5, 10, 7], [12, 11, 9], [13, 15, 17, 18, 16, 19, 20]]
33: [[3, 2, 4, 1, 8, 14, 6], [5, 10, 7], [12, 11, 9], [13, 15, 17, 18, 16, 19, 20]]
34: [[3, 2, 1, 8, 14, 4, 6], [5, 10, 7, 12], [9, 11, 13], [15, 17, 18, 16, 19, 20]]
35: [[3, 2, 1, 8, 14, 4, 6], [5, 10, 7, 12], [9, 11, 13], [15, 17, 18, 16, 19, 20]]
36: [[3, 2, 1, 8, 14, 4, 6], [5, 10, 7, 12], [9, 11, 13], [15, 17, 18, 16, 19, 20]]
37: [[3, 2, 4, 1, 8, 14, 6], [5, 10, 7], [12, 9], [11, 13, 15, 17, 18, 16, 19, 20]]
38: [[3, 2, 4, 1, 8, 14, 5, 10, 6], [7, 12], [11, 13, 9], [15, 17, 18, 16, 19, 20]]
39: [[3, 2, 4, 1, 8, 6], [14, 5, 10], [7, 12, 11, 9], [13, 15, 17, 18, 16, 19, 20]]
40: [[3, 2, 4, 1, 8, 6], [14, 5, 10], [7, 12, 11, 9], [13, 15, 17, 18, 16, 19, 20]]
41: [[3, 2, 4, 1, 8, 14, 5], [10, 7, 12, 6], [11, 13, 15, 9], [17, 18, 16, 19, 20]]
