0: [[35, 20, 2, 7, 4, 3, 27, 19, 14], [40, 5, 9, 1, 11, 8, 12, 29, 24, 15, 17, 16, 18, 10], [22, 23, 28, 31], [26, 13, 25, 30, 34, 33, 36, 32, 37, 39, 42, 21, 6], [38, 47, 41, 43, 44, 45, 46, 51, 50, 56], [49, 48, 52, 53, 54, 55, 59, 58, 57, 60]]
1: [[35, 20, 2, 7, 4, 3, 27, 19, 14], [40, 5, 9, 1, 11, 8, 12, 29, 24, 15, 17, 16, 18, 10], [22, 23, 28, 31], [26, 13, 25, 30, 34, 33, 36, 32, 37, 39, 42, 21, 6], [38, 47, 41, 43, 44, 45, 46, 51, 50, 56], [49, 48, 52, 53, 54, 55, 59, 58, 57, 60]]
2: [[35, 20, 2, 7, 4, 3, 27, 19, 14], [40, 5, 9, 1, 11, 8, 12, 29, 24, 15, 17, 16, 18, 10], [22, 23, 28, 31], [26, 13, 25, 30, 34, 33, 36, 32, 37, 39, 42, 21, 6], [38, 47, 41, 43, 44, 45, 46, 51, 50, 56], [49, 48, 52, 53, 54, 55, 59, 58, 57, 60]]
3: [[35, 20, 2, 7, 4, 3, 27, 19, 14], [40, 5, 9, 1, 11, 8, 10, 29, 6, 13, 12, 16, 18, 15, 21, 24], [22, 23, 28, 31], [17, 25, 30, 26, 36, 33, 32, 34, 37, 39, 42], [38, 47, 41, 43, 44, 45, 46, 51, 50, 56], [49, 48, 52, 53, 54, 55, 59, 58, 57, 60]]
4: [[35, 20, 2, 7, 4, 3, 27, 19, 14], [40, 5, 9, 1, 11, 8, 10, 29, 12, 15, 6, 13, 18, 16, 21, 24], [22, 23, 28, 31], [17, 25, 30, 26, 36, 33, 32, 34, 37, 39, 42], [38, 47, 41, 43, 44, 45, 46, 51, 50, 56], [49, 48, 52, 53, 54, 55, 59, 58, 57, 60]]
5: [[35, 20, 2, 7, 4, 3, 27, 19, 14], [40, 5, 9, 1, 11, 8, 12, 29, 15, 6, 10, 13, 18, 16, 21, 24], [22, 23, 28, 31], [17, 25, 30, 26, 36, 33, 32, 34, 37, 39, 42], [38, 47, 41, 43, 44, 45, 46, 51, 50, 56], [49, 48, 52, 53, 54, 55, 59, 58, 57, 60]]
6: [[35, 20, 2, 7, 4, 3, 27, 19, 14], [40, 5, 9, 1, 11, 8, 13, 29, 12, 15, 16, 24, 18, 10, 21, 6], [22, 23, 28, 31], [17, 25, 30, 26, 36, 33, 32, 34, 37, 39, 42], [38, 47, 41, 43, 44, 45, 46, 51, 50, 56], [49, 48, 52, 53, 54, 55, 59, 58, 57, 60]]
7: [[35, 20, 2, 7, 4, 3, 27, 19, 14], [40, 5, 9, 1, 11, 8, 6, 29, 12, 10, 13, 15, 18, 16, 21, 24], [22, 23, 28, 31], [17, 25, 30, 26, 36, 33, 32, 34, 37, 39, 42], [38, 47, 41, 43, 44, 45, 46, 51, 50, 56], [49, 48, 52, 53, 54, 55, 59, 58, 57, 60]]
8: [[35, 20, 2, 7, 4, 3, 27, 19, 14], [40, 5, 9, 1, 11, 8, 13, 29, 12, 15, 16, 24, 18, 10, 21, 6], [22, 23, 28, 31], [17, 25, 30, 26, 36, 33, 32, 34, 37, 39, 42], [38, 47, 41, 43, 44, 45, 46, 51, 50, 56], [49, 48, 52, 53, 54, 55, 59, 58, 57, 60]]
9: [[35, 20, 2, 7, 4, 3, 27, 19, 14], [40, 5, 9, 1, 11, 8, 12, 29, 10, 13, 15, 16, 18, 24, 21, 6], [22, 23, 28, 31], [17, 25, 30, 26, 36, 33, 32, 34, 37, 39, 42], [38, 47, 41, 43, 44, 45, 46, 51, 50, 56], [49, 48, 52, 53, 54, 55, 59, 58, 57, 60]]
10: [[35, 20, 2, 7, 4, 3, 27, 19, 14], [40, 5, 9, 1, 11, 8, 6, 29, 10, 12, 13, 15, 18, 16, 21, 24], [22, 23, 28, 31], [17, 25, 30, 26, 36, 33, 32, 34, 37, 39, 42], [38, 47, 41, 43, 44, 45, 46, 51, 50, 56], [49, 48, 52, 53, 54, 55, 59, 58, 57, 60]]
