0: [[10, 7, 2, 5], [1, 3, 8], [13, 12, 11, 9], [14, 15, 16, 4, 6], [17, 18, 19, 20]]
1: [[10, 7, 2, 5], [1, 3, 8], [13, 12, 11, 9], [14, 4], [16, 17, 6, 15], [18, 19, 20]]
2: [[10, 7, 2, 5], [1, 3, 8], [13, 12, 11, 9], [14, 4, 6], [16, 17, 18, 15], [19, 20]]
3: [[10, 7, 2, 5], [1, 3, 8], [13, 12, 11, 9], [14, 4, 6], [16, 17, 18, 15], [19, 20]]
4: [[10, 7, 2, 5], [1, 3, 8], [13, 12, 11, 9], [14, 4], [16, 6, 15], [17, 18, 19], [20]]
5: [[10, 7, 2, 5], [1, 3, 8], [13, 12, 11, 9], [14, 20, 18, 17, 15, 19, 16, 4, 6]]
6: [[10, 7, 2, 5], [1, 3, 8], [13, 12, 11, 9], [14, 6], [16, 17, 15], [18, 19], [20, 4]]
7: [[10, 7, 2, 5], [1, 3, 8], [13, 12, 11, 9], [14, 20, 4], [18, 17], [19, 16, 6, 15]]
8: [[10, 7, 2, 5], [1, 3, 8], [13, 12, 11], [14, 9, 4, 6], [18], [17, 16, 19, 20, 15]]
9: [[10, 7, 2, 5], [1, 3, 8], [13, 12, 11], [14, 9, 4, 6], [18], [17, 16, 19, 20, 15]]
10: [[10, 7, 2, 5], [1, 3, 8], [13, 12], [11, 14, 9], [16, 4, 6, 15], [17], [18, 19, 20]]
11: [[10, 7, 2, 5], [1, 3, 8, 13], [12, 11], [14, 9, 4, 6], [15, 16, 17, 18, 19, 20]]
12: [[10, 7, 2, 5], [1, 3, 8], [13, 12], [11, 14, 9, 4], [15, 18, 17, 16, 19, 20, 6]]
13: [[10, 7, 2, 5, 1], [3, 8, 13], [12, 11, 14, 9], [15, 16, 4, 6], [17, 18, 19, 20]]
14: [[10, 7, 2], [5, 1, 3, 8], [13, 12, 11, 14, 9], [15, 16, 4, 6], [17, 18, 19, 20]]
15: [[10, 7, 2], [5, 1, 3, 8], [13, 12, 11, 14, 9], [15, 16, 4, 6], [17, 18, 19, 20]]
16: [[10, 7, 2], [5, 1, 3, 8], [13, 12, 11, 9], [14, 4, 6], [18, 17, 16, 15], [19, 20]]
17: [[10, 7, 2], [5, 1, 3, 8], [13, 12, 11, 9], [14, 4, 6], [16, 17, 18, 15], [19, 20]]
18: [[10, 7, 2, 5], [1, 3], [8, 13, 12, 11], [14, 9, 6], [16, 17, 18, 19, 20], [4, 15]]
19: [[10, 7, 2, 5], [1, 3], [8, 13, 12, 11, 9, 14, 6, 15, 16, 17, 4], [18, 19, 20]]
20: [[10, 7, 2], [5, 1, 3, 8], [13, 12, 11], [14, 9], [16, 4, 6, 15], [17, 18, 19, 20]]
21: [[10, 7, 2, 5], [1, 3], [8, 13, 12, 11, 9, 14, 6, 15, 16, 17, 4], [18, 19, 20]]
22: [[10, 7, 2], [5, 1, 3, 8], [13, 12, 11, 9], [14, 15, 16, 17, 18, 19, 20, 4, 6]]
23: [[10, 7], [5, 1, 2], [3, 8, 13], [12, 11, 14, 9], [15, 16, 4, 6], [17, 18, 19, 20]]
24: [[10, 7, 2], [5, 1, 3, 8], [13, 12, 11, 9], [14, 20, 15, 17, 18, 19, 16, 4, 6]]
25: [[10, 7, 2, 5], [1, 3, 8], [13, 12, 11, 14, 20, 15, 9, 4, 6], [17, 18, 19, 16]]
26: [[10, 7], [5, 1, 3, 8, 2], [13], [12, 11, 14, 9], [15, 16, 4, 6], [17, 18, 19, 20]]
27: [[10, 7, 2], [5, 1, 3, 8], [13, 12, 11, 9], [14, 6, 15], [20, 4], [17, 18, 19, 16]]
28: [[10, 7, 2, 5], [1, 3, 8], [13, 12, 11, 9, 14, 4, 6, 15, 16, 17, 18, 19, 20]]
29: [[10, 7, 2], [5, 1, 3, 8], [13, 12, 11], [14, 15, 20, 4, 18, 17, 6, 19, 16, 9]]
30: [[10, 7, 2], [5, 1, 3], [8, 13, 12, 11], [14, 9, 4, 6], [16, 17, 15], [18, 19, 20]]
31: [[10, 7, 2, 5], [1, 3, 8, 13], [12, 11, 9, 14, 15, 4, 6, 20, 17, 18, 19, 16]]
32: [[10, 7, 2], [5, 1, 3, 8], [13, 12, 11, 14, 9], [15, 20, 4, 6], [17, 18, 19, 16]]
33: [[10, 7, 2, 5], [1, 3, 8, 13], [12, 11, 14, 9], [15, 20, 6], [17, 18, 19, 16, 4]]
34: [[10, 7, 2, 5], [1, 3, 8, 13, 12], [11, 14, 9, 4], [15, 16, 17, 18, 19, 20, 6]]
35: [[10, 7], [2, 5, 1, 3], [8, 13, 12, 11, 14, 6, 4, 15, 9], [18, 17, 20, 19, 16]]
36: [[10, 7], [2, 5, 1, 3], [8, 13, 12, 11], [14, 9, 6], [20, 18, 4], [17, 19, 15], [16]]
37: [[10, 7], [2, 5, 1, 3], [8, 13, 12, 11], [9], [14, 6, 4, 15, 20, 17, 18, 19, 16]]
38: [[10, 7, 2, 5, 1], [3, 8, 13, 12], [11, 9, 14, 4, 6, 15, 16, 17, 18, 19, 20]]
39: [[10, 7], [2, 5, 1, 3], [8, 13], [12, 11, 14, 9], [16, 4, 6, 15], [17], [18, 19, 20]]
40: [[10, 7, 2], [5, 1, 3, 8], [13, 12, 11, 9, 14, 6, 4, 15, 16, 17, 18, 19, 20]]
41: [[10, 7, 2], [5, 1, 3], [8, 13, 12, 11], [9, 14, 4, 6, 15, 16, 17, 18, 19], [20]]
