0: [[36, 19], [28, 9, 66, 1], [26, 83, 14, 54, 3], [20, 6, 62, 65, 30], [48, 58, 76, 31], [32, 11, 37, 8], [46, 68, 17, 61, 21], [35, 2, 77, 51, 57, 72], [69, 29, 10, 39, 53], [86, 45, 18, 56, 63], [27, 24, 33, 43, 12, 13, 23, 74], [4, 84], [7, 34], [5, 55, 59, 41, 42, 15], [38, 25, 44, 49, 73], [47, 52, 16, 40, 71, 75], [64, 50, 67, 70, 22], [78, 79], [60, 81, 82, 85], [80, 87, 88]]
1: [[36, 19], [28, 9, 66, 1], [26, 83, 14, 54, 3], [20, 6, 62, 65, 30], [48, 58, 76, 31], [32, 11, 37, 8], [46, 68, 17, 61, 21], [35, 2, 77, 51, 57, 72], [69, 29, 10, 39, 53], [86, 45, 18, 56, 63], [27, 24, 33, 43, 12, 13, 23, 74], [4, 84], [7, 34], [5, 55, 59, 41, 42, 15], [38, 25, 44, 49, 73], [47, 52, 16, 40, 71, 75], [64, 50, 67, 70, 22], [78, 79], [60, 81, 82, 85], [80, 87, 88]]
2: [[36, 22, 7, 1, 2, 6, 9, 3, 11, 4, 5, 15, 8, 26, 14, 12], [19, 16, 23, 18, 21, 24, 20, 28, 25, 27, 17, 29, 63, 43, 30, 46, 50, 37, 31, 13], [55, 35, 38, 32, 34, 40, 56, 47, 33, 39, 42, 41, 45, 44, 49, 54, 53, 51, 52, 48, 59, 60, 10], [58, 57, 61, 62, 66, 68, 69, 64, 72, 75, 67, 65, 79, 74, 70, 71, 73, 77, 78, 76, 85, 80, 87, 81, 83, 84, 82, 86, 88]]
3: [[36, 22, 7, 1, 5, 4, 10, 2, 6, 15, 3, 30, 25, 9, 12, 11, 14, 13, 18, 28], [17, 16, 19, 23, 29, 26, 20, 24, 8, 31, 59, 32, 21, 63, 35, 27, 33, 37], [43, 45, 38, 39, 41, 42, 44, 46, 50, 47, 49, 34, 51, 40, 54, 53, 52, 56, 60, 55, 48], [57, 62, 61, 58, 67, 68, 66, 65, 70, 64, 74, 76, 75, 71, 69, 79, 77, 72, 78, 73, 80, 84, 81, 87, 82, 85, 83, 86, 88]]
4: [[36, 22, 5, 1, 4, 6, 2, 14, 12, 11, 9, 10, 25, 8, 26, 7, 16, 23, 13, 3], [17, 18, 30, 19, 52, 20, 21, 24, 27, 57, 59, 31, 35, 34, 28, 15, 40, 29, 42, 47, 33, 32], [41, 37, 38, 39, 46, 43, 44, 45, 49, 60, 50, 48, 62, 56, 51, 53, 61], [54, 55, 58, 63, 67, 64, 65, 71, 66, 75, 68, 77, 69, 72, 74, 79, 76, 70, 73, 78, 84, 80, 82, 83, 85, 86, 81, 87, 88]]
5: [[36, 22, 3, 5, 2, 6, 14, 1, 10, 4, 11, 12, 9, 28, 13, 29, 25, 8, 7, 16, 20], [23, 15, 19, 17, 18, 27, 24, 30, 31, 26, 59, 32, 33, 63, 21, 49, 34, 44], [45, 43, 37, 42, 35, 38, 41, 46, 47, 48, 60, 50, 39, 53, 40, 52, 55, 51, 54, 56], [61, 57, 58, 62, 67, 65, 64, 68, 73, 75, 69, 71, 66, 70, 74, 72, 77, 76, 79, 78, 85, 80, 81, 84, 83, 86, 82, 87, 88]]
6: [[36, 17, 5, 4, 2, 23], [65, 15, 38, 7], [3, 6, 56, 1], [31, 24, 42, 8, 39], [16, 9, 25, 49, 11], [21, 14, 19], [18, 58, 75, 59], [20, 26], [69, 33, 55, 10], [27, 29, 30, 34, 45], [35, 61, 37, 51, 28, 44, 52, 40], [32, 48], [43, 46, 12, 13, 22], [47, 50, 63, 41, 53, 54], [66, 57, 68, 60, 73], [62, 70, 72, 74, 71, 77], [64, 78, 67, 79, 83], [76, 84], [85, 81, 82, 87], [80, 86, 88]]
7: [[36, 22, 7, 1, 5, 2, 13, 4, 9, 14, 10, 25, 3, 11, 6, 12, 26, 15, 8, 16], [18, 17, 48, 52, 19, 20, 51, 21, 23, 24, 27, 60, 50, 47, 28, 45, 59, 33, 29], [30, 34, 31, 41, 40, 32, 43, 35, 37, 39, 38, 42, 44, 49, 46, 55, 53, 54, 56, 63], [58, 61, 62, 57, 67, 64, 65, 78, 66, 69, 71, 77, 74, 68, 70, 72, 73, 75, 76, 79, 84, 82, 81, 80, 86, 83, 85, 87, 88]]
8: [[36, 22, 7, 1, 2, 3, 8, 6, 4, 13, 12, 11, 9, 28, 43, 10, 18, 25, 24], [14, 16, 19, 30, 21, 26, 15, 31, 17, 20, 57, 23, 27, 54, 50, 48, 41, 29, 32, 62, 42], [35, 34, 5, 47, 58, 38, 33, 39, 37, 51, 44, 46, 53, 40, 49, 61, 52, 55, 56], [59, 60, 45, 63, 66, 68, 64, 69, 70, 65, 67, 71, 74, 79, 75, 72, 76, 77, 73, 78, 80, 85, 83, 81, 82, 84, 86, 87, 88]]
9: [[36, 22, 7, 1, 4, 2, 10, 5, 6, 8, 9, 14, 24, 23, 11, 13, 12, 3, 26, 28], [31, 44, 19, 18, 16, 20, 17, 25, 21, 54, 29, 41, 30, 53, 33, 42, 32, 35], [59, 15, 45, 61, 34, 38, 56, 43, 60, 47, 39, 37, 50, 52, 48, 46, 55, 40, 57, 51, 49], [58, 62, 63, 27, 64, 73, 66, 68, 65, 69, 67, 70, 76, 71, 78, 72, 74, 75, 77, 79, 84, 80, 81, 86, 87, 82, 83, 85, 88]]
10: [[36, 22, 7, 1, 4, 2, 10, 5, 6, 8, 9, 14, 24, 23, 11, 13, 12, 3, 26, 28], [31, 44, 19, 18, 16, 20, 17, 25, 21, 54, 29, 41, 30, 53, 33, 42, 32, 35], [59, 15, 45, 61, 34, 38, 56, 43, 60, 47, 39, 37, 50, 52, 48, 46, 55, 40, 57, 51, 49], [58, 62, 63, 27, 64, 73, 66, 68, 65, 69, 67, 70, 76, 71, 78, 72, 74, 75, 77, 79, 84, 80, 81, 86, 87, 82, 83, 85, 88]]
