0: [[12, 9, 13, 7, 6, 11, 2], [5, 3, 1], [4, 8, 10]]
1: [[2, 12, 9, 13, 7, 6, 11], [5, 3, 1], [4, 8, 10]]
2: [[2, 12, 9, 13, 7, 6, 11], [5, 3, 1], [4, 8, 10]]
3: [[2, 12, 9, 13, 7, 6, 11], [5, 3, 1], [4, 8, 10]]
4: [[2, 12, 9, 13, 7, 6, 11], [5, 3, 1], [4, 8, 10]]
5: [[2, 12, 9, 13, 7, 6, 11], [5, 3, 1], [4, 8, 10]]
6: [[2, 12, 9, 13, 7, 6, 11], [5, 3, 1], [4, 8, 10]]
7: [[2, 12, 9, 13, 7, 6, 11], [5, 3, 1], [4, 8, 10]]
8: [[2, 12, 9, 13, 7, 6, 11], [5, 3, 1], [4, 8, 10]]
9: [[2, 12, 9, 13, 7, 6, 11], [5, 3, 1], [4, 8, 10]]
10: [[2, 12, 9, 13, 7, 6, 11], [5, 3, 1], [4, 8, 10]]
11: [[2, 12, 9, 13, 7, 6, 11], [5, 3, 1], [4, 8, 10]]
12: [[2, 12, 9, 13, 7, 6, 11], [5, 3, 1], [4, 8, 10]]
13: [[2, 12, 9, 13, 7, 6, 11], [5, 3], [1, 4, 8, 10]]
14: [[2, 12, 9, 13, 7, 6, 11], [5, 3], [1, 4, 8, 10]]
15: [[2, 12, 9, 13, 7, 6, 11], [5, 3], [1, 4, 8, 10]]
16: [[2, 12, 9, 13, 7, 6, 11, 5], [3, 1], [4, 8, 10]]
17: [[2, 12, 9, 13, 7, 6, 11, 5], [3, 1], [4, 8, 10]]
18: [[2, 12, 9, 13, 7, 6, 11, 5], [3, 1], [4, 8, 10]]
19: [[2, 12, 9, 13, 7, 6, 11, 5], [3, 1], [4, 8, 10]]
20: [[2, 12, 9, 13, 7, 6, 11], [5, 3, 1, 4], [8, 10]]
21: [[2, 12, 9, 13, 7, 6, 11], [5, 3, 1, 4], [8, 10]]
22: [[2, 12, 9, 13, 7, 6, 11], [5, 3, 1, 4], [8, 10]]
23: [[2, 12, 9, 13, 7, 6], [11, 5, 3, 1], [4, 8, 10]]
24: [[2, 12, 9, 13, 7, 6], [11, 5, 3, 1], [4, 8, 10]]
25: [[2, 12, 9, 13, 7, 6, 11, 5], [3, 1, 4], [8, 10]]
26: [[2, 12, 9, 13, 7, 6], [11, 5, 3], [1, 4, 8, 10]]
27: [[2, 12, 9, 13, 7, 6], [11, 5, 3], [1, 4, 8, 10]]
