0: [[5, 35, 15, 2, 1, 19, 11], [9, 7, 3, 4, 18], [6, 12, 14, 8, 10, 29], [16, 13, 23, 20, 22, 37], [17], [21, 26, 25, 27, 28], [24], [30, 31, 32, 34, 33], [36]]
1: [[5, 35, 15, 2, 1, 19, 11], [9, 7, 3, 4, 18], [6, 12, 14, 8, 10, 29], [16, 13, 23, 20, 22, 37], [17], [21, 26, 25, 27, 28], [24], [30, 31, 32, 34, 33], [36]]
2: [[5, 35], [15, 2, 1, 19, 11], [9, 7, 3, 4, 18], [6, 12, 14, 8, 10, 29], [16, 13, 23, 20, 22, 37], [17], [21, 26, 25, 27, 28], [24], [30, 31, 32, 34, 33], [36]]
3: [[5, 35, 15, 2, 1, 19], [11, 9, 7, 3, 4], [18, 6, 12, 14, 8], [10, 29], [16, 13, 23, 20, 22], [37], [17], [21, 26, 25, 27, 28], [24], [30, 31, 32, 34, 33], [36]]
4: [[5, 35, 15, 2, 1], [19, 11], [9, 7, 3, 4, 18], [6], [12, 14, 8, 10, 29], [16, 13, 23, 20, 22], [37, 17], [21, 26, 25, 27, 28], [24], [30, 31, 32, 34, 33], [36]]
5: [[5, 35, 15, 2, 1], [19, 11], [9, 7, 3, 4, 18], [6], [12, 14, 8, 10, 29], [16, 13, 23, 20, 22], [37, 17], [21, 26, 25, 27, 28], [24], [30, 31, 32, 34, 33], [36]]
6: [[5, 35, 15, 2, 1], [19], [11], [9, 7, 3, 4, 18], [6, 12, 14, 8, 10], [29, 16], [13, 23, 20, 22], [37], [17, 21, 26, 25, 27, 28], [24], [30, 31, 32, 34, 33], [36]]
7: [[5, 35, 15], [2, 1, 19], [11, 9, 7, 3], [4, 18, 6], [12], [14, 8, 10], [29, 16], [13, 23, 20, 22], [37, 17], [21, 26, 25, 27, 28], [24], [30, 31, 32, 34, 33], [36]]
8: [[5, 35, 15, 2, 1], [19], [11], [9, 7, 3, 4, 18], [6, 12, 14, 8, 10], [29, 16], [13, 23, 20, 22], [37], [17, 21, 26, 25, 27, 28], [24], [30, 31, 32, 34, 33], [36]]
9: [[5, 35, 15, 2, 1], [19], [11], [9, 7, 3, 4, 18], [6, 12, 14, 8, 10], [29, 16], [13, 23, 20, 22], [37], [17, 21, 26, 25, 27, 28], [24], [30, 31, 32, 34, 33], [36]]
10: [[5, 35, 15], [2, 1, 19, 11], [9, 7, 3, 4], [18, 6, 12, 14, 8], [10, 29], [16, 13, 23, 20, 22], [37], [17], [21, 26, 25, 27, 28], [24], [30, 31, 32, 34, 33], [36]]
11: [[5, 35, 15], [2, 1, 19, 11], [9, 7], [3, 4, 18], [6, 12, 14, 8], [10, 29, 16, 13, 23], [20, 22, 37], [17], [21, 26, 25, 27, 28], [24], [30, 31, 32, 34, 33], [36]]
12: [[5, 35, 15, 2], [1, 19, 11, 9, 7], [3, 4, 18, 6], [12, 14, 8, 10, 29], [16, 13, 23, 20, 22, 37, 17, 21], [26, 25, 27, 28], [24, 30, 31, 32, 34], [33, 36]]
13: [[5, 35, 15, 2, 1], [19, 11, 9, 7, 3], [4], [18, 6, 12, 14], [8, 10], [29, 16], [13, 23, 20, 22, 37, 17], [21, 26, 25, 27, 28], [24], [30, 31, 32, 34, 33], [36]]
14: [[5, 35, 15, 2], [1, 19, 11, 9, 7], [3, 4, 18, 6], [12, 14, 8, 10, 29], [16, 13], [23, 20, 22, 37, 17], [21], [26, 25, 27, 28, 24], [30, 31, 32, 34, 33], [36]]
15: [[5, 35, 15, 2, 1], [19, 11, 9, 7, 3, 4], [18, 6, 12, 14], [8, 10, 29, 16], [13, 23, 20, 22], [37, 17], [21, 26, 25, 27, 28], [24], [30, 31, 32, 34, 33], [36]]
16: [[5, 35, 15, 2], [1, 19, 11, 9], [7, 3, 4, 18], [6, 12], [14, 8, 10], [29, 16, 13, 23, 20], [22], [37, 17], [21, 26, 25, 27, 28], [24], [30, 31, 32, 34, 33], [36]]
17: [[5, 35, 15, 2, 1, 19, 11], [9, 7, 3, 4, 18], [6, 12, 14, 8, 10, 29], [16, 13, 23, 20, 22, 37], [17], [21], [26, 25, 27, 28, 24], [30], [31, 32, 34, 33, 36]]
18: [[5, 35, 15], [2, 1, 19], [11, 9, 7], [3], [4, 18, 6, 12, 14], [8], [10, 29, 16, 13], [23, 20, 22, 37], [17, 21, 26, 25, 27, 28], [24], [30, 31, 32, 34, 33, 36]]
19: [[5, 35], [15, 2, 1, 19, 11], [9, 7, 3, 4, 18, 6], [12, 14, 8, 10, 29, 16], [13, 23, 20, 22, 37], [17, 21], [26, 25, 27, 28, 24], [30, 31, 32, 34, 33, 36]]
20: [[5, 35, 15], [2, 1, 19, 11], [9, 7, 3, 4], [18, 6, 12, 14, 8], [10, 29], [16, 13, 23, 20, 22], [37], [17, 21, 26, 25, 27], [28], [24, 30, 31, 32, 34], [33], [36]]
21: [[5, 35, 15, 2, 1, 19, 11], [9, 7, 3, 4, 18], [6, 12, 14, 8, 10, 29], [16, 13, 23, 20, 22], [37, 17, 21, 26, 25], [27], [28], [24, 30, 31, 32, 34, 33, 36]]
22: [[5, 35, 15], [2, 1, 19], [11, 9, 7, 3], [4, 18, 6], [12], [14, 8, 10], [29, 16], [13, 23, 20, 22], [37, 17, 21, 26, 25], [27, 28], [24], [30, 31, 32, 34, 33], [36]]
23: [[5, 35, 15], [2, 1, 19, 11], [9, 7], [3, 4, 18], [6, 12, 14], [8, 10], [29, 16, 13, 23], [20, 22], [37, 17], [21, 26, 25, 27, 28], [24], [30, 31, 32, 34], [33, 36]]
