0: [[29, 22, 7, 6, 2, 1, 4, 3], [12, 11, 5], [10, 8, 14, 9], [13, 15, 19, 17], [16, 23, 20, 21], [18, 24, 27], [25, 26, 28], [31, 30, 32, 33], [35, 34, 36, 37]]
1: [[29, 22, 7, 6, 2, 1, 4, 3], [12, 11, 5], [10, 8, 14, 9], [13, 15, 19, 17], [16, 23, 20, 21], [18, 24, 27], [25, 26, 28], [31, 30, 32, 33], [35, 34, 36, 37]]
2: [[29, 22, 7], [6, 2, 1, 4], [3, 12, 11, 5], [10, 8, 14, 9], [13, 15, 19], [17, 16, 23, 20], [18, 21, 24, 27], [25, 26, 28], [31, 30, 32, 33], [35, 34, 36, 37]]
3: [[29, 22, 7, 6], [2, 1, 4], [3, 12, 11, 5], [10, 8, 14, 9], [13, 15, 19, 17], [16, 23, 20, 18], [21, 24, 27], [25, 26, 28], [31, 30, 32, 33], [35, 34, 36, 37]]
4: [[29, 22, 7], [6, 2, 1, 4], [3, 12, 11, 5], [10, 8, 14, 9], [13, 15, 19, 17], [16, 23, 20], [18, 21, 24], [27, 25, 26, 28], [31, 30, 32, 33], [35, 34, 36, 37]]
5: [[29, 22, 7], [6, 2, 1, 4], [3, 12, 11, 5], [10, 8, 14, 9], [13, 15, 19, 17], [16, 23, 20], [18, 21, 24], [27, 25, 26, 28], [31, 30, 32, 33], [35, 34, 36, 37]]
6: [[29, 22, 7], [6, 2, 1, 4], [3, 12, 11, 5], [10, 8, 14, 9], [13, 15, 19, 17], [16, 23, 20], [18, 21, 24], [27, 25, 26, 28], [31, 30, 32, 33], [35, 34, 36, 37]]
7: [[29, 22, 7], [6, 2, 1, 4], [3, 12, 11, 5], [10, 8, 14, 9], [13, 15, 19, 17], [16, 23, 20], [18, 21, 24], [27, 25, 26, 28], [31, 30, 32, 33], [35, 34, 36, 37]]
8: [[29, 22, 7], [6, 2, 1, 4], [3, 12, 11, 5], [10, 8, 14, 9], [13, 15, 19, 17], [16, 23, 20], [18, 21, 24], [27, 25, 26, 28], [31, 30, 32, 33], [35, 34, 36, 37]]
9: [[29, 22, 7], [6, 2, 1, 4], [3, 12, 11, 5], [10, 8, 14, 9], [13, 15, 19, 17], [16, 23, 20], [18, 21, 24], [27, 25, 26, 28], [31, 30, 32, 33], [35, 34, 36, 37]]
10: [[29, 22, 7], [6, 2, 1, 4], [3, 12, 11, 5], [10, 8, 14, 9], [13, 15, 19, 17], [16, 23, 20], [18, 21, 24, 27], [25, 26, 28, 31], [30, 32, 33], [35, 34, 36, 37]]
11: [[29, 22, 7, 6], [2, 1, 4], [3, 12, 11, 5], [10, 8, 14, 9], [13, 15, 19, 17], [16, 23, 20], [18, 21, 24], [27, 25, 26, 28], [31, 30, 32, 33], [35, 34, 36, 37]]
