0: [[10, 11, 9, 2], [5], [4, 6, 1, 3], [7, 12, 8, 13]]
1: [[10, 11, 1, 2, 9], [5, 3, 4, 6], [7, 12, 8, 13]]
2: [[10, 11, 1, 2], [9, 5, 3, 4, 6], [7, 12, 8, 13]]
3: [[10, 1, 2], [9, 5, 3, 4, 6], [7, 12], [8, 13, 11]]
4: [[10], [1, 9, 2], [5, 3], [4, 6], [7, 12, 8, 13, 11]]
5: [[10, 11, 1, 9, 2], [5], [4, 6, 3], [7, 12, 8, 13]]
6: [[10, 11, 1, 2], [9, 5, 3, 4, 6], [12, 8, 7], [13]]
7: [[10, 11, 1, 2], [9, 5, 3, 4, 6], [12, 8, 7], [13]]
8: [[10, 11, 1, 2], [9, 5, 3, 4, 6], [12, 8, 7], [13]]
9: [[10, 11, 1, 2, 9, 5, 3, 4, 6], [7, 12], [8, 13]]
10: [[10, 11, 1, 2], [9, 5, 3, 4], [6, 7, 12, 8, 13]]
11: [[10], [11, 1, 2, 9, 5, 3, 4, 6, 7, 12, 8], [13]]
12: [[10, 11, 1, 2, 9, 5], [3, 4], [6, 7, 12, 8, 13]]
13: [[10, 1, 11], [9, 5, 2], [3, 4, 6], [7, 12, 8, 13]]
14: [[10, 11, 1, 2, 9], [5], [3, 4, 6, 7, 12, 8, 13]]
15: [[10, 11], [1, 9, 5, 3, 4, 2], [6, 12, 8, 7], [13]]
16: [[10, 11], [1, 2], [5, 3, 4], [6, 7, 12, 8, 13, 9]]
17: [[10, 11], [1, 2], [5, 3, 4], [6, 7, 12, 8, 13, 9]]
18: [[10, 11], [1, 2], [9, 5], [3, 4, 6], [7, 12, 8, 13]]
19: [[10, 11, 1], [5, 3, 4, 2], [6, 7, 12, 8, 13, 9]]
20: [[10, 11], [1], [2, 9, 5, 3, 4, 6, 7, 12, 8, 13]]
21: [[10, 11, 1, 2], [9, 5, 3, 4, 6, 7, 12], [8, 13]]
22: [[10, 11, 1, 2], [9, 5, 3, 4, 6, 7], [12, 8, 13]]
23: [[10, 11], [1, 2, 9, 5, 3, 4, 6, 7, 12], [8, 13]]
24: [[10, 11], [1, 2], [9, 5, 3, 4, 6, 7, 12, 8, 13]]
25: [[10, 11, 1], [2, 9, 5, 3], [4, 6, 7, 12, 8, 13]]
26: [[10, 11, 1, 2, 9], [5, 3, 4, 6, 7], [12, 8, 13]]
27: [[10, 1], [9, 5], [3, 4, 6, 7], [12, 8, 13, 11, 2]]
