0: [[3, 6, 16], [2, 19, 20, 10, 4, 1], [7, 11], [9, 8, 14, 12, 15, 17, 18, 5, 13], [22], [21, 23, 24]]
1: [[3, 6, 13, 16], [1, 2, 19], [5, 20, 10, 4], [7, 11], [9, 8, 14, 12], [15, 17, 18], [22], [21, 23, 24]]
2: [[16, 3, 6], [1, 2, 19, 5, 20], [10, 4], [7, 11], [9, 8, 14, 13], [12, 15, 17], [18, 22], [21, 23, 24]]
3: [[13, 6], [1, 2], [19, 5], [20, 10, 4], [7, 11, 9], [8, 14, 12], [15, 17], [18, 22, 3, 16], [21, 23, 24]]
4: [[3, 6, 13, 16], [1, 2, 19], [5, 20], [10, 4], [7, 11], [9], [8, 14, 12], [15, 17, 18], [22, 21, 23, 24]]
5: [[3, 6, 13, 16], [1, 2], [19, 5], [20, 10], [4, 7, 11], [9, 8, 14, 12], [15, 17, 18, 22], [21, 23, 24]]
6: [[13, 1, 2, 19], [5, 20], [10, 4, 7, 11, 9, 8, 14], [12, 3, 6, 16], [15, 17, 18], [22, 21, 23, 24]]
7: [[13, 6], [1, 2, 19, 16], [5, 20], [10, 4, 3], [7, 11], [9, 8, 14, 12], [15, 17, 18], [22, 21, 23, 24]]
8: [[16, 3, 6], [1, 2, 13], [19, 5, 20], [10, 4], [7, 11, 9], [8, 14], [12, 15], [17, 18, 22], [21, 23, 24]]
9: [[16, 1, 3, 6], [2, 19], [5, 20, 10], [4, 7, 11], [9, 8, 13], [14, 12], [15, 17, 18], [22], [21, 23, 24]]
10: [[3, 6, 13, 16, 1], [2, 19], [5, 20, 10], [4], [7, 11, 9], [8, 14, 12], [15, 17, 18], [22], [21, 23, 24]]
11: [[3, 6, 13, 16], [1, 2], [19, 5], [20, 10], [4, 7, 11], [9, 8, 14, 12], [15, 17, 18], [22, 21, 23, 24]]
12: [[16], [1, 2, 19], [5], [20, 10, 3], [4, 7, 11, 9, 6], [8, 14, 12, 13], [15], [17, 18, 22], [21, 23, 24]]
13: [[16, 3, 6], [1, 2, 13], [19, 5], [20, 10], [4, 7], [11, 9, 8], [14, 12, 15], [17, 18, 22], [21, 23, 24]]
14: [[16, 1, 3, 6], [2, 19], [5, 20], [10, 4], [7, 11, 9, 8], [14, 12, 13], [15, 17, 18], [22, 21, 23, 24]]
15: [[16, 1, 3, 6, 13], [2, 19, 5, 20], [10, 4, 7, 11], [9, 8, 14], [12, 15, 17, 18], [22, 21, 23, 24]]
16: [[3, 6, 13, 16], [1, 2, 19], [5, 20], [10, 4], [7, 11], [9], [8, 14, 12], [15, 17, 18, 22, 21], [23, 24]]
17: [[16, 1, 2, 19, 3], [5, 20, 10], [4, 7, 11, 6], [9, 8, 14, 12, 15, 13], [17, 18], [22, 21, 23, 24]]
18: [[16, 1, 2, 19], [5, 20], [10, 4, 7, 3, 6], [11, 9, 8, 14], [12, 13], [15, 17, 18], [22, 21, 23, 24]]
19: [[16, 3, 6], [1, 2, 19], [5, 20], [10, 4, 7], [11, 9], [8, 14, 13], [12, 15, 17], [18, 22], [21, 23, 24]]
20: [[13, 1], [2, 19, 5], [20, 10, 3], [4, 7, 16], [11, 9], [8, 14, 12, 6], [15, 17, 18, 22], [21, 23, 24]]
21: [[13], [1, 2, 19, 5], [20, 10], [4, 7], [11, 9, 6], [8, 14, 12, 15], [17], [18, 3, 16], [22, 21, 23, 24]]
22: [[13], [1, 2], [19, 5], [20, 10, 4, 3], [7], [11, 9, 6], [8, 14, 12], [15], [17, 18, 22, 16], [21, 23, 24]]
23: [[1, 13], [2, 19], [5, 20], [10, 4, 3, 6], [7, 11, 9], [8], [14, 12], [15, 17], [18, 16], [22, 21, 23, 24]]
24: [[3, 6, 13], [16, 1], [2, 19, 5, 20], [10, 4, 7, 11], [9, 8, 14, 12], [15, 17, 18], [22, 21, 23, 24]]
25: [[3, 6, 13], [16, 1], [2, 19, 5, 20], [10, 4, 7, 11], [9, 8, 14, 12], [15, 17, 18], [22, 21, 23, 24]]
26: [[16, 3, 6], [1, 2, 19], [5, 20], [10, 4, 7, 11], [9, 8, 13], [14, 12, 15, 17], [18, 22], [21], [23, 24]]
27: [[16, 1, 3, 6], [2, 19, 5], [20, 10, 4, 7], [11, 9], [8, 14, 13], [12, 15, 17, 18], [22, 21, 23, 24]]
28: [[13, 1, 6], [2, 19], [5, 20], [10, 4, 3, 16], [7, 11, 9, 8, 14, 12], [15, 17, 18], [22, 21], [23, 24]]
29: [[1, 13], [2, 19, 5], [20], [10, 4, 3, 6], [7, 11, 9, 8], [14, 12, 15, 17], [18, 16], [22, 21], [23, 24]]
30: [[16, 1, 3, 6], [2, 19, 5], [20, 10], [4, 7], [11, 9], [8, 14, 13], [12, 15, 17], [18, 22], [21, 23, 24]]
31: [[16, 1, 2, 6, 13], [19, 5], [20], [10, 4, 3], [7, 11], [9, 8], [14, 12, 15, 17], [18, 22, 21, 23, 24]]
32: [[16, 1, 2, 6, 13], [19, 5, 20], [10, 4, 3], [7, 11], [9, 8, 14], [12, 15, 17], [18, 22, 21, 23, 24]]
33: [[16, 3], [1, 2, 13], [19, 5, 20], [10, 4, 7], [11, 9, 8, 6], [14, 12, 15, 17], [18, 22, 21, 23, 24]]
34: [[16, 3, 6], [1, 2, 19, 13], [5, 20, 10, 4], [7, 11, 9, 8], [14, 12, 15, 17, 18, 22, 21, 23, 24]]
35: [[13], [1], [2, 19, 5], [20, 10, 4, 3], [7, 11, 9, 8, 14, 12, 15, 6], [17], [18, 22, 21, 16], [23, 24]]
36: [[16, 1, 2, 19, 3, 6], [5, 20, 10, 4], [7, 11, 9], [8, 14, 12, 15, 13], [17, 18, 22, 21, 23, 24]]
37: [[13, 16, 3, 6], [1, 2, 19], [5, 20, 10, 4, 7, 11, 9, 8, 14], [12, 15, 17, 18, 22, 21, 23, 24]]
38: [[16], [1, 2, 19, 5], [20, 10, 3], [4, 7, 11, 9, 6], [8, 14, 12, 15, 13], [17, 18], [22, 21, 23], [24]]
39: [[16, 3, 6], [1, 2, 19, 5, 13], [20, 10, 4], [7, 11, 9, 8], [14, 12, 15, 17, 18, 22, 21, 23, 24]]
40: [[13, 6], [1, 2, 19], [5, 20], [10, 4, 3, 16], [7, 11, 9], [8, 14, 12, 15, 17, 18, 22, 21, 23, 24]]
41: [[13], [1, 2, 19], [5, 20, 10, 3, 6], [4, 7, 11, 16], [9], [8, 14, 12], [15, 17, 18, 22, 21, 23, 24]]
42: [[13, 6], [1], [2, 19, 5, 20], [10, 4, 3, 16], [7, 11, 9], [8, 14, 12, 15], [17, 18, 22, 21, 23, 24]]
43: [[3, 6], [13, 16, 1, 2], [19, 5, 20, 10, 4, 7, 11, 9, 8, 14, 12, 15, 17, 18, 22, 21, 23, 24]]
44: [[3, 6, 13, 16, 1], [2], [19, 5, 20, 10], [4, 7, 11, 9, 8, 14, 12, 15, 17, 18, 22, 21, 23, 24]]
45: [[13, 1, 6], [2, 19], [5], [20, 10, 4, 3, 16], [7, 11, 9, 8, 14, 12, 15, 17, 18, 22, 21, 23, 24]]
46: [[3, 6, 13, 16], [1, 2], [19, 5, 20, 10, 4, 7], [11, 9], [8, 14, 12, 15], [17], [18, 22, 21, 23], [24]]
47: [[13], [1], [2, 19, 5, 20], [10, 4, 7, 11, 9, 3, 6, 16], [8, 14, 12, 15], [17, 18, 22, 21, 23, 24]]
48: [[16, 1, 3, 6, 13], [2, 19], [5, 20], [10, 4, 7], [11, 9, 8], [14, 12, 15], [17, 18, 22, 21, 23, 24]]
49: [[13], [1, 2], [19, 5, 20], [10, 4, 7, 3, 6, 16], [11, 9], [8, 14, 12], [15, 17, 18, 22, 21, 23, 24]]
