0: [[20, 3, 11, 1, 10, 14], [6, 2, 7, 5, 28, 24], [8, 4, 13, 17, 12], [16, 9, 23, 18, 19, 22], [21, 27, 15, 25, 26, 29]]
1: [[20, 3, 11, 1, 10, 14], [6, 2, 7, 5, 28, 24], [8, 4, 13, 17, 12], [16, 9, 23, 18, 19, 22], [21, 27, 15, 25, 26, 29]]
2: [[20, 3, 11, 1, 10, 14], [6, 2, 7, 5, 28, 24], [8, 4, 13, 17, 12], [16, 9, 23, 18, 19, 22], [21, 27, 15, 25, 26, 29]]
3: [[20, 3, 11, 1, 10, 14], [6, 2, 7, 5, 28, 24], [8, 4, 13, 17, 12], [16, 9, 23, 18, 19, 22], [21, 27, 15, 25, 26, 29]]
4: [[20, 3, 11, 1, 10, 14], [6, 2, 7, 5, 28, 24], [8, 4, 13, 17, 12], [16, 9, 23, 18, 19, 22], [21, 27, 15, 25, 26, 29]]
5: [[20, 3, 11, 1, 10, 14], [6, 2, 7, 5, 28, 24], [8, 4, 13, 17, 12], [16, 9, 23, 18, 19, 22], [21, 27, 15, 25, 26, 29]]
6: [[20, 3, 11, 1, 10, 14], [6, 2, 7, 5, 28, 24], [8, 4, 13, 17, 12], [16, 9, 23, 18, 19, 22], [21, 27, 15, 25, 26, 29]]
7: [[20, 3, 11, 1, 10, 14], [6, 2, 7, 5, 28, 24], [8, 4, 13, 17, 12], [16, 9, 23, 18, 19, 22], [21, 27, 15, 25, 26, 29]]
8: [[20, 3, 11, 1, 10, 14], [6, 2, 7, 5, 28, 24], [8, 4, 13, 17, 12], [16, 9, 23, 18, 19, 22], [21, 27, 15, 25, 26, 29]]
9: [[20, 3, 11, 1, 10, 14], [6, 2, 7, 5, 28, 24], [8, 4, 13, 17, 12], [16, 9, 23, 18, 19, 22], [21, 27, 15, 25, 26, 29]]
10: [[20, 3, 11, 1, 10, 14], [6, 2, 7, 5, 28, 24], [8, 4, 13, 17, 12], [16, 9, 23, 18, 19, 22], [21, 27, 15, 25, 26, 29]]
11: [[20, 3, 11, 1, 10, 14], [6, 2, 7, 5, 28, 24], [8, 4, 13, 17, 12], [16, 9, 23, 18, 19, 22], [21, 27, 15, 25, 26, 29]]
12: [[20, 3, 11, 1, 10, 14], [6, 2, 7, 5, 28, 24], [8, 4, 13, 17, 12], [16, 9, 23, 18, 19, 22], [21, 27, 15, 25, 26, 29]]
13: [[20, 3, 11, 1, 10, 14], [6, 2, 7, 5, 28, 24], [8, 4, 13, 17, 12], [16, 9, 23, 18, 19, 22], [21, 27, 15, 25, 26, 29]]
14: [[20, 3, 11, 1, 10, 14], [6, 2, 7, 5, 28, 24], [8, 4, 13, 17, 12], [16, 9, 23, 18, 19, 22], [21, 27, 15, 25, 26, 29]]
15: [[20, 3, 11, 1, 10, 14], [6, 2, 7, 5, 28, 24], [8, 4, 13, 17, 12], [16, 9, 23, 18, 19, 22], [21, 27, 15, 25, 26, 29]]
16: [[20, 3, 11, 1, 10, 14], [6, 2, 7, 5, 28, 24], [8, 4, 13, 17, 12], [16, 9, 23, 18, 19, 22], [21, 27, 15, 25, 26, 29]]
17: [[20, 3, 11, 1, 10, 14], [6, 2, 7, 5, 28, 24], [8, 4, 13, 17, 12], [16, 9, 23, 18, 19, 22], [21, 27, 15, 25, 26, 29]]
18: [[20, 3, 11, 1, 10, 14], [6, 2, 7, 5, 28, 24], [8, 4, 13, 17, 12], [16, 9, 23, 18, 19, 22], [21, 27, 15, 25, 26, 29]]
19: [[20, 3, 11, 1, 10, 14], [6, 2, 7, 5, 28, 24], [8, 4, 13, 17, 12], [16, 9, 23, 18, 19, 22], [21, 27, 15, 25, 26, 29]]
20: [[20, 3, 11, 1, 10, 14], [6, 2, 7, 5, 28, 24], [8, 4, 13, 17, 12], [16, 9, 23, 18, 19, 22], [21, 27, 15, 25, 26, 29]]
21: [[20, 3, 11, 1, 10, 14], [6, 2, 7, 5, 28, 24], [8, 4, 13, 17, 12], [16, 9, 23, 18, 19, 22], [21, 27, 15, 25, 26, 29]]
22: [[20, 3, 11, 1, 10, 14], [6, 2, 7, 5, 28, 24], [8, 4, 13, 17, 12], [16, 9, 23, 18, 19, 22], [21, 27, 15, 25, 26, 29]]
23: [[20, 3, 11, 1, 10, 14], [6, 2, 7, 5, 28, 24], [8, 4, 13, 17, 12], [16, 9, 23, 18, 19, 22], [21, 27, 15, 25, 26, 29]]
24: [[20, 3, 11, 1, 10, 14], [6, 2, 7, 5, 28, 24], [8, 4, 13, 17, 12], [16, 9, 23, 18, 19, 22], [21, 27, 15, 25, 26, 29]]
25: [[20, 3, 11, 1, 10, 14], [6, 2, 7, 5, 28, 24], [8, 4, 13, 17, 12], [16, 9, 23, 18, 19, 22], [21, 27, 15, 25, 26, 29]]
26: [[20, 3, 11, 1, 10, 14], [6, 2, 7, 5, 28, 24], [8, 4, 13, 17, 12], [16, 9, 23, 18, 19, 22], [21, 27, 15, 25, 26, 29]]
27: [[20, 3, 11, 1, 10, 14], [6, 2, 7, 5, 28, 24], [8, 4, 13, 17, 12], [16, 9, 23, 18, 19, 22], [21, 27, 15, 25, 26, 29]]
28: [[20, 3, 11, 1, 10, 14], [6, 2, 7, 5, 28, 24], [8, 4, 13, 17, 12], [16, 9, 23, 18, 19, 22], [21, 27, 15, 25, 26, 29]]
29: [[20, 3, 11, 1, 10, 14], [6, 2, 7, 5, 28, 24], [8, 4, 13, 17, 12], [16, 9, 23, 18, 19, 22], [21, 27, 15, 25, 26, 29]]
30: [[20, 3, 11, 1, 10, 14], [6, 2, 7, 5, 28, 24], [8, 4, 13, 17, 12], [16, 9, 23, 18, 19, 22], [21, 27, 15, 25, 26, 29]]
31: [[20, 3, 11, 1, 10, 14], [6, 2, 7, 5, 28, 24], [8, 4, 13, 17, 12], [16, 9, 23, 18, 19, 22], [21, 27, 15, 25, 26, 29]]
32: [[20, 3, 11, 1, 10, 14], [6, 2, 7, 5, 28], [24, 8, 4, 13, 17, 12], [16, 9, 23, 18, 19, 22], [21, 27, 15, 25, 26, 29]]
33: [[20, 3, 11, 1, 10, 14], [6, 2, 7, 5, 28], [24, 8, 4, 13, 17, 12], [16, 9, 23, 18, 19, 22], [21, 27, 15, 25, 26, 29]]
34: [[20, 3, 11, 1, 10, 14], [6, 2, 7, 5, 28], [24, 8, 4, 13, 17, 12], [16, 9, 23, 18, 19, 22], [21, 27, 15, 25, 26, 29]]
35: [[20, 3, 11, 1, 10, 14], [6, 2, 7, 5, 28], [24, 8, 4, 13, 17, 12], [16, 9, 23, 18, 19, 22], [21, 27, 15, 25, 26, 29]]
36: [[20, 3, 11, 1, 10, 14], [6, 2, 7, 5, 28], [24, 8, 4, 13, 17, 12], [16, 9, 23, 18, 19, 22], [21, 27, 15, 25, 26, 29]]
37: [[20, 3, 11, 1, 10, 14], [6, 2, 7, 5, 28], [24, 8, 4, 13, 17, 12], [16, 9, 23, 18, 19, 22], [21, 27, 15, 25, 26, 29]]
38: [[20, 3, 11, 1, 10, 14], [6, 2, 7, 5, 28], [24, 8, 4, 13, 17, 12], [16, 9, 23, 18, 19, 22], [21, 27, 15, 25, 26, 29]]
39: [[20, 3, 11, 1, 10, 14], [6, 2, 7, 5, 28], [24, 8, 4, 13, 17, 12], [16, 9, 23, 18, 19, 22], [21, 27, 15, 25, 26, 29]]
40: [[20, 3, 11, 1, 10, 14], [6, 2, 7, 5, 28], [24, 8, 4, 13, 17, 12], [16, 9, 23, 18, 19, 22], [21, 27, 15, 25, 26, 29]]
41: [[20, 3, 11, 1, 10, 14], [6, 2, 7, 5, 28], [24, 8, 4, 13, 17, 12], [16, 9, 23, 18, 19, 22], [21, 27, 15, 25, 26, 29]]
42: [[20, 3, 11, 1, 10, 14], [6, 2, 7, 5, 28], [24, 8, 4, 13, 17, 12], [16, 9, 23, 18, 19, 22], [21, 27, 15, 25, 26, 29]]
43: [[20, 3, 11, 1, 10, 14], [6, 2, 7, 5, 28], [24, 8, 4, 13, 17, 12], [16, 9, 23, 18, 19, 22], [21, 27, 15, 25, 26, 29]]
44: [[20, 3, 11, 1, 10, 14], [6, 2, 7, 5, 28], [24, 8, 4, 13, 17, 12], [16, 9, 23, 18, 19, 22], [21, 27, 15, 25, 26, 29]]
45: [[20, 3, 11, 1, 10, 14], [6, 2, 7, 5, 28], [24, 8, 4, 13, 17, 12], [16, 9, 23, 18, 19, 22], [21, 27, 15, 25, 26, 29]]
46: [[20, 3, 11, 1, 10, 14], [6, 2, 7, 5, 28], [24, 8, 4, 13, 17, 12], [16, 9, 23, 18, 19, 22], [21, 27, 15, 25, 26, 29]]
47: [[20, 3, 11, 1, 10, 14], [6, 2, 7, 5, 28], [24, 8, 4, 13, 17, 12], [16, 9, 23, 18, 19, 22], [21, 27, 15, 25, 26, 29]]
48: [[20, 3, 11, 1, 10], [14, 6, 2, 7, 5, 28], [24, 8, 4, 13, 17, 12], [16, 9, 23, 18, 19, 22], [21, 27, 15, 25, 26, 29]]
49: [[20, 3, 11, 1, 10], [6, 2, 7, 5, 28, 14], [24, 8, 4, 13, 17, 12], [16, 9, 23, 18, 19, 22], [21, 27, 15, 25, 26, 29]]
50: [[20, 3, 11, 1, 10], [14, 6, 2, 7, 5, 28], [24, 8, 4, 13, 17, 12], [16, 9, 23, 18, 19, 22], [21, 27, 15, 25, 26, 29]]
51: [[20, 3, 11, 1, 10], [14, 6, 2, 7, 5, 28], [24, 8, 4, 13, 17, 12], [16, 9, 23, 18, 19, 22], [21, 27, 15, 25, 26, 29]]
52: [[20, 3, 11, 1, 10], [14, 6, 2, 7, 5, 28], [24, 8, 4, 13, 17, 12], [16, 9, 23, 18, 19, 22], [21, 27, 15, 25, 26, 29]]
53: [[20, 3, 11, 1, 10], [14, 6, 2, 7, 5, 28], [24, 8, 4, 13, 17, 12], [16, 9, 23, 18, 19, 22], [21, 27, 15, 25, 26, 29]]
54: [[20, 3, 11, 1, 10], [14, 6, 2, 7, 5, 28], [24, 8, 4, 13, 17, 12], [16, 9, 23, 18, 19, 22], [21, 27, 15, 25, 26, 29]]
55: [[20, 3, 11, 1, 10], [14, 6, 2, 7, 5, 28], [24, 8, 4, 13, 17, 12], [16, 9, 23, 18, 19, 22], [21, 27, 15, 25, 26, 29]]
56: [[20, 3, 11, 1, 10], [14, 6, 2, 7, 5, 28], [24, 8, 4, 13, 17, 12], [16, 9, 23, 18, 19, 22], [21, 27, 15, 25, 26, 29]]
57: [[20, 3, 11, 1, 10], [14, 6, 2, 7, 5, 28], [24, 8, 4, 13, 17, 12], [16, 9, 23, 18, 19, 22], [21, 27, 15, 25, 26, 29]]
58: [[20, 3, 11, 1, 10], [14, 6, 2, 7, 5, 28], [24, 8, 4, 13, 17, 12], [16, 9, 23, 18, 19, 22], [21, 27, 15, 25, 26, 29]]
59: [[20, 3, 11, 1, 10], [14, 6, 2, 7, 5, 28], [24, 8, 4, 13, 17, 12], [16, 9, 23, 18, 19, 22], [21, 27, 15, 25, 26, 29]]
