0: [[8, 6], [3, 4, 1, 5], [13, 7, 11, 9, 10, 12, 2]]
1: [[8, 6], [3, 4, 1, 5], [2, 13, 7, 11, 9, 10, 12]]
2: [[8, 6], [3, 4, 1, 5], [13, 11, 9, 10, 2], [12, 7]]
3: [[8, 6], [3, 4, 1], [5, 13, 11, 9, 10, 2], [12, 7]]
4: [[8, 6], [3, 4, 1], [5, 2, 13, 7, 11, 9, 10, 12]]
5: [[8, 6], [3, 4, 1], [5, 2, 13, 7, 11, 9, 10, 12]]
6: [[8, 6], [3, 4, 1], [5, 2, 13, 7, 11, 9, 10, 12]]
7: [[8, 6], [3, 4, 1], [5, 2, 13, 7, 11, 9, 10, 12]]
8: [[8, 6], [3, 4, 1, 5], [2, 13], [7, 11, 9, 10, 12]]
9: [[8, 6], [3, 4, 1, 5], [2, 13], [7, 11, 9, 10, 12]]
10: [[8, 6], [3, 4, 1, 5, 2], [13, 7, 11, 9, 10, 12]]
11: [[8, 6], [3, 4, 1, 5, 2], [13, 7, 11, 9, 10, 12]]
12: [[8, 6], [3, 1, 5, 4], [13, 7, 11, 9, 2], [10, 12]]
13: [[8, 6], [3, 4, 1, 5, 2], [13, 7], [11, 9], [10, 12]]
14: [[8, 6], [3, 1, 5, 4, 2], [13, 7, 11, 9], [10, 12]]
15: [[8, 6], [3, 4, 1], [5, 2], [13, 7, 11, 9, 10, 12]]
16: [[3, 4, 1, 5], [2, 13, 7, 8], [11, 9, 10, 12, 6]]
17: [[3, 4, 6], [1, 5, 2, 13], [7, 11, 9, 10, 12, 8]]
18: [[6, 8], [3, 4, 1, 5, 2], [13, 7], [11, 9, 10, 12]]
19: [[8, 6, 3, 4, 1], [5, 2, 13, 7, 11, 9], [10, 12]]
20: [[8, 6, 3, 4, 1], [5, 2, 13, 7, 11, 9], [10, 12]]
21: [[3, 4, 6], [1, 5, 2, 13], [7, 11, 8], [9, 10, 12]]
22: [[8, 6], [3, 4, 1, 5, 2, 13, 7], [11, 9, 10, 12]]
23: [[3, 4], [1, 5, 2, 13, 7], [11, 9, 10, 12, 8, 6]]
24: [[3, 4, 6], [1, 5], [2, 13], [7, 11, 9, 10, 12, 8]]
25: [[8, 6, 3], [4, 1, 5], [2, 13], [7, 11, 9], [10, 12]]
26: [[8, 6], [3, 4, 1, 5, 2, 13, 7, 11, 9], [10, 12]]
27: [[8], [6, 3, 4, 1, 5, 2, 13, 7, 11, 9, 10], [12]]
