0: [[4, 8, 2], [3, 1], [7, 5], [6, 10], [9, 11, 12, 13], [15, 14, 16], [17, 18, 19, 20]]
1: [[4, 8, 2], [3, 1], [7, 5], [6, 10], [9, 11, 12, 13], [15, 14, 16], [17, 18, 19, 20]]
2: [[4, 8, 2], [3, 1], [7, 5], [6, 10], [9, 11, 12, 13], [15, 14, 16], [17, 18, 19, 20]]
3: [[4, 8, 2], [3, 1], [7, 5], [6, 10], [9, 11, 12, 13], [15, 14, 16], [17, 18, 19, 20]]
4: [[4, 8, 2], [3, 1], [7, 5], [6, 10], [9, 11, 12, 13], [15, 14, 16], [17, 18, 19, 20]]
5: [[4, 8, 2], [3, 1], [7, 5], [6, 10], [9, 11, 12, 13], [15, 14, 16], [17, 18, 19, 20]]
6: [[4, 8, 2], [3, 1], [7, 5], [6, 10], [9, 11, 12, 13], [15, 14, 16], [17, 18, 19, 20]]
7: [[4, 8, 2], [3, 1], [7, 5], [6, 10], [9, 11, 12, 13], [15, 14, 16], [17, 18, 19, 20]]
8: [[4, 8, 2], [3, 1], [7, 5], [6, 10], [9, 11, 12, 13], [15, 14, 16], [17, 18, 19, 20]]
9: [[4, 8, 2], [3, 1], [7, 5], [6, 10], [9, 11, 12, 13], [15, 14, 16], [17, 18, 19, 20]]
10: [[4, 8, 2], [3, 1], [7, 5], [6, 10], [9, 11, 12, 13], [15, 14, 16], [17, 18, 19, 20]]
11: [[4, 8, 2], [3, 1], [7, 5], [6, 10], [9, 11, 12, 13], [15, 14, 16], [17, 18, 19, 20]]
12: [[4, 8, 2], [3, 1], [7, 5], [6, 10], [9, 11, 12, 13], [15, 14, 16], [17, 18, 19, 20]]
13: [[4, 8, 2], [3, 1], [7, 5], [6, 10], [9, 11, 12, 13], [15, 14, 16], [17, 18, 19, 20]]
14: [[4, 8, 2, 3, 1], [7, 5], [6, 10], [9, 11], [12, 13], [15, 14, 16], [17, 18, 19, 20]]
15: [[4, 8, 2], [3, 1], [7, 5], [6, 10], [9, 11, 12, 13], [15, 14, 16, 17], [18, 19, 20]]
16: [[4, 8, 2], [3, 1], [7, 5], [6, 10], [9, 11, 12, 13], [15, 14, 16, 17], [18, 19, 20]]
17: [[4, 8, 2], [3, 1], [7, 5], [6, 10], [9, 11, 12, 13], [15, 14, 16, 17], [18, 19, 20]]
18: [[4, 8, 2], [3, 1], [7, 5], [6, 10], [9, 11, 12, 13], [15, 14, 16, 17], [18, 19, 20]]
19: [[4, 8, 2], [3, 1], [7, 5], [6, 10], [9, 11, 12, 13], [15, 14, 16, 17], [18, 19, 20]]
20: [[4, 8, 2], [3, 1], [7, 5], [6, 10], [9, 11, 12, 13], [15, 14, 16, 17], [18, 19, 20]]
21: [[4, 8, 2], [3, 1], [7, 5], [6, 10], [9, 11, 12], [13, 15, 14, 16], [17, 18, 19, 20]]
22: [[4, 8, 2], [3, 1], [7, 5], [6, 10], [9, 11, 12, 13], [15, 14, 16, 17, 18], [19, 20]]
23: [[4, 8, 2], [3, 1], [7, 5], [6, 10], [9, 11, 12, 13], [15, 14, 16, 17, 18], [19, 20]]
24: [[8], [1, 7, 2], [5, 6, 4, 3], [10, 9, 11, 12, 13], [15, 14, 16], [17, 18, 19, 20]]
25: [[4, 8, 2], [3, 1], [7, 5], [6, 10], [9, 11, 12, 13, 15], [14, 16], [17, 18, 19, 20]]
26: [[4, 8, 2], [3, 1], [7, 5], [6, 10], [9, 11, 12, 13, 15], [14, 16], [17, 18, 19, 20]]
27: [[4, 8, 2], [3, 1], [7, 5], [6, 10], [9, 11, 12, 13, 15], [14, 16], [17, 18, 19, 20]]
28: [[4, 8, 2], [3, 1], [7, 5], [6, 10], [9, 11, 12, 13, 15], [14, 16], [17, 18, 19, 20]]
29: [[4, 8, 2], [3, 1], [7, 5], [6, 10], [9, 11, 12], [13, 15, 14, 16, 17], [18, 19, 20]]
30: [[4, 8, 2], [3, 1], [7, 5], [6, 10], [9, 11], [12, 13, 15, 14], [16, 17, 18, 19, 20]]
31: [[4, 8, 2], [3, 1], [7, 5], [6, 10], [9, 11], [12, 13, 15, 14], [16, 17, 18, 19, 20]]
32: [[8], [1, 7, 2], [5, 6, 4, 3], [10, 9], [11, 12], [13, 15, 14, 16], [17, 18, 19, 20]]
33: [[8], [1, 7, 2], [5, 6, 4, 3], [10, 9, 11, 12, 13], [15, 14, 16, 17], [18, 19, 20]]
34: [[8], [1, 7, 2], [5, 6, 4, 3], [10, 9, 11, 12], [13, 15, 14, 16], [17, 18, 19, 20]]
35: [[4, 8, 2], [3, 1], [7, 5], [6, 10], [9, 11, 12, 13, 15], [14, 16, 17], [18, 19, 20]]
36: [[4, 8, 2], [3, 1], [7, 5], [6, 10], [9, 11, 12, 13, 15], [14, 16, 17], [18, 19, 20]]
37: [[4, 8, 2], [3, 1], [7, 5], [6, 10], [9, 11, 12, 13, 15], [14, 16, 17], [18, 19, 20]]
38: [[4, 8, 2], [3, 1], [7, 5], [6, 10], [9, 11, 12, 13, 15], [14, 16, 17, 18], [19, 20]]
39: [[4, 8, 2], [3, 1], [7, 5], [6, 10], [9, 11, 12, 13, 15], [14, 16, 17, 18], [19, 20]]
40: [[8], [1, 7, 2], [5, 6, 4, 3], [10, 9], [11, 12, 13, 15], [14, 16], [17, 18, 19, 20]]
41: [[8], [1, 7, 2], [5, 6, 4, 3], [10, 9], [11, 12, 13, 15], [14, 16], [17, 18, 19, 20]]
