0: [[9, 4, 6, 3, 1], [2, 11, 7, 10, 14], [8, 13, 5, 15], [12, 16, 18, 19, 17], [23, 21, 20, 22, 24]]
1: [[9, 4, 6, 3, 1], [2, 11, 7, 10, 14], [8, 13, 5, 15], [12, 16, 18, 19, 17], [23, 21, 20, 22, 24]]
2: [[9, 4, 6, 3, 1], [2, 11, 7, 10, 14], [8, 13, 5, 15], [12, 16, 18, 19, 17], [23, 21, 20, 22, 24]]
3: [[9, 4, 6, 3, 1], [2, 11, 7, 10, 14], [8, 13, 5, 15], [12, 16, 18, 19, 17], [23, 21, 20, 22, 24]]
4: [[9, 4, 6, 3, 1], [2, 11, 7, 10, 14], [8, 13, 5, 15], [12, 16, 18, 19, 17], [23, 21, 20, 22, 24]]
5: [[9, 4, 6, 3, 1], [2, 11, 7, 10, 14], [8, 13, 5, 15], [12, 16, 18, 19, 17], [23, 21, 20, 22, 24]]
6: [[9, 4, 6, 3, 1], [2, 11, 7, 10, 14], [8, 13, 5, 15], [12, 16, 18, 19, 17], [23, 21, 20, 22, 24]]
7: [[9, 4, 6, 3, 1], [2, 11, 7, 10, 14], [8, 13, 5, 15], [12, 16, 18, 19, 17], [23, 21, 20, 22, 24]]
8: [[9, 4, 6, 3, 1], [2, 11, 7, 10, 14], [8, 13, 5, 15], [12, 16, 18, 19, 17], [23, 21, 20, 22, 24]]
9: [[9, 4, 6, 3, 1], [2, 11, 7, 10, 14], [8, 13, 5, 15], [12, 16, 18, 19, 17], [23, 21, 20, 22, 24]]
10: [[9, 4, 6, 3, 1], [2, 11, 7, 10, 14], [8, 13, 5, 15], [12, 16, 18, 19, 17], [23, 21, 20, 22, 24]]
11: [[9, 4, 6, 3, 1], [2, 11, 7, 10, 14], [8, 13, 5, 15], [12, 16, 18, 19, 17], [23, 21, 20, 22, 24]]
12: [[9, 4, 6, 3, 1], [2, 11, 7, 10, 14], [8, 13, 5, 15], [12, 16, 18, 19, 17], [23, 21, 20, 22, 24]]
13: [[9, 4, 6, 3, 1], [2, 11, 7, 10, 14], [8, 13, 5, 15], [12, 16, 18, 19, 17], [23, 21, 20, 22, 24]]
14: [[9, 4, 6, 3, 1], [2, 11, 7, 10, 14], [8, 13, 5, 15], [12, 16, 18, 19, 17], [23, 21, 20, 22, 24]]
