0: [[2, 24, 18, 1, 6], [3, 4, 7, 8, 12, 10], [25, 5], [9, 15, 11, 17, 13], [16, 19, 20, 29, 14, 22], [23, 28], [21, 26, 27]]
1: [[2, 24, 18, 1, 6, 3, 5], [7, 8, 12, 4, 11], [9, 10, 15, 29, 28, 13], [17, 14, 16, 19], [23, 22], [20, 25], [26, 27, 21]]
2: [[2, 24, 18, 1, 6, 3, 5], [7, 8, 4, 12, 11], [9, 13, 10, 29, 14, 15], [28], [16, 17, 19, 22, 23], [20, 25], [27, 26, 21]]
3: [[2, 24, 18, 1], [6, 3, 4, 7, 8], [13, 5, 14, 9, 12, 11], [28, 10], [16, 15], [17, 20, 29, 22, 23, 19, 25], [21, 26, 27]]
4: [[2, 24, 18, 1, 6, 3], [4, 7, 8, 12, 14], [11, 5, 13, 9, 10, 15, 16], [19, 17], [22, 20, 23, 29], [28, 25], [27, 26, 21]]
5: [[2, 24, 18, 1, 6, 3], [4, 7, 8, 13, 5], [14, 9, 12, 11], [28, 10], [16, 15], [17, 20, 29, 22, 23, 19, 25], [21, 26, 27]]
6: [[2, 24, 18, 1, 6, 3, 4], [7, 8], [13, 5], [14, 9, 12, 11], [28, 10, 16, 15, 17], [20, 29, 22, 23, 19, 25], [21, 26, 27]]
7: [[2, 24], [18, 1], [6, 3, 4, 7], [8, 5, 12, 9, 13], [10, 11, 14, 28, 15, 16], [17, 20, 19, 22, 23, 29, 25], [27, 26, 21]]
8: [[2, 24, 18, 1], [6, 3], [4, 7], [8, 5, 10, 9, 15], [11, 12, 14, 19, 13, 28], [20, 17, 16, 22, 23, 29, 25], [21, 26, 27]]
9: [[2, 24, 18, 1], [6], [3, 4, 7, 8, 9, 25], [13, 11, 10, 29, 12], [22, 15, 21, 5, 17, 14, 16, 19], [23, 28], [27, 26, 20]]
10: [[2, 24, 18, 1, 6, 3], [4, 7, 10, 12, 5], [9, 8, 11, 15, 14, 20, 13], [25, 16, 17, 21], [22, 19], [23, 28], [26, 27, 29]]
11: [[2, 24, 18, 1, 6], [3, 20], [7, 8, 4, 5, 9, 10], [11, 12, 29, 13], [14, 16, 15, 22, 21, 17, 23], [19, 25], [26, 27, 28]]
12: [[2, 24, 18, 1, 6], [3, 4], [7, 9], [8, 5, 12, 10, 15, 11], [28, 13, 16, 14, 20, 17, 21], [22, 23, 19, 29], [25, 26, 27]]
13: [[2, 24, 18, 1, 6], [3, 4, 7, 12, 5, 14, 9], [13, 11], [8, 10, 17, 15, 16, 22], [20, 19, 28, 23], [21, 27], [25, 29, 26]]
14: [[2, 24, 18, 1, 6, 3], [5, 14, 13, 12, 4], [7, 15, 28, 8], [11], [9, 19], [16, 10, 21, 17, 20, 25, 23, 22], [26, 27, 29]]
15: [[2, 24, 18, 1, 6, 3], [4, 7, 8, 13, 12], [9, 5, 15, 11], [26, 20], [10, 19], [16, 17, 22, 28, 23, 14, 25], [27, 29, 21]]
16: [[2, 24], [18, 1], [6, 3, 5, 14], [12, 4, 7, 15, 9, 10], [8, 11, 13, 16, 17], [22, 21, 19, 20, 25, 23, 29], [26, 27, 28]]
17: [[2, 24, 18], [1, 6, 3, 4, 7], [8, 13, 14, 5], [11, 15, 9, 12, 22, 10, 17], [16, 23, 19, 26, 25, 20, 28], [27, 29, 21]]
18: [[2, 24, 18, 1, 6, 3], [4, 7, 8, 12, 13], [9, 5], [10, 11, 29, 17, 15], [19, 23, 16, 20, 14, 22], [21, 25], [27, 26, 28]]
19: [[2, 24, 18, 1, 6, 3], [20, 7, 8, 4, 15, 9], [5, 11, 10, 12, 13], [14, 16, 29, 17, 19], [22, 23], [21, 25], [26, 27, 28]]
20: [[2, 24, 18, 1, 6, 3], [4, 5, 8, 12], [13, 9, 11, 7, 15], [14, 23], [10, 16], [19, 20, 28, 21, 17, 22, 25], [29, 26, 27]]
21: [[2, 24, 18, 1, 6, 3], [4, 7, 8, 13, 12], [9, 5, 11, 10], [27, 28], [15, 14], [17, 19, 16, 22, 23, 20, 29], [25, 26, 21]]
22: [[2, 24, 18, 1, 6, 3], [5, 7, 10, 4, 9, 12], [8, 13, 11, 15, 17], [14, 29, 19, 20, 16], [21, 23], [22, 25], [26, 27, 28]]
23: [[2, 24, 18, 1], [6, 3, 4, 7, 8, 12], [9, 5], [11, 15, 13, 29, 22, 14, 19], [20, 17, 23, 10, 27], [16, 28], [25, 26, 21]]
24: [[2, 24, 18, 1], [6, 3], [5, 15], [4, 13, 7, 8, 10, 11], [9, 14, 21, 12, 28], [17, 19, 20, 16, 23, 22, 25], [27, 26, 29]]
25: [[2, 24, 18, 1, 6, 3, 12], [5, 7, 8, 4, 10], [11, 9, 13, 29, 15, 14], [28], [16, 17, 19, 21, 22], [23, 25], [27, 26, 20]]
