0: [[18], [54, 7, 37], [42, 57], [15, 71, 41, 14], [47], [85, 10, 9], [49, 5, 38], [25], [50, 26, 19], [67, 8, 44], [3, 31, 16, 45], [2, 1, 69], [28, 29, 32], [76, 20, 35], [30, 33, 21], [68, 4, 64], [6, 12, 22], [13, 23, 51, 36], [27, 56], [17, 11, 82, 52], [77, 34, 62, 39], [40, 24, 79, 46, 59], [48, 61], [53, 75, 66, 60, 63, 43, 55, 83, 70, 74, 78], [86, 72, 65], [58, 73, 87], [81, 84, 80, 88]]
1: [[18], [54, 7, 37], [42, 57], [15, 71, 41, 14], [47], [85, 10, 9], [49, 5, 38], [25], [50, 26, 19], [67, 8, 44], [3, 31, 16, 45], [2, 1], [69, 28, 29], [32, 76, 20, 35], [30, 33, 21], [68, 4, 64, 6], [12, 22, 13, 23], [51, 36, 27, 56, 17, 11], [82, 52, 77, 34, 62, 39], [40, 24, 79, 46], [59], [48, 61, 53, 75], [66, 60], [63, 43, 55, 83, 70, 74, 78, 86], [72, 65, 58, 73, 87, 81], [84, 80, 88]]
2: [[18], [54, 7, 37], [42, 57], [15, 71, 41, 14], [47], [85, 10, 9], [49, 5, 38], [25], [50, 26, 19], [67, 8, 44], [3, 31, 16, 45], [2, 1, 69], [28, 29], [32, 76, 20, 35], [30], [33, 21, 68], [4, 64, 6], [12, 22], [13, 23, 51, 36], [27, 56, 17], [11], [82, 52, 77], [34, 62, 39, 40], [24, 79, 46, 59], [48, 61, 53, 75], [66, 60, 63, 43, 55, 83, 70, 74, 78, 86, 72, 65, 58, 73, 87, 81, 84, 80, 88]]
3: [[18], [54, 7, 37], [42, 57], [15, 71, 41, 14], [47], [85, 10, 9], [49, 5, 38], [25, 50, 26, 19], [67, 8, 44, 3], [31, 16, 45], [2, 1, 69], [28, 29, 32, 76], [20, 35, 30, 33], [21, 68, 4, 64], [6, 12, 22], [13, 23, 51, 36], [27, 56, 17, 11], [82], [52, 77, 34], [62, 39, 40], [24, 79, 46, 59], [48, 61, 53, 75], [66, 60], [63, 43, 55, 83, 70], [74, 78, 86, 72, 65, 58, 73, 87, 81, 84, 80, 88]]
4: [[18], [54, 7, 37], [42, 57], [15, 71, 41, 14], [47], [85, 10, 9], [49, 5, 38], [25], [50, 26, 19], [67], [8, 44, 3], [31, 16, 45, 2], [1, 69, 28, 29], [32, 76, 20, 35], [30, 33, 21, 68], [4, 64], [6, 12, 22], [13, 23, 51, 36], [27, 56], [17, 11, 82], [52, 77, 34], [62, 39, 40], [24, 79, 46, 59, 48, 61, 53, 75, 66, 60, 63, 43, 55, 83, 70, 74, 78, 86, 72, 65, 58, 73, 87, 81, 84, 80, 88]]
5: [[18], [54, 7, 37], [42, 57], [15, 71, 41, 14], [47], [85, 10, 9], [49, 5, 38], [25], [50, 26, 19], [67, 8, 44], [3, 31, 16, 45], [2, 1], [69, 28, 29], [32, 76, 20, 35], [30, 33, 21, 68], [4, 64, 6], [12, 22, 13, 23], [51, 36], [27, 56, 17], [11, 82, 52], [77, 34, 62, 39, 40, 24], [79, 46, 59, 48, 61, 53, 75, 66, 60, 63, 43, 55, 83, 70], [74, 78, 86, 72, 65, 58, 73, 87, 81, 84, 80, 88]]
6: [[18], [54, 7, 37], [42, 57], [15, 71, 41, 14], [47, 85, 10, 9], [49, 5, 38], [25, 50, 26, 19], [67, 8, 44], [3, 31], [16, 45, 2], [1, 69], [28, 29, 32], [76, 20, 35, 30], [33, 21, 68], [4, 64, 6], [12, 22, 13, 23], [51, 36, 27, 56], [17, 11, 82, 52], [77, 34, 62, 39, 40, 24, 79, 46], [59, 48, 61, 53], [75, 66, 60, 63, 43, 55, 83, 70, 74], [78, 86, 72, 65, 58, 73], [87, 81, 84, 80, 88]]
7: [[18], [54, 7, 37], [42, 57], [15, 71, 41, 14], [47], [85, 10, 9], [49], [5, 38, 25], [50, 26, 19, 67], [8, 44], [3, 31, 16, 45], [2, 1, 69, 28], [29, 32, 76], [20, 35], [30, 33, 21, 68], [4], [64, 6, 12], [22, 13, 23], [51, 36, 27, 56], [17, 11, 82, 52, 77], [34, 62, 39], [40, 24, 79, 46], [59, 48, 61], [53, 75, 66], [60, 63, 43, 55, 83, 70], [74, 78], [86, 72], [65, 58, 73, 87, 81, 84, 80, 88]]
8: [[18], [54, 7, 37], [42, 57], [15, 71, 41], [14, 47, 85], [10, 9, 49], [5, 38], [25, 50, 26, 19], [67, 8, 44], [3, 31, 16], [45, 2, 1, 69], [28, 29, 32], [76, 20, 35], [30, 33, 21], [68, 4, 64], [6, 12, 22], [13, 23, 51], [36, 27], [56, 17, 11], [82, 52, 77], [34, 62], [39, 40, 24], [79, 46, 59], [48, 61, 53, 75], [66, 60, 63, 43], [55, 83, 70], [74, 78, 86], [72, 65], [58, 73, 87], [81, 84, 80, 88]]
9: [[18], [54, 7, 37], [42, 57], [15, 71, 41, 14], [47], [85, 10, 9], [49, 5, 38], [25], [50, 26, 19], [67, 8, 44], [3, 31, 16, 45], [2, 1, 69], [28, 29, 32], [76, 20, 35], [30, 33, 21], [68, 4, 64], [6, 12, 22], [13, 23, 51], [36, 27, 56, 17], [11, 82, 52, 77], [34], [62, 39, 40, 24], [79, 46, 59], [48, 61, 53, 75, 66, 60, 63, 43, 55, 83, 70, 74, 78, 86, 72, 65, 58, 73, 87, 81, 84, 80, 88]]
10: [[18], [54, 7, 37], [42, 57], [15, 71, 41, 14], [47], [85, 10, 9], [49, 5, 38, 25], [50, 26, 19, 67], [8, 44, 3], [31, 16, 45, 2], [1], [69, 28, 29], [32, 76, 20, 35], [30, 33, 21, 68], [4, 64, 6, 12], [22, 13, 23, 51], [36, 27, 56, 17], [11, 82, 52], [77], [34, 62, 39], [40], [24, 79], [46, 59, 48, 61], [53, 75], [66, 60, 63, 43, 55, 83, 70, 74, 78, 86, 72, 65, 58, 73, 87, 81, 84, 80, 88]]
