0: [[7, 16, 2, 19, 9, 1], [4, 3, 13, 8, 15, 10, 12], [5, 6, 29], [11, 18, 17, 23, 22, 14], [20, 25, 28, 24], [27, 21, 26]]
1: [[7, 16, 2, 19, 9, 1], [4, 3, 13], [6, 5], [11, 8, 15], [17, 18, 23, 28, 20, 25, 10, 12, 22], [24, 29, 21, 14], [27, 26]]
2: [[7, 16, 2, 19, 9, 1], [4, 3, 13, 10, 14], [8, 5, 15], [11, 12, 18, 22, 20, 6], [25, 17], [21, 23, 26, 27], [24, 29, 28]]
3: [[7, 16, 2], [19, 9, 1], [4, 3, 13, 8, 5], [14, 11, 15], [10, 12, 18, 6, 17, 20], [22, 25], [21, 23, 27, 26], [24, 29, 28]]
4: [[7, 16, 2, 19, 9, 1], [4, 3, 13, 10, 14], [12, 5, 15], [8, 6, 22, 18, 20, 11], [25, 17], [21, 23, 26, 27], [24, 28, 29]]
5: [[7, 16, 2, 19, 9], [1, 4, 3, 15, 5, 14], [6, 13, 12], [11, 8, 18, 17, 10], [26, 21, 23, 27, 20, 22], [29, 24, 28, 25]]
6: [[7, 16, 2], [19, 9, 1], [4, 3, 13, 15, 14], [6, 5, 8, 10, 12, 11], [17, 18, 28, 23], [25, 21, 20, 22, 24], [26, 29, 27]]
7: [[7, 16, 2, 19, 9, 1], [4, 3, 13], [8, 6, 5, 12, 14, 10], [26, 23, 21, 22], [17, 11, 15], [18, 29, 20, 25, 27], [28, 24]]
8: [[7, 16, 2, 19, 9, 1], [4, 3, 13, 8], [6, 5, 10], [11, 24, 12, 17, 22], [15, 21], [23, 18, 20], [26, 25, 27, 14, 29, 28]]
9: [[7, 16, 2, 19, 9, 1, 4], [3, 15, 14, 5, 6, 13, 12, 10, 8, 11, 18], [17, 23, 25, 20, 21, 22], [28, 29, 26, 24, 27]]
10: [[7, 16, 2, 19, 9, 1, 4], [3, 15, 14, 5, 6, 13, 12, 10, 8, 11, 18], [17, 23, 25, 20, 21, 22], [28, 29, 26, 24, 27]]
11: [[7, 16, 2, 19, 9, 1], [4, 3, 13, 12, 15, 8, 5], [6, 10, 14, 11, 25, 23, 21, 27, 22, 26, 18, 24, 20, 28, 29, 17]]
12: [[7, 16, 2, 19, 9, 1, 4], [3, 13, 8, 12, 5, 6, 15, 11, 10, 23, 14, 17, 22, 27, 18, 21, 20, 26, 29], [24, 25, 28]]
13: [[7, 16, 2, 19], [9, 1, 4, 3, 13, 8], [15, 5, 14, 10, 6, 11, 12, 18, 20, 17, 23, 22, 24, 21, 25, 26, 27, 29, 28]]
14: [[7, 16, 2, 19], [9, 1, 4, 3, 13, 8], [6, 5, 14, 10, 15, 11, 12, 18, 22, 21, 17, 23, 20, 24, 25, 26, 27, 28, 29]]
15: [[7, 16, 2, 19, 9], [1, 4, 3, 15, 12, 5], [10, 6], [8, 11, 13], [14, 18, 22, 23, 21], [17, 20, 24, 25], [26, 29, 27, 28]]
16: [[7, 16, 2, 19], [9, 1, 4, 3, 15, 8, 5, 10, 11, 13, 14], [12, 6, 17, 18, 22, 21, 28, 20, 23, 26, 27, 29, 25, 24]]
17: [[7, 16, 2], [19, 9, 1, 4, 3, 15, 8], [5, 6, 11, 10, 13, 12, 14, 17, 18, 22, 20, 29, 21, 23], [26, 24, 28, 25, 27]]
18: [[7, 16, 2, 19, 9, 1], [4, 3], [13, 12, 6, 5], [14, 10, 11, 8, 15, 18, 23], [20, 22, 29, 17, 21, 24], [25, 26, 28, 27]]
19: [[7, 16, 2, 19], [9, 1, 4, 3, 13, 8, 6], [12, 5, 10, 11, 18, 14, 17, 23, 21, 15, 25, 22, 20, 24, 26, 29, 27, 28]]
20: [[7, 16, 2, 19, 9, 1, 4], [3, 13, 8], [6, 5], [10, 12], [11, 14, 15], [25, 17, 20, 24, 18, 21, 22, 23, 26, 27], [28, 29]]
21: [[7, 16, 2, 19, 9, 1], [4], [3, 15, 10, 5, 6, 8, 12, 11, 13, 17, 22, 14, 23, 20, 29, 21, 24, 18, 25, 27, 28, 26]]
22: [[7, 16, 2, 19], [9, 1, 4, 3, 13], [8, 15, 14, 5], [6, 11, 10, 22, 24, 21, 17, 12, 20, 18], [23, 26, 27, 29, 25, 28]]
23: [[7, 16, 2, 19, 9, 1], [4, 3, 15], [8, 14, 6, 10, 5, 13], [11, 12, 27, 20, 17, 21, 18, 29, 22, 23, 25, 26, 24, 28]]
24: [[7, 16, 2, 19, 9, 1], [4, 3], [13, 24], [15, 10, 5, 6, 8, 11], [14, 18, 12, 20], [23, 25, 17, 21, 22, 26, 27, 29, 28]]
25: [[7, 16, 2, 19, 9, 1], [4, 3, 13, 12], [6, 15, 5], [8, 11, 10], [17, 18, 21, 26, 28, 14], [25, 27, 24, 23, 20, 29, 22]]
26: [[7, 16, 2, 19, 9, 1], [4, 3, 15], [8, 5, 11, 6, 13, 12, 10, 14, 26, 20, 17, 18, 21, 29], [22, 23], [24], [25, 28, 27]]
27: [[7, 16, 2, 19, 9, 1], [4, 3], [13, 10, 5, 12], [8, 6, 11, 14, 22], [20, 15, 17], [18, 23, 21, 28, 26, 25, 27, 24, 29]]
