0: [[29, 17, 23, 7, 22], [21], [3, 28, 20, 25], [9, 2, 24, 16, 18], [4, 8, 15, 11, 13, 12], [26, 27], [19, 6, 1, 5, 10, 14]]
1: [[29, 17, 23, 7, 22], [21], [3, 28, 20, 25], [9, 2, 24, 16, 18], [4, 8, 15, 11, 13, 12], [26, 27], [19, 6, 1, 5, 10, 14]]
2: [[29, 17, 23, 7, 22], [21], [3, 28, 20, 25], [9, 2, 24, 16, 18], [4, 8, 15, 11, 13, 12], [26, 27], [19, 6, 1, 5, 10, 14]]
3: [[29, 17, 23, 7, 22], [21], [3, 28, 20, 25], [9, 2, 24, 16, 18], [4, 8, 15, 11, 13, 12], [26, 27], [19, 6, 1, 5, 10, 14]]
4: [[29, 17, 23, 7, 22], [21], [3, 28, 20, 25], [9, 2, 24, 16, 18], [4, 8, 15, 11, 13, 12], [26, 27], [19, 6, 1, 5, 10, 14]]
5: [[29, 17, 23, 7, 22], [21], [3, 28, 20, 25], [9, 2, 24, 16, 18], [4, 8, 15, 11, 13, 12], [26, 27], [19, 6, 1, 5, 10, 14]]
6: [[29, 17, 23, 7, 22], [21], [3, 28, 20, 25], [9, 2, 24, 16, 18], [4, 8, 15, 11, 13, 12], [26, 27], [19, 6, 1, 5, 10, 14]]
7: [[29, 17, 23, 7, 22], [21], [3, 28, 20, 25], [9, 2, 24, 16, 18], [4, 8, 15, 11, 13, 12], [26, 27], [19, 6, 1, 5, 10, 14]]
8: [[29, 17, 23, 7, 22], [21], [3, 28, 20, 25], [9, 2, 24, 16, 18], [4, 8, 15, 11, 13, 12], [26, 27], [19, 6, 1, 5, 10, 14]]
9: [[29, 17, 23, 7, 22], [21], [3, 28, 20, 25], [9, 2, 24, 16, 18], [4, 8, 15, 11, 13, 12], [26, 27], [19, 6, 1, 5, 10, 14]]
10: [[29, 17, 23, 7, 22], [21], [3, 28, 20, 25], [9, 2, 24, 16, 18], [4, 8, 15, 11, 13, 12], [26, 27], [19, 6, 1, 5, 10, 14]]
11: [[29, 17, 23, 7, 22], [21], [3, 28, 20, 25], [9, 2, 24, 16, 18], [4, 8, 15, 11, 13, 12], [26, 27], [19, 6, 1, 5, 10, 14]]
12: [[29, 17, 23, 7, 22], [21], [3, 28, 20, 25], [9, 2, 24, 16, 18], [4, 8, 15, 11, 13, 12], [26, 27], [19, 6, 1, 5, 10, 14]]
13: [[29, 17, 23, 7, 22], [21], [3, 28, 20, 25], [9, 2, 24, 16, 18], [4, 8, 15, 11, 13, 12], [26, 27], [19, 6, 1, 5, 10, 14]]
14: [[29, 17, 23, 7, 22], [21], [3, 28, 20, 25], [9, 2, 24, 16, 18], [4, 8, 15, 11, 13, 12], [26, 27], [19, 6, 1, 5, 10, 14]]
15: [[29, 17, 23, 7, 22], [21], [3, 28, 20, 25], [9, 2, 24, 16, 18], [4, 8, 15, 11, 13, 12], [26, 27], [19, 6, 1, 5, 10, 14]]
16: [[29, 17, 23, 7, 22], [21], [3, 28, 20, 25], [9, 2, 24, 16, 18], [4, 8, 15, 11, 13, 12], [26, 27], [19, 6, 1, 5, 10, 14]]
17: [[29, 17, 23, 7, 22], [21], [3, 28, 20, 25], [9, 2, 24, 16, 18], [4, 8, 15, 11, 13, 12], [26, 27], [19, 6, 1, 5, 10, 14]]
18: [[29, 17, 23, 7, 22], [21], [3, 28, 20, 25], [9, 2, 24, 16, 18], [4, 8, 15, 11, 13, 12], [26, 27], [19, 6, 1, 5, 10, 14]]
19: [[29, 17, 23, 7, 22], [21], [3, 28, 20, 25], [9, 2, 24, 16, 18], [4, 8, 15, 11, 13, 12], [26, 27], [19, 6, 1, 5, 10, 14]]
20: [[29, 17, 23, 7, 22], [21], [3, 28, 20, 25], [9, 2, 24, 16, 18], [4, 8, 15, 11, 13, 12], [26, 27], [19, 6, 1, 5, 10, 14]]
21: [[29, 17, 23, 7, 22], [21], [3, 28, 20, 25], [9, 2, 24, 16, 18], [4, 8, 15, 11, 13, 12], [26, 27], [19, 6, 1, 5, 10, 14]]
22: [[29, 17, 23, 7, 22], [21], [3, 28, 20, 25], [9, 2, 24, 16, 18], [4, 8, 15, 11, 13, 12], [26, 27], [19, 6, 1, 5, 10, 14]]
23: [[29, 17, 23, 7, 22], [21], [3, 28, 20, 25], [9, 2, 24, 16, 18], [4, 8, 15, 11, 13, 12], [26, 27], [19, 6, 1, 5, 10, 14]]
