0: [[3, 9, 4, 1, 6], [2, 14, 10, 7, 11], [12, 8, 13, 15, 19, 5], [17, 16, 18, 22, 20], [23, 21, 24]]
1: [[3, 9, 4, 5, 1, 6], [2, 14, 10, 7, 11], [12, 8, 13, 15, 19], [17, 16, 18, 22, 20], [23, 21, 24]]
2: [[3, 9, 4, 5, 1, 6], [2, 14, 10, 7, 11], [12, 8, 13, 15, 19], [17, 16, 18, 22, 20], [23, 21, 24]]
3: [[3, 9, 4, 5, 1, 6], [2, 14, 10, 7, 11], [12, 8, 13, 15, 19], [17, 16, 18, 22, 20], [23, 21, 24]]
4: [[3, 9, 4, 5, 1, 6], [2, 14, 10, 7, 11], [12, 8, 13, 15, 19], [17, 16, 18, 22, 20], [23, 21, 24]]
5: [[3, 9, 4, 5, 1, 6], [2, 14, 10, 7, 11], [12, 8, 13, 15], [19, 17, 16, 18, 22, 20], [23, 21, 24]]
6: [[3, 9, 4, 5, 1, 6], [2, 14, 10, 7, 11], [12, 8, 13, 15], [19, 17, 16, 18, 22, 20], [23, 21, 24]]
7: [[3, 9, 4, 5, 1, 6], [2, 14, 10, 7, 11, 12], [8, 13, 15, 19], [17, 16, 18, 22, 20], [23, 21, 24]]
8: [[3, 9, 4, 5, 1, 6], [2, 14, 10, 7, 11, 12], [8, 13, 15, 19], [17, 16, 18, 22, 20], [23, 21, 24]]
9: [[3, 9, 4, 5, 2, 1, 6], [14, 10, 7, 11, 12], [8, 13, 15, 19], [17, 16, 18, 22, 20], [23, 21, 24]]
10: [[3, 9, 4, 5, 2, 1, 6], [14, 10, 7, 11, 12], [8, 13, 15, 19], [17, 16, 18, 22, 20], [23, 21, 24]]
11: [[3, 9, 4, 5, 2, 1, 6], [14, 10, 7, 11, 12], [8, 13, 15, 19], [17, 16, 18, 22, 20], [23, 21, 24]]
12: [[3, 9, 4, 5, 1, 6], [2, 14, 10, 7], [11, 12, 8, 13, 15, 19], [17, 16, 18, 22, 20], [23, 21, 24]]
