0: [[28, 25], [10, 26, 36, 13], [2, 16, 4, 29, 22, 24], [37, 3], [19, 5, 11], [21, 6, 15, 35], [17, 1, 8, 9], [7, 18], [12, 20], [32, 23, 14, 27], [33, 31, 30, 34]]
1: [[28, 25], [10, 26, 36, 13], [2, 16, 4, 29, 22, 24], [37, 3], [19, 5, 11], [21, 6, 15, 35], [17, 1, 8, 9], [7, 18], [12, 20], [32, 23, 14, 27], [33, 31, 30, 34]]
2: [[28, 25], [10, 26, 36, 13], [2, 16, 4, 29, 22, 24], [37, 3], [19, 5, 11], [21, 6], [15, 35, 17], [1, 8, 9, 7, 18, 12, 20], [32, 23, 14, 27, 33, 31, 30, 34]]
3: [[28, 25], [10, 26, 36, 13], [2, 16, 4, 29], [22, 24], [37, 3, 19], [5, 11], [21, 6, 15], [35, 17, 1], [8, 9], [7, 18], [12, 20], [32, 23, 14, 27], [33, 31, 30, 34]]
4: [[28, 25], [10, 26, 36, 13], [2, 16, 4, 29, 22, 24], [37, 3], [19, 5, 11], [21, 6], [15, 35], [17, 1, 8], [9, 7], [18, 12, 20, 32], [23, 14, 27, 33, 31, 30, 34]]
5: [[28, 25], [10, 26, 36, 13], [2, 16, 4, 29, 22, 24], [37, 3], [19, 5, 11, 21], [6, 15], [35, 17], [1, 8, 9], [7, 18], [12, 20, 32, 23], [14, 27, 33, 31, 30, 34]]
6: [[28, 25], [10, 26, 36, 13], [2, 16, 4, 29], [22, 24, 37], [3, 19], [5, 11], [21, 6, 15], [35, 17, 1], [8, 9], [7, 18], [12, 20], [32, 23, 14, 27], [33, 31, 30, 34]]
7: [[28, 25], [10, 26], [36, 13, 2], [16, 4], [29, 22, 24], [37, 3], [19, 5, 11, 21], [6, 15, 35], [17, 1, 8], [9, 7, 18], [12, 20, 32, 23], [14, 27, 33, 31, 30, 34]]
8: [[28, 25], [10, 26, 36, 13], [2, 16, 4, 29], [22, 24], [37, 3, 19], [5, 11, 21, 6], [15, 35, 17, 1], [8, 9, 7, 18], [12, 20], [32, 23, 14, 27], [33, 31, 30, 34]]
9: [[28, 25], [10, 26], [36, 13, 2], [16, 4, 29], [22, 24, 37], [3, 19], [5, 11], [21, 6, 15], [35, 17, 1], [8, 9], [7, 18], [12, 20], [32, 23, 14, 27], [33, 31, 30, 34]]
10: [[28, 25], [10, 26], [36, 13, 2], [16, 4, 29, 22], [24, 37, 3], [19, 5, 11], [21, 6], [15, 35, 17], [1, 8], [9, 7, 18], [12, 20, 32, 23, 14, 27, 33, 31, 30, 34]]
11: [[28, 25], [10, 26, 36], [13, 2, 16], [4, 29, 22], [24, 37], [3, 19, 5, 11], [21, 6, 15, 35], [17, 1, 8, 9], [7, 18], [12, 20, 32, 23], [14, 27], [33, 31, 30, 34]]
12: [[28, 25], [10, 26], [36, 13], [2, 16, 4], [29, 22, 24], [37, 3], [19, 5, 11], [21, 6, 15], [35, 17, 1], [8, 9, 7], [18, 12, 20], [32, 23, 14], [27, 33], [31, 30, 34]]
13: [[28, 25], [10, 26, 36], [13, 2, 16, 4], [29, 22, 24, 37], [3, 19, 5, 11], [21, 6], [15, 35, 17, 1], [8, 9, 7, 18], [12, 20], [32, 23, 14, 27], [33, 31, 30, 34]]
14: [[28, 25], [10, 26, 36], [13, 2, 16, 4], [29, 22, 24], [37, 3], [19, 5, 11], [21, 6, 15], [35, 17, 1], [8, 9, 7], [18, 12], [20, 32, 23], [14, 27], [33, 31, 30], [34]]
15: [[28, 25], [10, 26, 36], [13, 2], [16, 4, 29], [22, 24], [37, 3, 19], [5, 11, 21], [6, 15, 35], [17, 1, 8, 9], [7, 18, 12, 20, 32, 23, 14, 27], [33, 31, 30, 34]]
16: [[28, 25], [10, 26, 36], [13, 2, 16], [4, 29, 22], [24, 37], [3, 19, 5], [11, 21, 6, 15], [35, 17, 1, 8], [9, 7, 18], [12, 20], [32, 23, 14, 27], [33, 31, 30, 34]]
17: [[28, 25], [10, 26], [36, 13, 2], [16, 4, 29], [22, 24, 37, 3], [19, 5, 11], [21, 6, 15], [35, 17, 1], [8, 9, 7], [18, 12], [20, 32, 23], [14, 27, 33, 31, 30, 34]]
18: [[28, 25], [10, 26], [36, 13, 2], [16, 4], [29, 22, 24], [37, 3, 19, 5], [11, 21], [6, 15, 35], [17, 1, 8, 9], [7, 18], [12, 20, 32, 23], [14, 27, 33, 31, 30, 34]]
19: [[28, 25], [10, 26], [36, 13, 2], [16, 4, 29], [22, 24, 37], [3, 19], [5, 11], [21, 6, 15], [35, 17, 1], [8, 9, 7, 18], [12, 20], [32, 23, 14], [27, 33], [31, 30, 34]]
20: [[28, 25], [10, 26], [36, 13, 2], [16, 4], [29, 22, 24], [37, 3, 19, 5], [11, 21, 6, 15], [35, 17], [1, 8], [9, 7, 18, 12], [20, 32, 23, 14], [27, 33, 31, 30, 34]]
21: [[28, 25], [10, 26, 36], [13, 2], [16, 4, 29], [22, 24], [37, 3, 19, 5], [11, 21, 6], [15, 35, 17], [1, 8, 9], [7, 18, 12, 20], [32, 23, 14, 27, 33, 31, 30, 34]]
22: [[28, 25], [10, 26, 36], [13, 2, 16], [4, 29], [22, 24, 37, 3], [19, 5, 11], [21, 6], [15, 35], [17, 1, 8], [9, 7], [18, 12, 20], [32, 23, 14, 27], [33, 31, 30, 34]]
23: [[28, 25], [10, 26], [36, 13, 2], [16, 4], [29, 22, 24], [37, 3], [19, 5, 11], [21, 6, 15, 35], [17, 1, 8, 9, 7, 18, 12, 20, 32, 23, 14, 27, 33, 31, 30, 34]]
24: [[28, 25], [10, 26], [36, 13], [2, 16, 4], [29, 22], [24, 37, 3], [19, 5, 11], [21, 6, 15], [35, 17, 1], [8, 9], [7, 18, 12, 20], [32, 23, 14], [27, 33, 31, 30, 34]]
25: [[28, 25], [10, 26], [36, 13, 2], [16, 4, 29], [22, 24, 37], [3, 19], [5, 11], [21, 6, 15], [35, 17, 1], [8, 9, 7, 18], [12, 20, 32, 23, 14, 27, 33, 31, 30, 34]]
26: [[28, 25], [10, 26], [36, 13], [2, 16, 4], [29, 22], [24, 37, 3], [19, 5, 11], [21, 6, 15], [35, 17], [1, 8, 9], [7, 18, 12], [20, 32, 23], [14, 27, 33], [31, 30, 34]]
27: [[28, 25], [10, 26], [36, 13, 2], [16, 4], [29, 22, 24, 37], [3, 19], [5, 11, 21], [6, 15, 35, 17], [1, 8, 9, 7, 18, 12, 20], [32, 23, 14, 27, 33, 31, 30, 34]]
28: [[28, 25], [10, 26, 36], [13, 2, 16, 4], [29, 22, 24], [37, 3], [19, 5], [11, 21, 6, 15], [35, 17, 1], [8, 9, 7], [18, 12], [20, 32, 23], [14, 27], [33, 31, 30], [34]]
