0: [[23, 24], [2, 22], [5, 6], [11, 7], [16, 4], [1, 9], [3, 18], [12, 10, 13, 21, 14, 17, 19, 20], [15, 8]]
1: [[23, 24], [2, 22], [5, 6], [11, 7], [16, 4], [1, 9], [3, 18], [12, 10, 13, 21, 14, 17, 19, 20], [15, 8]]
2: [[23, 24], [2, 22], [5, 6], [11, 7], [16, 4], [1, 9], [3, 18], [12, 10, 13, 21, 14, 17, 19, 20], [15, 8]]
3: [[23, 24], [2, 22], [5, 6], [11, 7], [16, 4], [1, 9], [3, 18], [12, 10, 13, 21, 14, 17, 19, 20], [15, 8]]
4: [[23, 24], [2, 22], [5, 6], [11, 7], [16, 4], [1, 9], [3, 18], [12, 10, 13, 21, 14, 17, 19, 20], [15, 8]]
5: [[23, 24], [2, 22], [5, 6], [11, 7], [16, 4], [1, 9], [3, 18], [12, 10, 13, 21, 14, 17, 19, 20], [15, 8]]
6: [[23, 24], [2, 22], [5, 6], [11, 7], [16, 4], [1, 9], [3, 18], [12, 10, 13, 21, 14, 17, 19, 20], [15, 8]]
7: [[23, 24], [2, 22], [5, 6], [11, 7], [16, 4], [1, 9], [3, 18], [12, 10, 13, 21, 14, 17, 19, 20], [15, 8]]
8: [[23, 24], [2, 22], [5, 6], [11, 7], [16, 4], [1, 9], [3, 18], [12, 10, 13, 21, 14, 17, 19, 20], [15, 8]]
9: [[23, 24], [2, 22], [5, 6], [11, 7], [16, 4], [1, 9], [3, 18], [12, 10, 13, 21, 14, 17, 19, 20], [15, 8]]
10: [[23, 24], [2, 22], [5, 6], [11, 7], [16, 4], [1, 9], [3, 18], [12, 10, 13, 21, 14, 17, 19, 20], [15, 8]]
11: [[23, 24], [2, 22], [5, 6], [11, 7], [16, 4], [1, 9], [3, 18], [12, 10, 13, 21, 14, 17, 19, 20], [15, 8]]
12: [[23, 24], [2, 22], [5, 6], [11, 7], [16, 4], [1, 9], [3, 18], [12, 10, 13, 21, 14, 17, 19, 20], [15, 8]]
13: [[23, 24], [2, 22], [5, 6], [11, 7], [16, 4], [1, 9], [3, 18], [12, 10, 13, 21, 14, 17, 19, 20], [15, 8]]
14: [[23, 24], [2, 22], [5, 6], [11, 7], [16, 4], [1, 9], [3, 18], [12, 10, 13, 21, 14, 17, 19, 20], [15, 8]]
15: [[23, 24], [2, 22], [5, 6], [11, 7], [16, 4], [1, 9], [3, 18], [12, 10, 13, 21, 14, 17, 19, 20], [15, 8]]
16: [[23, 24], [2, 22], [5, 6], [11, 7], [16, 4], [1, 9], [3, 18], [12, 10, 13, 21, 14, 17, 19, 20], [15, 8]]
17: [[23, 24], [2, 22], [5, 6], [11, 7], [16, 4], [1, 9], [3, 18], [12, 10, 13, 21, 14, 17, 19, 20], [15, 8]]
18: [[23, 24], [2, 22], [5, 6], [11, 7], [16, 4], [1, 9], [3, 18], [12, 10, 13, 21, 14, 17, 19, 20], [15, 8]]
19: [[23, 24], [2, 22], [5, 6], [11, 7], [16, 4], [1, 9], [3, 18], [12, 10, 13, 21, 14, 17, 19, 20], [15, 8]]
20: [[23, 24], [2, 22], [5, 6], [11, 7], [16, 4], [1, 9], [3, 18], [12, 10, 13, 21, 14, 17, 19, 20], [15, 8]]
21: [[23, 24], [2, 22], [5, 6], [11, 7], [16, 4], [1, 9], [3, 18], [12, 10, 13, 21, 14, 17, 19, 20], [15, 8]]
22: [[23, 24], [2, 22], [5, 6], [11, 7], [16, 4], [1, 9], [3, 18], [12, 10, 13, 21, 14, 17, 19, 20], [15, 8]]
23: [[23, 24], [2, 22], [5, 6], [11, 7], [16, 4], [1, 9], [3, 18], [12, 10, 13, 21, 14, 17, 19, 20], [15, 8]]
24: [[23, 24], [2, 22], [5, 6], [11, 7], [16, 4], [1, 9], [3, 18], [12, 10, 13, 21, 14, 17, 19, 20], [15, 8]]
25: [[23, 24], [2, 22], [5, 6], [11, 7], [16, 4], [1, 9], [3, 18], [12, 10, 13, 21, 14, 17, 19, 20], [15, 8]]
26: [[23, 24], [2, 22], [5, 6], [11, 7], [16, 4], [1, 9], [3, 18], [12, 10, 13, 21, 14, 17, 19, 20], [15, 8]]
27: [[23, 24], [2, 22], [5, 6], [11, 7], [16, 4], [1, 9], [3, 18], [12, 10, 13, 21, 14, 17, 19, 20], [15, 8]]
28: [[23, 24], [2, 22], [5, 6], [11, 7], [16, 4], [1, 9], [3, 18], [12, 10, 13, 21, 14, 17, 19, 20], [15, 8]]
29: [[23, 24], [2, 22], [5, 6], [11, 7], [16, 4], [1, 9], [3, 18], [12, 10, 13, 21, 14, 17, 19, 20], [15, 8]]
30: [[23, 24], [2, 22], [5, 6], [11, 7], [16, 4], [1, 9], [3, 18], [12, 10, 13, 21, 14, 17, 19, 20], [15, 8]]
