0: [[27], [36, 11, 50], [41], [35, 46, 2], [33], [34, 1, 43], [3, 30, 31, 51], [23], [13, 4, 21], [25, 15, 6, 10], [47], [5, 8, 9, 18], [57, 49], [22, 55], [37, 16], [54, 14], [53, 26], [40, 28, 29], [42, 24, 38, 44, 12], [32, 17, 58, 48], [7], [52, 56], [20, 39, 19, 45], [59, 60]]
1: [[35, 20, 11, 7, 2, 33, 3, 14, 4], [12, 5, 1, 6, 9, 8, 26, 29, 15, 28, 10, 13, 17, 16, 19, 23, 18, 21, 22, 24], [30, 31, 25, 27, 40, 36, 34, 32, 37, 39], [38, 47, 45, 43, 46, 41, 42, 44, 51], [49, 52, 50, 54, 55, 48, 53, 57, 59, 56, 58, 60]]
2: [[35, 20, 11, 7, 2, 33, 3, 14, 4], [12, 5, 1, 6, 9, 8, 26, 29, 15, 28, 10, 13, 17, 16, 19, 23, 18, 21, 22, 24], [30, 31, 25, 27, 40, 36, 34, 32, 37, 39], [38, 47, 45, 43, 46, 41, 42, 44, 51], [49, 52, 50, 54, 55, 48, 53, 57, 59, 56, 58, 60]]
3: [[35, 20, 11, 7, 2, 33, 3, 14, 4], [12, 5, 1, 6, 9, 8, 26, 29, 15, 28, 10, 13, 17, 16, 19, 23, 18, 21, 22, 24], [30, 31, 25, 27, 40, 36, 34, 32, 37, 39], [38, 47, 45, 43, 46, 41, 42, 44, 51], [49, 52, 50, 54, 55, 48, 53, 57, 59, 56, 58, 60]]
4: [[35, 20, 11, 7, 2, 33, 3, 14, 4, 12], [5, 1, 6, 8, 24, 9, 10, 13, 26, 15, 16, 27, 18, 17, 19, 21, 22, 23, 31, 30], [29, 25, 28, 40, 36, 32, 42, 37, 43], [34, 38, 45, 39, 41, 44, 47, 46, 51], [49, 54, 50, 48, 53, 52, 55, 56, 59, 57, 58, 60]]
5: [[35, 20, 11, 7, 2, 33, 3, 14, 4], [12, 5, 1, 30, 6, 24, 8, 15, 13, 28, 29, 10, 9, 18, 17, 22, 26, 16, 21, 27], [19, 31, 25, 23, 40, 36, 32, 34, 37], [38, 47, 39, 41, 46, 44, 42, 43, 45, 51], [49, 54, 48, 50, 53, 52, 55, 56, 59, 57, 58, 60]]
6: [[35, 20, 11, 7, 2, 33, 3, 14, 4], [12, 5, 1, 30, 6, 25, 9, 13, 8, 10, 15, 19, 16, 24, 17, 18, 23, 21, 22, 27], [29, 26, 28, 31, 40, 32, 42, 36, 37, 39], [34, 46, 45, 38, 47, 41, 43, 44, 51], [49, 54, 50, 48, 53, 52, 55, 56, 59, 57, 58, 60]]
7: [[35, 20, 11, 7, 2, 33, 3, 14, 4], [12, 5, 1, 22, 8, 9, 26, 17, 31, 10, 6, 30, 13, 15, 19, 16, 21, 18, 23, 24], [25, 27, 29, 28, 40, 36, 34, 32, 37, 47], [46, 39, 41, 38, 42, 43, 45, 44, 51], [49, 54, 50, 58, 52, 53, 59, 48, 57, 55, 56, 60]]
8: [[35, 20, 11, 7, 2, 33, 3, 14, 4], [12, 5, 1, 30, 9, 6, 10, 15, 26, 8, 13, 18, 21, 31, 17, 16, 23, 24, 22, 19], [29, 27, 25, 28, 40, 36, 34, 32, 37, 47], [39, 38, 45, 41, 44, 42, 43, 46, 51], [49, 54, 50, 48, 55, 52, 53, 57, 58, 56, 59, 60]]
9: [[35, 20, 11, 7, 2, 33, 3, 14, 4], [12, 5, 1, 30, 6, 9, 8, 10, 13, 23, 15, 22, 27, 17, 19, 28, 16, 25, 18, 21], [24, 26, 29, 31, 40, 36, 34, 32, 37, 46], [38, 47, 41, 42, 39, 45, 43, 44, 51], [49, 54, 50, 48, 53, 52, 55, 58, 59, 57, 56, 60]]
10: [[35, 20, 11, 7, 2, 33, 3, 14, 4], [12, 5, 1, 22, 6, 8, 9, 13, 28, 10, 15, 17, 18, 16, 19, 25, 23, 21, 26, 27], [24, 30, 31, 29, 40, 34, 32, 36, 37], [39, 38, 47, 41, 43, 45, 42, 44, 46, 51], [49, 54, 50, 48, 55, 52, 53, 56, 59, 57, 58, 60]]
11: [[35, 20, 11, 7, 2, 33, 3, 14, 4], [12, 5, 1, 22, 6, 24, 10, 13, 29, 26, 15, 19, 8, 16, 17, 9, 23, 18, 21, 27], [25, 30, 28, 31, 40, 32, 34, 36, 37], [39, 38, 47, 41, 43, 45, 42, 44, 46, 51], [49, 54, 50, 48, 53, 52, 55, 56, 58, 57, 59, 60]]
12: [[35, 20, 11, 7, 2, 33, 3, 14, 4], [12, 5, 1, 6, 8, 10, 13, 27, 9, 28, 15, 21, 17, 19, 18, 26, 30, 24, 23, 16], [22, 25, 31, 29, 40, 38, 34, 32], [37, 47, 42, 36, 43, 39, 41, 45, 44, 46, 51], [49, 54, 48, 50, 53, 52, 60, 55, 59, 56, 58, 57]]
13: [[35, 20, 11, 7, 2, 33, 3, 14, 4], [12, 5, 1, 26, 15, 25, 13, 6, 8, 10, 9, 16, 23, 17, 18, 24, 19, 31, 27, 21], [29, 22, 30, 28, 40, 38, 34, 36, 37], [47, 46, 32, 41, 44, 43, 45, 39, 42, 51], [49, 54, 50, 56, 53, 52, 55, 48, 59, 57, 58, 60]]
14: [[35, 20, 11, 7, 2, 33, 3, 14, 4], [12, 5, 1, 22, 25, 6, 9, 13, 8, 15, 10, 23, 17, 19, 16, 18, 21, 31, 27, 28], [24, 29, 26, 30, 32, 38, 36, 34, 37, 39], [43, 40, 41, 45, 42, 46, 44, 47, 51], [49, 52, 50, 56, 55, 48, 54, 58, 57, 53, 59, 60]]
15: [[35, 20, 11, 7, 2, 33, 3, 14, 4], [12, 5, 1, 18, 6, 10, 8, 9, 13, 29, 15, 21, 17, 23, 16, 30, 24, 26, 19, 22], [25, 31, 28, 27, 40, 36, 34, 32, 37, 46], [38, 47, 39, 41, 43, 42, 44, 45, 51], [49, 54, 50, 48, 53, 52, 55, 56, 59, 57, 58, 60]]
16: [[35, 20, 11, 7, 2, 33, 3, 14, 4, 12], [5, 1, 8, 9, 18, 15, 31, 23, 17, 13, 19, 27, 16, 22, 29, 10, 21, 6], [24, 26, 30, 25, 28, 40, 36, 34, 32, 37, 47], [38, 39, 45, 43, 46, 41, 42, 44, 51], [49, 54, 50, 48, 52, 59, 55, 58, 57, 53, 56, 60]]
17: [[35, 20, 11, 7, 2, 33, 3, 14, 4], [12, 5, 1, 8, 6, 13, 24, 17, 15, 31, 10, 19, 9, 16, 18, 22, 21, 23, 25, 27], [29, 26, 28, 30, 40, 36, 34, 32, 37, 47], [46, 38, 39, 41, 43, 45, 42, 44, 51], [49, 54, 50, 48, 52, 53, 55, 58, 59, 57, 56, 60]]
18: [[35, 20, 11, 7, 2, 33, 3, 14, 4], [12, 5, 1, 6, 13, 9, 10, 8, 25, 16, 15, 26, 21, 18, 22, 19, 17, 23, 24, 28], [30, 27, 29, 31, 40, 38, 34, 32, 37, 47], [46, 36, 42, 39, 45, 43, 41, 44, 51], [49, 54, 48, 58, 53, 52, 55, 50, 57, 59, 56, 60]]
19: [[35, 20, 11, 7, 2, 33, 3, 14, 4], [12, 5, 1, 10, 6, 15, 8, 19, 9, 31, 13, 21, 23, 25, 16, 18, 26, 17, 29, 27], [22, 28, 24, 30, 40, 36, 46, 32, 34, 39], [43, 37, 41, 45, 44, 38, 42, 47, 51], [49, 52, 50, 55, 53, 48, 54, 57, 58, 56, 59, 60]]
20: [[35, 20, 11, 7, 2, 33, 3, 14, 4, 12], [5, 1, 22, 15, 8, 24, 6, 9, 10, 13, 21, 19, 28, 16, 25, 23, 17, 26, 27, 18], [30, 29, 31, 40, 32, 46, 36, 37, 38], [39, 34, 45, 42, 47, 41, 43, 44, 51], [49, 54, 50, 48, 53, 60, 52, 56, 59, 57, 58, 55]]
21: [[35, 20, 11, 7, 2, 33, 3, 14, 4], [12, 5, 1, 6, 8, 9, 27, 29, 10, 13, 18, 15, 17, 16, 23, 19, 21, 24, 22, 26], [30, 28, 25, 31, 44, 36, 42, 32, 37, 47], [38, 46, 41, 43, 34, 39, 40, 45, 51], [49, 52, 50, 56, 55, 48, 53, 57, 58, 54, 59, 60]]
22: [[35, 20, 11, 7, 2, 33, 3, 14, 4], [12, 5, 1, 30, 6, 13, 9, 18, 8, 27, 10, 19, 23, 25, 16, 15, 21, 17, 28, 24], [22, 26, 31, 29, 40, 38, 46, 32, 39, 34], [42, 36, 41, 37, 43, 44, 45, 47, 51], [49, 52, 50, 55, 53, 54, 56, 58, 59, 48, 57, 60]]
23: [[35, 20, 11, 7, 2, 33, 3, 14, 4], [12, 5, 1, 6, 8, 26, 18, 25, 10, 28, 9, 15, 21, 13, 17, 22, 19, 27, 16], [24, 30, 23, 31, 29, 40, 36, 42, 32, 37, 38], [39, 34, 41, 45, 44, 43, 46, 47, 51], [49, 52, 50, 56, 53, 48, 54, 59, 55, 57, 58, 60]]
24: [[35, 20, 11, 7, 2, 33, 3, 14, 4, 12, 5], [1, 22, 15, 9, 6, 8, 23, 26, 10, 13, 17, 21, 19, 18, 24, 16, 27, 28, 25], [29, 31, 30, 40, 36, 34, 37, 32, 46], [38, 39, 41, 47, 42, 43, 45, 44, 51], [49, 54, 50, 58, 52, 48, 53, 55, 56, 57, 59, 60]]
25: [[35, 20, 11, 7, 2, 33, 3, 14, 4], [12, 5, 1, 10, 6, 15, 8, 25, 9], [27, 13, 17, 19, 24, 16, 18, 26, 21, 29], [22, 23, 28, 30, 31, 40, 36, 34, 32, 38, 39, 43, 37, 41, 44, 46, 42, 45, 47, 51], [49, 52, 50, 48, 53, 55, 54, 57, 56, 59, 58, 60]]
26: [[35, 20, 11, 7, 2, 33, 3, 14, 4], [12, 5, 1, 30, 8, 10, 28, 6, 25, 9, 13, 16, 19, 29, 15, 17, 21, 22, 26, 27], [18, 24, 23, 31, 40, 36, 42, 32, 37, 38], [34, 45, 43, 46, 39, 41, 47, 44, 51], [49, 54, 50, 48, 53, 52, 55, 57, 59, 58, 56, 60]]
27: [[35, 20, 11, 7, 2, 33, 3, 14, 4], [12, 5, 1, 24, 10, 8, 6, 9, 13, 21, 18, 29, 16, 22, 19, 17, 23, 15, 26], [31, 27, 25, 28, 30, 32, 38, 36, 34, 37, 39], [44, 43, 41, 40, 47, 46, 45, 51, 42], [49, 54, 48, 53, 52, 58, 55, 60, 50, 59, 57, 56]]
