0: [[7, 35, 3, 2], [13, 5, 1, 6, 21], [9, 8, 4, 18], [24, 16, 23, 10, 12], [15, 30, 20, 31, 19], [11, 27, 14, 17], [22, 26, 28], [29, 46, 32, 37, 40], [25, 33, 34, 36], [39, 47, 41], [42, 43, 58], [38, 51, 44], [45, 50, 55], [53, 54, 56], [49, 57, 48], [52, 60, 59]]
1: [[7, 35, 2, 1], [13, 5, 21, 6], [15, 27, 4, 18, 10], [12, 9, 26, 11, 31, 30, 3, 17, 23, 16, 24, 8], [14, 19, 20, 22, 25, 28, 29, 32, 37, 33, 34, 38], [47, 46, 36, 39], [42, 41, 40, 43, 51, 45], [44], [55, 48, 52, 49, 50, 53, 54, 57, 56, 60, 58, 59]]
2: [[7, 35, 2, 1], [13, 5, 21, 6, 9, 27], [4, 3, 12, 14, 10, 11, 8, 15, 17, 18, 23, 19, 16, 24, 26, 31, 28, 29, 30, 20, 22, 25, 33], [32, 34, 36, 37], [39, 40, 41, 47, 42, 38, 46, 43, 51], [45, 44, 54, 52, 48, 49, 50, 55, 53, 57, 58, 56, 59, 60]]
3: [[7, 35, 2, 1], [13, 5, 21, 6, 3, 27], [4, 12, 10], [14, 30, 11, 18, 9, 15, 17, 16, 19], [22, 25, 8, 20, 24, 23, 26, 28, 29, 31, 32, 36, 38, 39, 33, 47, 34, 44, 37, 40, 42, 41, 43], [51, 46, 55, 53, 48, 49, 54, 57, 45, 50], [52, 56, 59, 60, 58]]
4: [[7, 35, 2, 1], [13, 5, 21, 6], [11, 25, 4, 3, 8, 28, 9, 12, 19, 14, 17, 16, 24, 27, 26, 20, 15, 18, 22, 29, 23, 30, 31, 32, 33, 34, 43, 37, 46, 36, 38, 40, 39, 41, 10], [45, 44, 52, 47, 42, 50, 54, 53, 51, 48, 55, 49, 57, 56, 59, 60, 58]]
5: [[7, 35, 2, 1], [13, 5, 21, 6], [9, 30, 11, 8], [3, 4, 15, 18, 10], [25, 12, 14, 19, 16, 17, 20, 23, 28], [24, 27, 22, 26, 31, 29, 32, 37, 34, 33, 36, 47, 39], [42, 45, 40, 41, 43, 38, 50, 44, 51, 54], [46, 48, 49, 55, 53, 56, 59, 57, 52, 58, 60]]
6: [[7, 35, 2, 1], [13, 5, 21, 6], [10, 3, 8, 4, 11, 12, 9, 14, 29, 28, 31], [15, 17, 16, 18], [19, 24, 22, 20, 26, 27, 25, 23, 30, 32, 33, 36, 34, 37, 39, 38, 43, 40, 41, 42, 44, 46, 49, 47, 51, 45, 48, 50], [53, 54, 52, 55, 56, 57, 58], [60, 59]]
7: [[7, 35, 2, 1], [13, 5, 21, 3], [9, 22, 4], [8, 6, 10, 24, 11, 30, 19, 29, 16, 14, 15], [17, 23, 18, 27, 25], [28, 20, 31, 26, 12, 32], [37, 34, 33, 36, 47, 39, 42, 44, 40], [43, 45, 41, 50, 38, 46, 52, 53, 51], [49, 54, 48, 58, 57, 56, 55, 59, 60]]
8: [[7, 35, 2, 1], [13, 5, 21, 6], [9, 3, 8, 4, 10, 12, 11, 15, 27, 28, 30], [14, 17, 16, 18], [19, 24, 20, 22, 26, 23, 25, 29, 31, 32, 38, 33, 34, 37, 36, 39, 47], [40, 41, 43, 44, 46, 49, 51, 42, 45, 48, 50, 53, 54, 52, 55, 58, 60, 59, 57, 56]]
9: [[7, 35, 2, 1], [13, 5, 21, 6], [11, 25, 3, 12], [9, 4, 24, 8, 14, 10, 15, 19, 22, 17, 16, 18, 27, 23, 31, 26], [28, 20, 29, 30, 32, 37, 33, 36, 40, 39, 34, 44], [41, 43, 42, 38, 47, 50, 45, 51, 46, 52, 48, 53, 49, 55, 56, 54, 57, 59, 58, 60]]
10: [[7, 35, 2, 1], [13, 5, 21, 6], [11, 3, 4, 8], [10, 14, 12, 9], [16, 18, 17, 15, 22, 28], [26, 25, 19, 20], [23, 29, 24, 31, 27, 30], [32, 37, 41, 38], [36, 33, 39, 34], [42, 40, 43, 44], [46, 45, 54, 47, 49, 52], [48, 53, 51, 55], [50, 57, 56, 59, 60, 58]]
11: [[7, 35, 2, 1], [13, 5, 21, 6], [3], [27, 8, 12, 4, 10, 29, 14, 15, 20, 9, 17, 16, 11, 22, 19, 24, 18, 23, 25, 30, 31, 28, 26, 33, 37, 36, 42, 32, 47, 40, 34, 39, 41, 38, 43, 46, 51, 44, 45, 49], [50, 48, 53, 59, 54, 52], [55, 58, 57, 56, 60]]
12: [[7, 35, 2, 1], [13, 5, 21, 6], [9, 25, 4], [3, 11, 8, 30, 10, 14, 16, 15, 19, 12, 18, 22, 27, 24, 20, 17, 28, 31, 23, 29, 26], [32, 36, 34, 41, 37, 47, 33, 38, 39], [40, 43, 45, 42, 52, 44, 46, 50, 51, 48, 49, 54, 55, 53, 57], [56, 59, 58, 60]]
13: [[7, 35, 2, 1], [13, 5, 21, 6], [11, 25, 4, 3], [10, 14, 30, 8, 15, 9, 12], [16, 18, 24, 17], [22, 19, 20, 31], [26, 28, 27, 23, 29, 32, 33, 36, 34, 39, 37, 42, 44, 41, 45, 38, 40, 43, 48, 47, 50, 46, 52, 49, 51, 54, 55, 56, 53, 57, 59, 58, 60]]
14: [[7, 35, 2, 3], [13, 5, 21, 6], [4, 30, 1, 12, 9, 11, 27, 14, 15, 10, 8], [17, 16, 28, 22, 18, 23, 20, 19, 24, 26, 25, 31, 29, 32, 37, 34, 33, 38, 47, 39, 42, 44, 40, 43, 36, 41, 49, 46, 53, 45, 48, 50, 55, 51, 54, 52, 57, 56, 59, 58, 60]]
15: [[7, 35, 2, 1], [13, 5, 21, 6], [4, 11, 10, 8, 3, 12, 26, 14, 15], [30, 9, 17, 23, 20, 28, 16, 18, 19, 22, 29, 24, 27, 31, 25, 33, 32, 36, 37, 34, 46, 42, 41, 38, 40, 44, 43, 39, 50, 47, 45, 53, 54, 48, 49, 51, 55, 52, 57, 60, 59, 56, 58]]
16: [[7, 35, 2, 1], [13, 5, 21, 6], [9, 26, 3, 4], [8, 12, 24, 15, 10, 18], [11, 27, 28, 16, 22], [17, 23, 14, 20, 19], [25, 29, 30, 31, 32, 37, 38], [33, 39, 44, 34, 43, 46, 36, 41, 42, 40, 51, 45, 54, 47, 49], [52, 50, 53, 55, 48, 56, 58, 59, 57, 60]]
17: [[7, 35, 2, 1], [13, 5, 21, 6], [11], [27, 8, 4, 3, 10, 26, 9, 15, 20, 12, 19, 16], [14, 18, 22, 25, 23, 17, 24, 28, 29, 30, 31, 36, 37, 32, 34, 41, 33, 46, 43, 39, 40, 38, 44, 42, 50, 45, 47, 55, 48, 51, 53, 56, 54, 49, 57, 52, 58, 59, 60]]
18: [[7, 35, 2, 3], [13, 5, 21, 6, 1], [19, 8, 12], [11, 9, 4, 10, 31, 14, 15, 18, 23, 22, 16, 24, 17, 20], [25, 29, 27, 26, 30, 28, 32, 37, 34, 58, 36], [45, 38, 33, 43], [42, 41, 40, 53, 47, 39], [46], [44, 50, 52, 48, 55, 49, 51, 54, 57, 60, 59, 56]]
19: [[7, 35, 2, 1], [13, 5, 21, 6, 4], [3, 8, 17, 11, 9, 10, 12, 15, 23, 14], [19, 20, 26, 18, 16, 22, 27, 30, 29, 28, 24, 31, 25, 36, 37, 33, 50, 34, 32, 38, 44, 43, 41], [42, 40], [48, 46], [39, 45, 47, 49, 51, 52, 55, 53, 54, 57, 56, 60, 58, 59]]
20: [[7, 35, 2, 1], [13, 5, 21, 6], [11, 3, 8, 9, 12], [14, 26, 4, 10, 15, 31, 18, 17, 16], [30, 19, 23, 20, 24], [27, 22, 28, 25, 29, 32], [36, 33, 34, 38, 41, 43, 45], [37, 40, 39, 47, 42, 46, 54, 53, 44, 52, 50, 49, 56], [48, 55, 57, 58, 51, 59, 60]]
21: [[7, 35, 2, 1], [13, 5, 21, 6], [11, 3, 12, 8, 14, 4, 26], [9, 15, 10, 18, 17, 16, 20, 24, 19], [30, 22, 25, 29, 23, 27, 28, 31, 32, 37, 38, 34, 36, 33, 39, 41, 43, 42, 40, 45, 44, 48, 54, 46, 47, 51, 53, 49, 50, 55, 52, 57, 56, 59, 58, 60]]
22: [[7, 35, 2, 1], [13, 5, 21, 6], [3, 11, 4, 8], [12, 25, 10, 9], [23, 18, 22, 14, 20, 28, 26], [15, 19, 16, 17], [27, 24, 30, 29, 31, 32, 37], [42, 38, 36, 39, 33, 34, 40, 41, 43], [44, 46, 45, 54, 47, 48, 52, 51, 49, 50, 55, 53, 57, 60, 56, 59, 58]]
23: [[7, 35, 2, 1], [13, 5, 21, 6], [11, 18, 3, 4, 10], [14, 8, 9, 12, 26, 15, 27, 28, 16, 22, 19, 17, 20, 23, 24], [30, 25, 29, 31, 32, 37, 34, 33, 38, 39, 40, 36, 41, 42, 43, 45, 44, 52], [54, 55, 49, 46, 48, 50, 51, 47], [53, 56, 58, 60, 57, 59]]
24: [[7, 35, 2, 1], [13, 5, 21, 6], [11, 3, 4, 12, 10], [8, 31, 9], [15, 16, 25, 17, 23, 19, 28, 24, 22, 18, 20, 26, 27, 14, 29, 30, 36, 37, 32, 42, 33], [46, 38, 40, 34, 41, 43, 45, 44, 49, 39, 47], [48, 53, 52, 51, 50, 54, 55, 57, 56, 60, 59, 58]]
25: [[7, 35, 2, 1], [13, 5, 21, 6], [15, 26, 4, 8, 3, 12, 31, 14, 9, 30, 11, 17, 10, 20, 18], [16, 19, 22, 23, 29, 25, 24, 27, 28, 32], [37, 36, 33, 34, 46, 39, 43, 44, 41, 38, 42, 40, 49, 47, 52, 45, 51, 48, 50, 53, 55, 54, 56, 57, 59, 58, 60]]
26: [[7, 35, 2, 1], [13, 5, 21, 6], [9, 27, 3, 8], [17, 10, 16, 4], [15, 28, 11, 19, 12, 18, 14, 22, 23, 20, 24, 26, 30, 25], [29, 31, 32, 37], [33, 42, 34, 43, 36, 38, 40, 41, 47, 44, 39, 46, 45, 50, 53, 52, 48, 49, 56, 51, 54, 55, 58, 57, 60, 59]]
27: [[7, 35, 2, 1], [13, 5, 21, 6], [11, 25, 8], [3, 4, 9, 26, 12, 28, 15, 14], [17, 16, 19, 18, 10, 20, 22, 27, 30, 23, 24, 31, 29, 32, 36, 38, 39, 33, 34, 47, 37, 41, 40, 42, 43, 46, 52, 44, 45, 54, 48, 49, 50, 51, 55, 53, 57, 56, 59, 58, 60]]
28: [[7, 35, 2, 1], [13, 5, 21, 6, 9, 27, 4, 8, 10, 12, 3, 14, 16, 11, 15, 17, 22, 23, 20, 18, 19, 30, 24, 25, 28, 31, 29, 26, 33, 37, 44, 41, 38, 47, 34, 32, 39, 40, 42, 43], [45, 52, 36, 53, 54, 46], [48, 50, 51, 57, 49, 55, 58, 59, 56, 60]]
29: [[7, 35, 2, 1], [13, 5, 21, 6], [3, 27, 9, 12, 18, 4], [8, 15, 14, 10], [11, 19, 16, 17, 28, 22, 20, 23, 24, 26, 30, 25, 29, 31, 33, 37], [32, 36, 39, 38, 40, 34, 44, 43, 42, 41, 46, 50], [54, 45, 49, 47, 48, 51, 53, 55, 52, 56, 59, 58, 57, 60]]
30: [[7, 35, 2, 1], [13, 5, 21, 6], [3, 9, 4, 8, 14, 10, 31, 11, 15, 30, 12, 16, 25, 20, 18], [17, 22, 19, 23, 29, 24, 27, 26, 28, 32], [37, 36, 33, 34, 46, 47, 43, 38, 41, 39, 42, 40, 51, 45, 44, 49, 53, 48, 50, 52, 55, 54, 56, 60, 57, 58, 59]]
31: [[7, 35, 2, 1], [13, 5, 21, 6, 11, 27, 8], [3, 12, 9, 26, 14, 4, 10, 15, 22, 16, 18, 17], [19, 20, 23, 31, 30, 25, 28, 24, 29, 33, 36, 32, 34, 38, 41], [47, 37, 44, 40, 43, 39, 46, 51, 42, 45, 53, 48, 50, 49, 54, 52, 55, 57, 56, 59, 58, 60]]
32: [[7, 35, 2, 1], [13, 5, 21, 6, 3, 27], [4, 8, 9, 12], [29, 22, 10, 11, 15, 17, 16, 18, 14], [26, 19, 23, 24], [20, 25, 28, 30], [31, 33, 36, 38, 32, 34], [46, 37, 39, 44], [41, 42, 47, 43, 51, 40, 53], [55, 48, 49, 54, 60, 45, 50, 52, 58, 59, 56, 57]]
33: [[7, 35, 2, 1], [13, 5, 21, 6], [11, 25, 4, 8, 30, 3], [31, 10, 15, 24, 12], [16, 9, 14, 18, 17, 22], [23, 19, 29, 28, 20, 26], [27, 32, 37, 34], [36, 38, 39, 47, 43, 33, 41, 40, 42, 46, 51, 52, 44, 49, 45], [48, 50, 53, 55, 54, 56, 58, 57, 59, 60]]
34: [[7, 35, 2, 1], [13, 5, 21, 6, 3], [27, 4, 8, 9, 14], [25, 12, 10, 11, 15, 17], [16, 23, 28, 19, 22, 18, 24, 20, 29, 31, 26, 30, 33, 32, 36, 38, 34, 39, 37, 42, 47, 43, 46, 40, 41, 51, 44, 45, 48, 49, 52, 50, 53, 55], [54, 57, 58, 59, 56, 60]]
35: [[7, 35, 2, 1], [13, 5, 21, 6, 3], [26, 11, 4, 19], [12, 15, 22, 8, 9, 10, 17, 18, 16], [14, 31, 23, 20], [27, 24, 25, 28, 29, 45, 33, 38, 36, 30], [34, 46, 32, 37], [39, 41, 40, 47, 42, 44, 52], [51, 54, 43, 49, 50, 48, 55, 59, 57, 58, 53, 56, 60]]
