0: [[3, 8, 1], [4, 2, 6], [7, 10, 5], [9, 12, 11, 13], [14, 15, 16], [19, 17, 18, 20]]
1: [[3, 8, 1], [4, 2, 6], [7, 10, 5], [9, 12, 11, 13], [14, 15, 16], [19, 17, 18, 20]]
2: [[3, 8, 1], [4, 2, 6], [7, 10, 5], [9, 12, 11, 13], [14, 15, 16], [19, 17, 18, 20]]
3: [[8, 1, 3], [2, 4, 6], [7, 10, 5, 9], [12, 11, 13], [14, 15, 16], [19, 17, 18, 20]]
4: [[8, 1, 3], [2, 4, 6], [7, 10, 5, 9], [12, 11, 13], [14, 15, 16], [19, 17, 18, 20]]
5: [[3, 8, 1], [7, 10, 5, 2, 6], [9, 12, 11], [13, 14, 4], [15, 16, 19], [17, 18, 20]]
6: [[3, 8, 1], [4, 2, 6], [7, 10, 5], [9, 12, 11], [13, 14, 15, 16], [19, 17, 18, 20]]
7: [[8, 1, 3], [2, 4, 6], [7, 10, 5, 9], [12, 11, 13], [14, 15, 16, 19], [17, 18, 20]]
8: [[3, 8], [1, 4, 2], [6, 7, 10], [5, 9, 12, 11, 13], [14, 15, 16], [19, 17, 18, 20]]
9: [[8, 1, 3], [2, 7, 4], [10, 5, 9], [12, 11], [13, 14, 15, 16, 6], [19, 17, 18, 20]]
10: [[8, 1, 3], [6, 7, 10, 2], [5, 9], [12, 11], [13, 14, 15, 4], [16, 19, 17, 18, 20]]
11: [[8, 1, 3], [6, 7, 10, 4, 2], [5, 9], [12, 11], [13], [14, 15, 16], [19, 17, 18, 20]]
12: [[8, 1, 3], [2, 6, 4], [7, 10, 5, 9], [12, 11, 13, 14], [15, 16, 19, 17, 18, 20]]
13: [[8, 1, 3], [2, 7, 6], [10, 5, 9], [12, 11], [13, 14, 15, 4], [16, 19, 17, 18, 20]]
14: [[8, 1, 3], [6, 7, 4, 2], [10, 5], [9, 12, 11], [13, 14, 15, 16], [19, 17, 18, 20]]
15: [[3, 8, 1], [4, 2, 6], [7, 10, 5], [9, 12, 11], [13, 14, 15], [16, 19, 17, 18, 20]]
16: [[3, 8, 1], [4, 2, 6], [7, 10, 5], [9, 12, 11], [13, 14, 15], [16, 19, 17, 18, 20]]
17: [[8, 1, 3], [6, 4, 2], [7, 10], [5, 9], [12, 11, 13], [14, 15, 16, 19], [17, 18, 20]]
18: [[3, 8, 1], [7, 10, 4, 2], [5, 9, 12, 11], [13, 14, 15, 16, 6], [19, 17, 18, 20]]
19: [[8, 1, 3], [6, 7, 10, 4, 2], [5, 9, 12, 11], [13, 14, 15, 16], [19, 17, 18, 20]]
20: [[3, 8, 1], [6, 4, 2], [7, 10, 5], [9, 12, 11], [13, 14, 15, 16, 19, 17, 18, 20]]
21: [[3, 8, 1], [7, 10, 5, 2, 6], [9, 12, 11], [13, 14, 15, 4], [16, 19, 17], [18, 20]]
22: [[8, 1, 3, 4], [2, 7], [10, 5, 9], [12, 11], [13, 14, 15, 16, 6], [19, 17, 18, 20]]
23: [[3, 8], [1, 4, 2], [6, 7, 10], [5, 9, 12, 11], [13, 14, 15, 16], [19, 17, 18, 20]]
24: [[3, 8], [1, 4, 2], [6, 7, 10], [5, 9, 12, 11], [13, 14, 15, 16], [19, 17, 18, 20]]
25: [[8, 1, 3], [6, 4, 2], [7], [10, 5, 9], [12, 11, 13, 14], [15, 16, 19, 17, 18, 20]]
26: [[8, 1, 3], [6, 2], [7, 10], [5, 9, 12], [11, 13, 14, 4], [15, 16], [19, 17, 18, 20]]
27: [[8, 1, 3], [6, 7, 10, 2], [5, 9, 12], [11, 13, 14, 15, 4], [16, 19, 17, 18, 20]]
28: [[8, 1, 3], [6, 7, 10, 2], [5, 9, 12], [11, 13, 14, 15, 4], [16, 19, 17, 18, 20]]
29: [[8, 1, 3], [2, 6, 4], [7, 10, 5, 9], [12, 11, 13, 14, 15, 16, 19, 17, 18, 20]]
30: [[8, 1, 3], [6, 4, 2], [7, 10, 5], [9, 12], [11, 13, 14, 15], [16, 19, 17, 18, 20]]
31: [[8, 1, 3], [6, 4, 2], [7, 10, 5], [9, 12], [11, 13, 14, 15], [16, 19, 17, 18, 20]]
32: [[8], [1, 3, 4], [6, 2], [7, 10, 5], [9, 12, 11, 13, 14], [15, 16, 19], [17, 18, 20]]
33: [[3, 8], [1, 6], [7, 10, 2], [5, 9, 12, 11], [13, 14, 15, 4], [16, 19, 17, 18, 20]]
34: [[3, 8], [1, 4, 2], [6, 7], [10, 5], [9, 12, 11], [13, 14, 15, 16, 19, 17, 18, 20]]
35: [[8, 1, 3], [6, 2], [7, 10], [5, 9, 12], [11, 13, 14, 4], [15, 16, 19, 17], [18, 20]]
36: [[8, 1, 3], [6, 7, 4, 2], [10, 5], [9, 12], [11, 13, 14, 15], [16, 19, 17, 18, 20]]
37: [[3, 8, 1, 2, 4], [7, 6], [10, 5, 9, 12, 11], [13, 14, 15, 16, 19, 17, 18, 20]]
38: [[8, 1, 3], [2], [7, 10, 5, 9, 12], [11, 13, 14, 15, 4], [16, 19, 6], [17, 18, 20]]
39: [[3, 8, 1], [4, 2, 6, 7], [10, 5, 9, 12, 11, 13, 14, 15, 16, 19, 17, 18, 20]]
40: [[3, 8, 1], [4, 2, 6], [7], [10, 5, 9, 12, 11, 13, 14, 15, 16, 19, 17, 18, 20]]
41: [[3, 8, 1], [4, 2, 6], [7], [10, 5, 9, 12, 11, 13, 14, 15, 16, 19, 17, 18, 20]]
