0: [[3, 5, 6, 9, 2, 4, 14, 10, 1], [7, 11], [13, 8, 15, 16, 19, 22, 18, 20, 12, 17], [21, 23, 24]]
1: [[3, 5, 1, 6, 9, 2, 4, 14, 10], [7, 11], [13, 8, 15, 16, 19, 22, 18, 20, 12, 17], [21, 23, 24]]
2: [[3, 5, 1, 6, 9, 2, 4, 14, 10], [7, 11], [13, 8, 15, 16, 19, 22, 18, 20, 12, 17], [21, 23, 24]]
3: [[3, 5, 1, 6, 9, 2, 4, 14, 10], [7, 11], [13, 8, 15, 16, 19, 22, 18, 20, 12, 17], [21, 23, 24]]
4: [[3, 5, 1, 6, 9, 2, 4, 14, 10], [7, 11], [13, 8, 15, 16, 19, 22, 18, 20, 12, 17], [21, 23, 24]]
5: [[3, 5, 1, 6, 9, 2, 4], [14, 10, 7], [11, 13, 8, 15, 16, 19, 22, 18, 20, 12, 17], [21, 23, 24]]
6: [[3, 5, 1, 6, 9, 2, 4], [14, 10, 7], [11, 13, 8, 15, 16, 19, 22, 18, 20, 12, 17], [21, 23, 24]]
7: [[3, 5, 1, 6, 9, 2, 4], [14, 10, 7, 11, 12], [13, 8, 15, 16, 19, 22, 18, 20, 17], [21, 23, 24]]
8: [[3, 5, 1, 6, 9, 2, 4], [14, 10, 7, 11, 12], [13, 8, 15, 16, 19, 22, 18, 20, 17], [21, 23, 24]]
9: [[3, 5, 1, 6, 9, 2, 4], [14, 10, 7, 11, 12], [13, 8, 15, 16, 19, 22, 18, 20, 17], [21, 23, 24]]
10: [[3, 5, 1, 6, 9, 2, 4], [14, 10, 7, 11, 12], [13, 8, 15, 16, 19, 22, 18, 20, 17], [21, 23, 24]]
11: [[3, 5, 1, 6, 9, 2], [4, 14, 10, 7, 11], [13, 8, 15, 16, 19, 22, 18, 20, 12, 17], [21, 23, 24]]
12: [[3, 5, 1, 6, 9, 2], [4, 14, 10, 7, 11, 12], [13, 8, 15, 16, 19, 22, 18, 20, 17], [21, 23, 24]]
13: [[3, 5, 1, 6, 9, 2], [4, 14, 10, 7, 11, 13, 12], [8, 15, 16, 19, 22, 18, 20, 17], [21, 23, 24]]
14: [[3, 5, 1, 6, 9, 2], [4, 14, 10, 7, 11, 12], [13, 8, 15, 16, 19, 22, 18, 20, 17], [21, 23, 24]]
15: [[3, 5, 1, 6, 9, 2, 4, 14, 10], [7, 11, 13, 8, 15, 12], [16, 19, 22, 18, 20, 17], [21, 23, 24]]
16: [[3, 5, 1, 6, 9, 2, 4, 14, 10], [7, 11, 13, 8, 15, 12], [16, 19, 22, 18, 20, 17], [21, 23, 24]]
17: [[3, 5, 1, 6, 9], [2, 4, 14, 10, 7, 11, 12], [13, 8, 15, 16, 19, 22, 18, 20, 17], [21, 23, 24]]
18: [[3, 5, 1, 6, 9, 2, 4, 14, 10], [7, 11, 13, 8, 12], [15, 16, 19, 22, 18, 20, 17], [21, 23, 24]]
19: [[3, 5, 1, 6, 9, 2, 4, 14, 10], [7, 11, 13, 8, 12], [15, 16, 19, 22, 18, 20, 17], [21, 23, 24]]
20: [[3, 5, 1, 6, 9, 2, 4, 14, 10], [7, 11, 13, 8, 12], [15, 16, 19, 22, 18, 20, 17], [21, 23, 24]]
21: [[3, 5, 1, 6, 9, 2, 4, 14, 10], [7, 11, 13, 8, 12], [15, 16, 19, 22, 18, 20, 17], [21, 23, 24]]
22: [[3, 5, 1, 6, 9, 2, 4, 14, 10, 7], [11, 13, 12], [8, 15, 16, 19, 22, 18, 20, 17], [21, 23, 24]]
23: [[3, 5, 1, 6, 9, 2, 4, 14, 10, 7, 11], [13, 8, 15, 12], [16, 19, 22, 18, 20, 17], [21, 23, 24]]
24: [[3, 5, 1, 6, 9, 2], [4, 14, 10, 7, 11, 13, 8, 15, 12], [16, 19, 22, 18, 20, 17], [21, 23, 24]]
25: [[3, 5, 1, 6, 9, 2, 4, 14, 10, 7], [11, 13, 8, 15, 16, 12], [19, 22, 18, 20, 17], [21, 23, 24]]
26: [[3, 5, 1, 6, 9, 2, 4, 14, 10], [7, 11, 13, 8, 15, 16, 19, 12, 17], [22, 18, 20], [21, 23, 24]]
27: [[3, 5, 1, 6, 9], [2, 4, 14, 10, 7, 11, 13, 8, 15, 12], [16, 19, 22, 18, 20, 17], [21, 23, 24]]
28: [[3, 5, 1, 6, 9, 2, 4, 14, 10], [7, 11, 13, 8, 15, 16, 19, 22, 12, 17], [18, 20], [21, 23, 24]]
29: [[3, 5, 1, 6, 9], [2, 4, 14, 10, 7, 11, 13, 8, 15, 16, 19, 12], [22, 18, 20, 17], [21, 23, 24]]
30: [[3, 5, 1, 6, 9, 2, 4, 14, 10, 7, 11, 12], [13, 8, 15, 16], [19, 22, 18, 20, 17], [21, 23, 24]]
31: [[3, 5, 1, 6, 9], [2, 4, 14, 10, 7, 11, 13, 8, 15, 16, 12], [19, 22, 18, 20, 17], [21, 23, 24]]
32: [[3, 5], [1, 6, 9, 2, 4, 14, 10, 7, 11], [13, 8, 15, 16, 19, 22, 18, 20, 12, 17], [21, 23, 24]]
33: [[3, 5, 1, 6, 9, 2, 4, 14, 10], [7, 11], [12, 13, 8, 15, 16, 19, 17, 22, 18, 20, 21], [23, 24]]
34: [[3, 5, 1, 6, 9, 2, 4, 14, 10, 7, 11], [13, 8, 12], [15, 16, 19, 22, 18, 20, 17], [21, 23, 24]]
35: [[3, 5, 1, 6, 9, 2, 4, 14, 10, 7, 11], [13, 8, 12], [15, 16, 19, 22, 18, 20, 17], [21, 23, 24]]
36: [[3, 5], [1, 6, 9, 2, 4, 14, 10, 7], [11, 13, 8, 15, 16, 19, 22, 18, 20, 12, 17], [21, 23, 24]]
37: [[3, 5, 1, 6], [9, 2, 4, 14, 10, 7, 11, 13, 8, 15, 12], [16, 19, 22, 18, 20, 17], [21, 23, 24]]
38: [[3, 5, 1, 6, 9, 2, 4, 14, 10, 7, 11], [13, 8, 15, 16, 19, 22, 12, 17], [18, 20], [21, 23, 24]]
39: [[3, 5, 1, 6, 9, 2, 4, 14, 10], [7, 11, 12, 13, 8, 15, 16], [19, 17, 22, 18, 20, 21], [23, 24]]
40: [[3, 5, 1, 6, 9, 2], [4, 14, 10, 7, 11, 12], [13, 8, 15, 16, 19, 17, 22, 18, 20, 21], [23, 24]]
41: [[3, 5, 6, 9, 2, 4, 1], [14, 7, 11, 12, 13, 10], [8, 15, 16, 19, 17, 22, 18], [20, 21, 23, 24]]
