0: [[28, 25, 26], [1, 2, 7], [4, 22, 6, 10], [5, 13, 11, 12], [3, 9], [14, 8], [19, 15, 21], [18, 16, 20, 17], [24, 29], [27, 23, 31, 33, 30, 32], [35, 36, 34, 37]]
1: [[28, 25, 26], [1, 2, 7], [4, 22, 6, 10], [5, 13, 11, 12], [3, 9], [14, 8], [19, 15, 21], [18, 16, 20, 17], [24, 29], [27, 23, 31, 33, 30, 32], [35, 36, 34, 37]]
2: [[28, 25, 26], [1, 2, 7, 4], [22, 6, 10], [5, 13, 11, 12], [3, 9, 14, 8], [19, 15, 21], [18, 16, 20], [17, 24, 29], [27, 23, 31, 33], [30, 32], [35, 36, 34, 37]]
3: [[28, 25, 26], [1, 2, 7], [4, 22], [6, 10], [5, 13, 11], [12, 3, 9], [14, 8, 19], [15, 21, 18], [16, 20], [17, 24, 29], [27, 23, 31], [33, 30, 32], [35, 36, 34, 37]]
4: [[28, 25, 26], [1, 2, 7], [4, 22], [6, 10], [5, 13, 11], [12, 3, 9], [14, 8, 19], [15, 21, 18], [16, 20], [17, 24, 29], [27, 23, 31], [33, 30, 32], [35, 36, 34, 37]]
5: [[28, 25, 26], [1, 2, 7, 4], [22, 6, 10], [5, 13, 11], [12, 3, 9], [14, 8, 19], [15, 21], [18, 16, 20], [17, 24, 29], [27, 23, 31], [33, 30, 32, 35], [36, 34, 37]]
6: [[28, 25, 26], [1, 2, 7], [4, 22, 6, 10], [5, 13, 11, 12], [3, 9], [14, 8], [19, 15], [21, 18, 16, 20, 17, 24, 29, 27, 23, 31, 33, 30, 32, 35, 36, 34, 37]]
7: [[28, 25, 26], [1, 2, 7], [4, 22, 6], [10, 5, 13], [11, 12, 3], [9, 14, 8], [19, 15, 21], [18, 16, 20], [17, 24, 29], [27, 23, 31], [33, 30, 32], [35, 36, 34, 37]]
8: [[28, 25, 26], [1, 2, 7], [4, 22, 6], [10, 5, 13], [11, 12, 3], [9, 14, 8], [19, 15, 21], [18, 16, 20], [17, 24, 29], [27, 23, 31], [33, 30, 32], [35, 36, 34, 37]]
9: [[28, 25, 26], [1, 2, 7], [4, 22, 6], [10, 5, 13], [11, 12, 3], [9, 14, 8], [19, 15, 21], [18, 16, 20], [17, 24, 29], [27, 23, 31], [33, 30, 32], [35, 36, 34, 37]]
10: [[28, 25, 26], [1, 2, 7, 4, 22, 6, 10], [5, 13, 11, 12], [3, 9, 14, 8], [19, 15], [21, 18], [16, 20, 17], [24, 29, 27, 23], [31, 33, 30, 32], [35, 36, 34, 37]]
11: [[28, 25, 26], [1, 2, 7, 4], [22, 6, 10], [5, 13, 11, 12], [3, 9, 14, 8], [19, 15], [21, 18], [16, 20, 17], [24, 29, 27, 23], [31, 33, 30, 32], [35, 36, 34, 37]]
12: [[28, 25, 26], [1, 2, 7, 4], [22, 6, 10], [5, 13, 11, 12], [3, 9], [14, 8, 19, 15], [21, 18, 16, 20], [17, 24], [29, 27, 23, 31], [33, 30, 32], [35, 36, 34, 37]]
13: [[28, 25, 26], [1, 2, 7, 4], [22, 6, 10], [5, 13, 11], [12, 3, 9], [14, 8], [19, 15, 21], [18, 16, 20], [17, 24], [29, 27, 23], [31, 33, 30, 32], [35, 36, 34, 37]]
14: [[28, 25, 26], [1, 2, 7], [4, 22, 6], [10, 5, 13], [11, 12, 3], [9, 14, 8], [19, 15, 21], [18, 16], [20, 17], [24, 29], [27, 23], [31, 33, 30, 32], [35, 36, 34, 37]]
15: [[28, 25, 26], [1, 2, 7], [4, 22, 6], [10, 5, 13], [11, 12], [3, 9, 14, 8], [19, 15, 21], [18, 16, 20], [17, 24, 29], [27, 23, 31, 33], [30, 32], [35, 36, 34, 37]]
16: [[28, 25, 26], [1, 2, 7, 4], [22, 6, 10], [5, 13], [11, 12, 3], [9, 14, 8], [19, 15, 21, 18], [16, 20], [17, 24, 29, 27], [23, 31, 33, 30, 32, 35], [36, 34, 37]]
17: [[28, 25, 26], [1, 2, 7], [4, 22, 6, 10], [5, 13, 11, 12], [3, 9], [14, 8, 19], [15, 21, 18], [16, 20, 17, 24], [29, 27, 23, 31, 33, 30, 32, 35, 36, 34, 37]]
18: [[28, 25, 26], [1, 2, 7], [4, 22, 6, 10], [5, 13, 11], [12, 3, 9], [14, 8, 19], [15, 21, 18], [16, 20, 17], [24, 29, 27], [23, 31, 33], [30, 32, 35, 36, 34, 37]]
19: [[28, 25, 26], [1, 2, 7], [4, 22, 6, 10], [5, 13, 11, 12], [3, 9, 14, 8, 19, 15, 21, 18, 16, 20, 17, 24], [29, 27, 23, 31, 33, 30, 32, 35, 36, 34, 37]]
20: [[28, 25, 26], [1, 2, 7], [4, 22, 6], [10, 5, 13], [11, 12, 3], [9, 14, 8], [19, 15, 21], [18, 16, 20], [17, 24, 29], [27, 23, 31], [33, 30, 32, 35], [36, 34, 37]]
21: [[28, 25, 26], [1, 2, 7], [4, 22, 6], [10, 5, 13], [11, 12, 3], [9, 14, 8], [19, 15, 21], [18, 16, 20], [17, 24, 29], [27, 23, 31], [33, 30, 32, 35], [36, 34, 37]]
22: [[28, 25, 26], [1, 2, 7], [4, 22, 6, 10], [5, 13, 11, 12], [3, 9, 14, 8, 19, 15, 21, 18, 16, 20, 17, 24], [29, 27, 23, 31, 33, 30, 32, 35, 36, 34, 37]]
23: [[28, 25, 26], [1, 2, 7], [4, 22, 6], [10, 5, 13], [11, 12, 3], [9, 14, 8], [19, 15, 21, 18], [16, 20, 17], [24, 29, 27], [23, 31], [33, 30, 32], [35, 36, 34, 37]]
24: [[28, 25, 26], [1, 2, 7, 4], [22, 6, 10], [5, 13, 11], [12, 3, 9], [14, 8], [19, 15, 21, 18], [16, 20, 17, 24, 29, 27, 23, 31, 33, 30, 32, 35, 36, 34, 37]]
25: [[28, 25, 26], [1, 2, 7, 4], [22, 6, 10], [5, 13, 11], [12, 3], [9, 14, 8], [19, 15, 21, 18], [16, 20, 17, 24], [29, 27, 23], [31, 33, 30, 32], [35, 36, 34, 37]]
26: [[28, 25, 26], [1, 2, 7], [4, 22, 6], [10, 5, 13], [11, 12, 3], [9, 14, 8], [19, 15, 21], [18, 16, 20], [17, 24, 29], [27, 23, 31], [33, 30], [32, 35, 36], [34, 37]]
27: [[28, 25, 26], [1, 2, 7], [4, 22, 6], [10, 5, 13], [11, 12, 3], [9, 14, 8], [19, 15, 21, 18], [16, 20, 17], [24, 29, 27], [23, 31, 33, 30], [32, 35, 36], [34, 37]]
28: [[28, 25, 26], [1, 2, 7, 4], [22, 6, 10], [5, 13, 11, 12], [3, 9, 14, 8, 19, 15], [21, 18, 16, 20], [17, 24, 29, 27, 23, 31, 33, 30, 32, 35, 36, 34, 37]]
29: [[28, 25, 26], [1, 2, 7, 4], [22, 6, 10], [5, 13, 11], [12, 3, 9], [14, 8, 19], [15, 21], [18, 16], [20, 17], [24, 29, 27], [23, 31, 33], [30, 32, 35], [36, 34, 37]]
30: [[28, 25, 26], [1, 2, 7, 4], [22, 6, 10], [5, 13, 11], [12, 3, 9], [14, 8, 19], [15, 21], [18, 16], [20, 17], [24, 29, 27], [23, 31, 33], [30, 32, 35], [36, 34, 37]]
31: [[28, 25, 26], [1, 2, 7, 4], [22, 6, 10], [5, 13, 11], [12, 3, 9], [14, 8, 19, 15], [21, 18, 16, 20], [17, 24, 29, 27], [23, 31], [33, 30, 32, 35, 36, 34, 37]]
32: [[28, 25, 26], [1, 2, 7, 4], [22, 6, 10], [5, 13, 11], [12, 3, 9], [14, 8, 19, 15], [21, 18, 16, 20], [17, 24, 29, 27], [23, 31], [33, 30, 32, 35, 36, 34, 37]]
33: [[28, 25, 26], [1, 2, 7], [4, 22, 6], [10, 5], [13, 11, 12], [3, 9, 14], [8, 19, 15], [21, 18, 16, 20], [17, 24, 29], [27, 23, 31, 33], [30, 32], [35, 36, 34, 37]]
34: [[28, 25, 26], [1, 2, 7], [4, 22, 6, 10], [5, 13], [11, 12, 3, 9], [14, 8], [19, 15, 21, 18], [16, 20], [17, 24, 29, 27, 23, 31, 33, 30, 32, 35], [36, 34, 37]]
35: [[28, 25, 26], [1, 2, 7], [4, 22, 6, 10], [5, 13], [11, 12], [3, 9, 14, 8], [19, 15, 21], [18, 16, 20, 17, 24, 29, 27, 23, 31, 33, 30, 32, 35, 36, 34, 37]]
36: [[28, 25, 26], [1, 2, 7], [4, 22, 6, 10], [5, 13, 11], [12, 3, 9], [14, 8, 19, 15, 21], [18, 16], [20, 17, 24, 29, 27, 23, 31, 33, 30, 32, 35, 36, 34, 37]]
37: [[28, 25, 26], [1, 2, 7, 4], [22, 6, 10], [5, 13, 11], [12, 3, 9, 14], [8, 19, 15, 21, 18], [16, 20, 17], [24, 29, 27, 23, 31, 33, 30, 32, 35, 36], [34, 37]]
38: [[28, 25, 26], [1, 2, 7], [4, 22, 6, 10], [5, 13], [11, 12], [3, 9, 14, 8], [19, 15, 21], [18, 16, 20, 17], [24, 29, 27, 23, 31, 33, 30, 32, 35, 36, 34, 37]]
39: [[28, 25, 26], [1, 2, 7], [4, 22, 6], [10, 5, 13], [11, 12, 3, 9], [14, 8, 19], [15, 21, 18], [16, 20, 17], [24, 29, 27], [23, 31, 33], [30, 32, 35], [36, 34, 37]]
40: [[28, 25, 26], [1, 2, 7], [4, 22, 6, 10], [5, 13, 11, 12, 3, 9, 14, 8, 19, 15, 21, 18, 16, 20, 17, 24, 29, 27], [23, 31, 33, 30, 32, 35, 36, 34, 37]]
41: [[28, 25, 26], [1, 2, 7], [4, 22, 6], [10, 5, 13], [11, 12, 3], [9, 14, 8], [19, 15, 21], [18, 16, 20], [17, 24], [29, 27, 23], [31, 33, 30, 32], [35, 36, 34, 37]]
42: [[28, 25, 26], [1, 2, 7], [4, 22, 6, 10], [5, 13], [11, 12, 3, 9], [14, 8, 19, 15, 21, 18], [16, 20, 17, 24], [29, 27, 23, 31, 33, 30, 32, 35, 36, 34, 37]]
43: [[28, 25, 26], [1, 2, 7], [4, 22, 6], [10, 5], [13, 11, 12, 3], [9, 14, 8, 19], [15, 21, 18], [16, 20, 17], [24, 29], [27, 23, 31], [33, 30, 32, 35], [36, 34, 37]]
44: [[28, 25, 26], [1, 2], [7, 4, 22], [6, 10, 5, 13], [11, 12, 3, 9], [14, 8], [19, 15, 21], [18, 16, 20, 17, 24, 29, 27, 23, 31, 33, 30, 32, 35, 36, 34, 37]]
45: [[28, 25, 26], [1, 2, 7], [4, 22, 6], [10, 5, 13], [11, 12, 3, 9], [14, 8, 19], [15, 21, 18], [16, 20, 17], [24, 29, 27], [23, 31, 33], [30, 32, 35, 36], [34, 37]]
46: [[28, 25, 26], [1, 2, 7], [4, 22, 6, 10], [5, 13, 11], [12, 3, 9, 14], [8, 19, 15, 21], [18, 16, 20, 17], [24, 29, 27, 23], [31, 33, 30, 32, 35, 36, 34, 37]]
47: [[28, 25, 26], [1, 2, 7], [4, 22, 6], [10, 5, 13, 11, 12, 3, 9, 14, 8, 19, 15, 21, 18, 16, 20, 17, 24, 29, 27, 23, 31, 33, 30, 32, 35, 36, 34, 37]]
48: [[28, 25, 26], [1, 2, 7], [4, 22], [6, 10], [5, 13, 11], [12, 3, 9], [14, 8, 19], [15, 21, 18], [16, 20, 17, 24], [29, 27], [23, 31, 33, 30], [32, 35, 36], [34, 37]]
49: [[28, 25, 26], [1, 2, 7], [4, 22, 6], [10, 5, 13, 11], [12, 3], [9, 14, 8, 19], [15, 21], [18, 16, 20, 17, 24, 29, 27, 23, 31, 33, 30, 32, 35, 36, 34, 37]]
