0: [[3, 1], [5, 4], [10, 7, 2, 8], [12, 11, 13, 9], [14, 16, 6, 15], [19, 17, 18, 20]]
1: [[3, 1], [5, 4], [10, 7], [2, 8], [12, 11, 13, 9], [14, 16, 6, 15], [19, 17, 18, 20]]
2: [[3, 1, 5], [10, 7], [2, 8], [12, 11, 13, 9], [14, 16, 4, 6, 15], [19, 17, 18, 20]]
3: [[3, 1], [5, 4], [10, 7, 2, 8], [12, 11, 13, 9], [14, 15, 16, 19, 17, 18, 20, 6]]
4: [[3, 1, 5], [10, 7], [2, 8], [12, 11, 9], [13, 14, 4], [16, 19, 6, 15], [17, 18, 20]]
5: [[3, 1, 5], [10, 7, 4, 6], [2, 8], [12, 11, 13, 9], [14, 15, 16, 19, 17, 18, 20]]
6: [[3, 1], [5], [14, 2, 4], [10, 13, 12, 11, 9], [8, 7, 16, 6, 15], [17, 19, 20, 18]]
7: [[3, 1], [5], [14, 2, 4], [10, 13, 12, 11, 9], [8, 7, 16, 6, 15], [17, 19, 20, 18]]
8: [[3, 1], [5, 6, 14, 2, 4, 9, 13, 7, 10, 8, 11, 12], [15, 20, 19, 17, 18, 16]]
9: [[3, 1], [5, 14, 4], [2, 7, 10], [8, 6], [11, 12, 9], [13, 16, 19, 15], [17, 18, 20]]
10: [[3, 1, 5], [10], [7, 2], [8, 13], [12, 11, 9], [14, 16, 4, 6, 15], [19, 17, 18, 20]]
11: [[3, 1, 5, 4], [10, 2, 7, 6], [13], [12, 11, 8, 9], [14, 16, 19, 17, 18, 20, 15]]
12: [[3, 1], [5, 6], [10, 7, 2, 9], [14, 8, 11, 4], [12, 13, 16, 15], [19, 17, 20, 18]]
13: [[3, 1], [5, 8, 4], [2, 7, 14, 6], [11, 12, 13], [10, 17, 19, 9], [20, 18, 16, 15]]
14: [[3, 1, 5], [10], [7, 8], [13, 12], [11, 2, 9], [14, 16, 4, 6, 15], [19, 17, 18, 20]]
15: [[3, 1], [5, 4], [10, 6, 2], [14, 13, 12, 11, 9], [8, 7, 16, 19, 17, 20, 18, 15]]
16: [[3, 1], [5, 4], [8, 2], [14, 7, 11, 9], [10, 12], [13, 16, 6, 15], [19, 17, 18, 20]]
17: [[3, 1], [5], [10], [7, 8, 12], [11, 13, 9], [2, 14, 16, 4, 6, 15], [19, 17, 18, 20]]
18: [[3, 1], [5, 10, 4], [7, 14, 13, 9, 6], [12, 11, 2, 8], [16, 19, 17, 15], [20, 18]]
19: [[3, 1], [5, 10, 7, 4], [2, 8, 12], [11, 13, 14, 9, 6], [16, 19, 17, 15], [18, 20]]
20: [[3, 1, 5, 4], [10, 2], [7, 6], [13, 12, 11, 8], [15, 14, 9], [16, 19, 17, 20, 18]]
21: [[3, 1], [5, 10], [7, 14, 6], [12, 2, 9], [13, 18, 8, 4], [11, 19, 17, 20, 16, 15]]
22: [[3, 1], [5], [8, 2, 7], [12, 10], [11, 13, 9], [14, 18, 4], [19, 17, 20, 16, 6, 15]]
23: [[3, 1, 5, 4], [14, 2, 7, 6], [13], [12, 11, 8], [10, 16, 17, 9, 15], [19, 18, 20]]
24: [[3, 1], [5, 6], [7, 2], [8, 10, 13], [11, 12, 9], [14, 17, 4], [19], [20, 18, 16, 15]]
25: [[3, 1, 5, 4], [10, 6, 2, 7, 13, 12, 11, 8, 9, 15, 14], [16, 19, 17, 18, 20]]
26: [[3, 1, 5, 10, 6, 14, 4, 15], [2, 9], [7, 8], [13, 11, 12], [17, 19, 18, 20, 16]]
27: [[3, 1, 5, 4, 10, 6, 14, 2, 7, 11, 8], [12, 9], [13, 16, 19, 15], [20, 18, 17]]
28: [[3, 1], [5, 6], [7, 2], [10, 8, 13], [11, 9], [14, 12, 20, 4, 15], [17, 16, 18, 19]]
29: [[3, 1], [5, 6], [7, 2], [8, 10, 13], [11, 12, 14, 9], [17, 19, 4], [20, 18, 16, 15]]
30: [[3, 1], [5, 10, 4], [7, 8, 13], [12, 11, 2], [14, 9, 6, 15], [16, 19, 17, 20, 18]]
31: [[3, 1], [5], [12, 2, 4], [7], [11, 10, 13, 14, 9], [8, 16, 6, 15], [19, 17, 20, 18]]
32: [[3, 1, 5], [14, 4, 6], [7, 2, 10], [12], [11, 8, 9], [13, 16, 19, 17, 15], [18, 20]]
33: [[3, 1, 5], [10, 4, 6], [2, 7, 13, 9], [8, 11], [14, 12, 15], [16, 19, 17, 18, 20]]
34: [[3, 1, 5], [14], [2, 10, 6], [12, 15], [7, 11, 9], [8, 13, 16, 17, 4], [19, 18, 20]]
35: [[3, 1], [5, 6, 10, 2], [12, 7, 4], [11, 14, 8, 9], [13, 20, 19, 17, 18, 16, 15]]
36: [[3, 1, 5], [8, 4], [2, 7, 6], [12, 14, 15], [11, 10, 9], [13, 16, 19, 17, 20, 18]]
37: [[3, 1], [5, 4, 14, 6], [2, 10, 9, 7, 8, 11, 15, 13, 12, 17, 19, 16, 18, 20]]
38: [[3, 1], [5, 4, 14, 2, 7, 8, 9, 15, 11, 6, 10, 12, 13, 16, 17, 19], [18, 20]]
39: [[3, 1], [5, 4, 10, 2, 6, 8, 9, 12, 11, 13, 7, 14, 15, 16, 19, 17], [18, 20]]
40: [[3, 1, 5], [10, 4], [2, 7, 14, 6], [13, 12], [11], [8, 16, 9, 15], [19, 17], [20, 18]]
41: [[3, 1], [5], [8, 7], [2, 13, 9, 6], [11, 10], [14, 12, 20, 4, 15], [19, 17, 16, 18]]
