0: [[6, 5], [2, 1], [15, 3, 4], [7, 9, 8, 24, 16, 13, 23, 11, 17, 18, 19, 28, 10, 12, 22, 14], [25, 20], [21, 26, 27], [29]]
1: [[6, 5], [2, 1], [15, 3, 4], [7, 9, 8, 24, 16, 13, 23, 11, 17, 18, 19, 28, 10, 12, 22, 14], [25, 20], [21, 26, 27], [29]]
2: [[6, 5], [2, 1], [15, 3, 4, 7, 9, 8, 24, 14, 13, 11], [10, 25, 16, 19, 12, 23, 20, 22, 17, 18], [27, 21, 26, 28, 29]]
3: [[6, 5], [2, 1], [15, 3, 4], [7, 9, 8, 24], [10, 13, 11, 16, 17, 18], [19, 20, 23, 12, 22, 14], [25], [21, 29, 26, 27, 28]]
4: [[6, 5], [2, 1], [15, 3, 4, 7, 9, 8, 24, 10, 11, 14], [13, 17, 18], [12], [22, 16, 20, 23, 19, 28], [25, 21, 27, 26, 29]]
5: [[6, 5], [2, 1], [15, 3, 4], [7, 9, 8, 24, 11, 13, 12, 10, 17, 20], [14, 29, 16, 28, 22], [18, 19, 23, 21, 25], [26, 27]]
6: [[6, 5], [2, 1], [15, 3, 4], [7, 9, 8, 24, 11, 13, 14, 10, 25, 21, 12, 17, 16, 18, 19, 22], [20, 23], [27, 26, 29], [28]]
7: [[6, 5], [2, 1], [15, 3, 4], [7, 9, 8, 24], [10, 12, 19, 11, 18, 13, 17, 29], [14, 16, 20, 21, 22], [23, 25, 26, 27, 28]]
8: [[6, 5], [2, 1, 15], [3, 4, 7, 9, 8, 24, 16, 13, 23, 25, 18, 12, 19, 20, 10, 11], [28, 14], [29, 17, 21], [22], [27, 26]]
9: [[6, 5], [2, 1], [15, 3, 4], [7, 9, 8, 24, 28, 10, 14, 11, 17, 13, 12, 22, 18, 16, 19, 25], [21, 20], [26, 23, 27], [29]]
10: [[6, 5], [2, 1], [15, 3, 4], [7, 9, 8, 24, 20, 11, 10, 14, 16, 13, 18, 12], [19, 23], [17, 25, 22], [21, 26], [28, 27, 29]]
11: [[6, 5], [2, 1], [15, 3, 4], [7, 9, 8, 24, 28, 10, 14, 11, 17, 13, 12, 22, 18, 16, 19, 25], [21, 20], [26, 23, 27], [29]]
12: [[6, 5], [2, 1], [15, 3, 4], [7, 9, 8, 24, 28, 11, 10, 12, 25, 13], [14, 16, 21, 20, 19, 17, 22, 18, 26, 23, 27, 29]]
13: [[6, 5], [2, 1], [15, 3, 4], [7, 9], [8, 24, 27], [11, 13, 10, 17, 18, 14, 19, 16, 12, 20], [23, 22], [21, 26, 29, 28, 25]]
14: [[6, 5], [2, 1, 15], [3, 4, 7], [9, 8, 24, 10], [14, 11, 13, 17, 18, 16], [19, 20, 12, 22], [21, 25], [28, 23, 26, 27, 29]]
15: [[6, 5], [2, 1], [15, 3, 4], [7, 9, 8, 24, 18, 13, 11, 14, 17, 12], [10, 16], [21, 19], [20, 23, 22, 25, 29, 26, 27, 28]]
16: [[6, 5], [2, 1], [15, 3, 4, 7, 9, 8, 24, 18, 13, 11, 10, 29, 12, 16, 14, 20, 17, 21, 19, 22, 28, 23, 26, 25, 27]]
17: [[6, 5], [2, 1, 15, 3, 4, 7, 9, 8], [24, 18, 11, 12, 10], [16, 14, 21, 13, 17, 19, 22, 25, 20, 23, 27, 28, 29, 26]]
18: [[6, 5], [2, 1, 15], [3, 4], [7, 9], [8, 24], [26, 10, 14, 11, 21, 12, 22, 28, 23, 16, 13, 17, 27, 18, 19, 20, 25, 29]]
19: [[6, 5], [2, 1], [15, 3, 4], [7, 9, 8], [24, 10], [12, 22, 11], [17, 13, 18, 14], [26, 16, 23], [20, 25, 28], [21, 27, 19], [29]]
20: [[6, 5], [2, 1], [15, 3, 4], [7], [9, 8, 24, 11, 10, 13], [12, 17, 18, 14, 19], [16, 25, 20, 23, 26, 21, 22, 27, 29, 28]]
21: [[6, 5], [2, 1], [15, 3, 4], [7, 9], [8, 24, 10], [13], [11, 14, 28, 16, 19, 20, 22, 17, 12, 18], [21, 23], [25, 27, 29, 26]]
22: [[6, 5], [2, 1], [15, 3, 4, 7, 12], [9, 8, 24, 21, 11], [19, 13, 17, 20, 16, 18, 27, 23, 25, 26, 29, 22, 14], [28, 10]]
23: [[6, 5], [2, 1, 15], [3, 4], [7, 9], [8, 24, 14, 11, 10, 19], [17, 20, 22, 12, 21, 13, 16, 23, 18, 28, 25, 26, 27, 29]]
24: [[6, 5], [2], [1, 15], [3, 4], [7, 9, 8, 24, 26, 13, 10], [11, 16, 12], [18, 21, 19, 20, 27, 14], [17, 23, 25, 28, 29, 22]]
25: [[6, 5], [2, 1, 15, 3], [4, 7, 9, 8, 24, 18, 13, 29, 11, 20, 10, 12, 14, 16, 19, 21, 26, 23, 22, 27, 17, 25, 28]]
26: [[6, 5], [2, 1], [15, 3, 4], [7, 9], [8, 24, 17, 29, 10, 11, 21, 12, 16, 13, 19, 14, 18, 20, 22, 23, 26, 27, 25, 28]]
27: [[6, 5], [2], [1, 15], [3, 4, 7, 9, 8], [24, 26, 13, 11, 27, 17, 10, 19, 21, 12, 16, 18, 14, 25, 20, 29, 28, 22, 23]]
28: [[6, 5], [2, 1], [15, 3, 4], [7, 9, 8], [24, 26, 13, 10, 11, 17, 28, 12, 14, 18, 21, 22, 23], [27, 20], [19, 16], [25, 29]]
29: [[6, 5], [2, 1], [15, 3, 4, 7, 9, 8], [24], [26, 10, 11, 28, 17], [18, 13, 29, 16, 12, 23, 22, 25, 20, 14, 19, 27, 21]]
