0: [[4, 22], [14, 10], [15, 5, 12, 19], [1, 2, 13, 20], [17, 6, 7, 9, 3, 16, 11, 18, 8], [21, 24, 23]]
1: [[4, 22], [14, 10], [15, 5, 12, 19], [1, 2, 13, 20], [17, 6, 7, 9, 3, 16, 11, 18, 8], [21, 24, 23]]
2: [[4, 22], [14, 10], [15, 5], [12, 19], [1, 2, 13, 20], [17, 6, 7, 9], [3, 16, 11, 18, 8], [21, 24, 23]]
3: [[4, 22], [14, 10], [15, 5, 12], [19, 1, 2], [13, 20, 17], [6, 7, 9], [3, 16], [11, 18, 8], [21, 24, 23]]
4: [[4, 22], [14, 10], [15, 5, 12, 19], [1, 2, 13, 20], [17, 6, 7], [9, 3, 16], [11, 18, 8], [21, 24, 23]]
5: [[4, 22], [14, 10], [15, 5, 12], [19, 1, 2], [13, 20], [17, 6, 7, 9], [3, 16, 11], [18, 8], [21, 24, 23]]
6: [[4, 22], [14, 10], [15, 5, 12], [19, 1, 2, 13], [20, 17, 6, 7], [9, 3, 16, 11], [18, 8], [21, 24, 23]]
7: [[4, 22], [14, 10, 15], [5, 12, 19], [1, 2], [13, 20, 17], [6, 7, 9], [3, 16], [11, 18, 8], [21, 24, 23]]
8: [[4, 22], [14, 10, 15], [5, 12, 19], [1, 2], [13, 20, 17], [6, 7, 9], [3, 16], [11, 18, 8], [21, 24, 23]]
9: [[4, 22], [14, 10], [15, 5], [12, 19], [1, 2, 13], [20, 17, 6, 7], [9, 3, 16], [11, 18, 8], [21, 24, 23]]
10: [[4, 22], [14, 10, 15], [5, 12], [19, 1, 2], [13, 20, 17], [6, 7, 9], [3, 16, 11], [18, 8], [21, 24, 23]]
11: [[4, 22], [14, 10, 15], [5, 12], [19, 1, 2], [13, 20, 17], [6, 7, 9], [3, 16, 11], [18, 8], [21, 24, 23]]
12: [[4, 22, 14], [10, 15], [5, 12, 19], [1, 2], [13, 20, 17], [6, 7, 9, 3, 16, 11, 18, 8], [21, 24, 23]]
13: [[4, 22], [14, 10], [15, 5], [12, 19], [1, 2, 13], [20, 17, 6], [7, 9], [3, 16, 11], [18, 8], [21, 24, 23]]
14: [[4, 22], [14, 10], [15, 5], [12, 19], [1, 2], [13, 20, 17], [6, 7], [9, 3, 16], [11, 18, 8], [21, 24, 23]]
15: [[4, 22], [14, 10], [15, 5, 12], [19, 1], [2, 13], [20, 17, 6], [7, 9], [3, 16], [11, 18, 8], [21, 24, 23]]
16: [[4, 22], [14, 10], [15, 5, 12], [19, 1], [2, 13], [20, 17, 6], [7, 9], [3, 16], [11, 18, 8], [21, 24, 23]]
17: [[4, 22], [14, 10], [15, 5], [12, 19], [1, 2], [13, 20], [17, 6, 7], [9, 3, 16], [11, 18, 8], [21, 24, 23]]
18: [[4, 22], [14, 10], [15, 5], [12, 19], [1, 2], [13, 20], [17, 6, 7], [9, 3, 16], [11, 18, 8], [21, 24, 23]]
19: [[4, 22], [14, 10], [15, 5], [12, 19], [1, 2], [13, 20], [17, 6, 7], [9, 3, 16], [11, 18, 8], [21, 24, 23]]
20: [[4, 22, 14], [10, 15], [5, 12, 19], [1, 2], [13, 20, 17], [6, 7, 9], [3, 16, 11], [18, 8], [21, 24, 23]]
21: [[4, 22], [14, 10], [15, 5, 12], [19, 1, 2], [13, 20], [17, 6], [7, 9, 3], [16, 11, 18, 8], [21, 24, 23]]
22: [[4, 22], [14, 10], [15, 5], [12, 19, 1], [2, 13], [20, 17], [6, 7], [9, 3, 16], [11, 18, 8], [21, 24, 23]]
23: [[4, 22], [14, 10], [15, 5, 12], [19, 1, 2], [13, 20], [17, 6], [7, 9, 3], [16, 11], [18, 8], [21, 24, 23]]
24: [[4, 22, 14, 10, 15, 5, 12, 19, 1, 2, 13, 20, 17, 6, 7, 9, 3, 16], [11, 18, 8], [21, 24, 23]]
25: [[4, 22], [14, 10, 15], [5, 12], [19, 1], [2, 13], [20, 17, 6], [7, 9], [3, 16], [11, 18, 8], [21, 24, 23]]
26: [[4, 22, 14], [10, 15, 5], [12, 19, 1], [2, 13, 20, 17], [6, 7, 9, 3], [16, 11, 18, 8], [21, 24, 23]]
27: [[4, 22], [14, 10, 15], [5, 12], [19, 1, 2], [13, 20, 17, 6], [7, 9, 3], [16, 11, 18], [8, 21], [24, 23]]
28: [[4, 22, 14], [10, 15], [5, 12, 19], [1, 2, 13], [20, 17, 6], [7, 9, 3], [16, 11], [18, 8, 21], [24, 23]]
29: [[4, 22], [14, 10], [15, 5, 12, 19], [1, 2, 13], [20, 17, 6, 7, 9, 3, 16, 11, 18, 8, 21, 24, 23]]
