0: [[10, 3, 5, 8], [1, 2], [13, 11, 12, 9], [16, 7, 14, 6], [15, 17, 20, 18, 19, 4]]
1: [[10, 3, 5, 8], [1, 2], [13, 11, 12, 9], [16, 7, 14, 6], [15, 17, 20, 18, 19, 4]]
2: [[10, 3, 5, 8], [1, 2], [13, 11, 12, 9], [16, 7, 14, 6], [15, 17, 20, 18, 19, 4]]
3: [[10, 3, 5, 8], [1, 2], [13, 11, 12, 9], [16, 7, 14, 6], [15, 17, 20, 18, 19, 4]]
4: [[10, 3, 5, 8], [1, 2], [13, 11, 12, 9], [16, 7, 14, 6], [15, 17, 20, 18, 19, 4]]
5: [[10, 3, 5, 8], [1, 2], [13, 11, 12, 9], [16, 7, 14, 6], [15, 17, 20, 18, 19, 4]]
6: [[10, 3, 5, 8], [1, 2], [13, 11, 12, 9], [16, 7, 14, 6], [15, 17, 20, 18, 19, 4]]
7: [[10, 3, 5, 8], [1, 2], [13, 11, 12, 9], [16, 7, 14, 6], [15, 17, 20, 18, 19, 4]]
8: [[10, 3, 5, 8], [1, 2], [13, 11, 12, 9], [16, 7, 14, 6], [15, 17, 20, 18, 19, 4]]
9: [[10, 3, 5, 8], [1, 2], [13, 11, 12, 9], [16, 7, 14, 6], [15, 17, 20, 18, 19, 4]]
10: [[10, 3, 5, 8], [1, 2], [13, 11, 12, 9], [16, 7, 14, 6], [15, 17, 20, 18, 19, 4]]
11: [[10, 3, 5, 8], [1, 2], [13, 11, 12, 9], [16, 7, 14, 6], [15, 17, 20, 18, 19, 4]]
12: [[10, 3, 5, 8], [1, 2], [13, 11, 12, 9], [16, 7, 14, 6], [15, 17, 20, 18, 19, 4]]
13: [[10, 3, 5, 8], [1, 2], [13, 11, 12, 9], [16, 7, 14, 6], [15, 17, 20, 18, 19, 4]]
14: [[10, 3, 5, 8], [1, 2], [13, 11, 12, 9], [16, 7, 14, 6], [15, 17, 20, 18, 19, 4]]
15: [[10, 3, 5, 8], [1, 2], [13, 11, 12, 9], [16, 7, 14, 6], [15, 17, 20, 18, 19, 4]]
16: [[10, 3, 5, 8], [1, 2], [13, 11, 12, 9], [16, 7, 14, 6], [15, 17, 20, 18, 19, 4]]
17: [[10, 3, 5, 8], [1, 2], [13, 11, 12, 9], [16, 7, 14, 6], [15, 17, 20, 18, 19, 4]]
18: [[10, 3, 5, 8], [1, 2], [13, 11, 12, 9], [16, 7, 14, 6], [15, 17, 20, 18, 19, 4]]
19: [[10, 3, 5, 8], [1, 2], [13, 11, 12, 9], [16, 7, 14, 6], [15, 17, 20, 18, 19, 4]]
20: [[10, 3, 5, 8], [1, 2], [13, 11, 12, 9], [16, 7, 14, 6], [15, 17, 20, 18, 19, 4]]
21: [[10, 3, 5, 8], [1, 2], [13, 11, 12, 9], [16, 7, 14, 6], [15, 17, 20, 18, 19, 4]]
22: [[10, 3, 5, 8], [1, 2], [13, 11, 12, 9], [16, 7, 14, 6], [15, 17, 20, 18, 19, 4]]
23: [[10, 3, 5, 8], [1, 2], [13, 11, 12, 9], [16, 7, 14, 6], [15, 17, 20, 18, 19, 4]]
24: [[10, 3, 5, 8], [1, 2], [13, 11, 12, 9], [16, 7, 14, 6], [15, 17, 20, 18, 19, 4]]
25: [[10, 3, 5, 8], [1, 2], [13, 11, 12, 9], [16, 7, 14, 6], [15, 17, 20, 18, 19, 4]]
26: [[10, 3, 5, 8], [1, 2], [13, 11, 12, 9], [16, 7, 14, 6], [15, 17, 20, 18, 19, 4]]
27: [[10, 3, 5, 8], [1, 2], [13, 11, 12, 9], [16, 7, 14, 6], [15, 17, 20, 18, 19, 4]]
28: [[10, 3, 5, 8], [1, 2], [13, 11, 12, 9], [16, 7, 14, 6], [15, 17, 20, 18, 19, 4]]
29: [[10, 3, 5, 8], [1, 2], [13, 11, 12, 9], [16, 7, 14, 6], [15, 17, 20, 18, 19, 4]]
30: [[10, 3, 5, 8], [1, 2], [13, 11, 12, 9], [16, 7, 14, 6], [15, 17, 20, 18, 19, 4]]
31: [[10, 3, 5, 8], [1, 2], [13, 11, 12, 9], [16, 7, 14, 6], [15, 17, 20, 18, 19, 4]]
32: [[10, 3, 5, 8], [1, 2], [13, 11, 12, 9], [16, 7, 14, 6], [15, 17, 20, 18, 19, 4]]
33: [[10, 3, 5, 8], [1, 2], [13, 11, 12, 9], [16, 7, 14, 6], [15, 17, 20, 18, 19, 4]]
34: [[10, 3, 5, 8], [1, 2], [13, 11, 12, 9], [16, 7, 14, 6], [15, 17, 20, 18, 19, 4]]
35: [[10, 3, 5, 8], [1, 2], [13, 11, 12, 9], [16, 7, 14, 6], [15, 17, 20, 18, 19, 4]]
36: [[10, 3, 5, 8], [1, 2], [13, 11, 12, 9], [16, 7, 14, 6], [15, 17, 20, 18, 19, 4]]
37: [[10, 3, 5, 8], [1, 2], [13, 11, 12, 9], [16, 7, 14, 6], [15, 17, 20, 18, 19, 4]]
38: [[10, 3, 5, 8], [1, 2], [13, 11, 12, 9], [16, 7, 14, 6], [15, 17, 20, 18, 19, 4]]
39: [[10, 3, 5, 8], [1, 2], [13, 11, 12, 9], [16, 7, 14, 6], [15, 17, 20, 18, 19, 4]]
40: [[10, 3, 5, 8], [1, 2], [13, 11, 12, 9], [16, 7, 14, 6], [15, 17, 20, 18, 19, 4]]
41: [[10, 3, 5, 8], [1, 2], [13, 11, 12, 9], [16, 7, 14, 6], [15, 17, 20, 18, 19, 4]]
