0: [[23, 28], [7, 17, 24, 9], [5, 3, 6, 11, 10], [1, 4, 16, 13, 15, 8, 12, 22, 14], [18, 2, 19], [26, 21, 27], [29, 25, 20]]
1: [[23, 28], [7, 17, 24, 9], [5, 3, 6, 11, 10], [1, 4, 16, 13, 15, 8, 12, 22, 14], [18, 2, 19], [26, 21, 27], [29, 25, 20]]
2: [[23, 28], [7, 17, 24, 9], [5, 3, 6, 11], [10, 1, 4], [16, 13, 15, 8], [12, 22, 14], [18, 2, 19], [26, 21, 27], [29, 25, 20]]
3: [[23, 28], [7, 17], [24, 9], [5, 3, 6], [11, 10], [1, 8, 14], [13, 15, 4], [16, 12, 22], [18, 2, 19], [26, 21, 27], [29, 25, 20]]
4: [[23, 28, 7], [17, 24, 9], [5, 3, 6], [11, 10, 1], [14, 8, 13], [15, 4, 12], [22, 16], [18, 2, 19], [26, 21, 27], [29, 25, 20]]
5: [[23, 28, 7], [17, 24, 9], [5, 3], [6, 11, 10], [1, 14], [8, 13, 15, 4], [12, 22, 16], [18, 2, 19], [26, 21, 27], [29, 25, 20]]
6: [[23, 28, 7], [17, 24, 9], [5, 3], [6, 11, 10], [1, 14, 8], [13, 15], [4, 12, 22, 16], [18, 2, 19], [26, 21, 27], [29, 25, 20]]
7: [[23, 28, 7, 17], [24, 9, 5], [3, 6, 11], [10, 1, 14], [8, 13, 15, 4], [12, 22, 16], [18, 2, 19], [26, 21, 27], [29, 25, 20]]
8: [[23, 28, 7], [17, 24, 9], [5, 3, 6, 11], [1, 4, 16, 13, 10], [15, 8, 12, 22, 14], [18, 2, 19], [26, 21, 27], [29, 25, 20]]
9: [[23, 28, 7], [17, 24, 9], [5, 3, 6], [11, 10, 1], [4, 16], [13, 15], [8, 12, 22, 14], [18, 2, 19], [26, 21, 27], [29, 25, 20]]
10: [[23, 28], [7, 17], [24, 9], [5, 3], [6, 11, 10], [1, 8], [14, 13, 15], [4, 16, 12], [22, 18, 2, 19], [26, 21, 27], [29, 25, 20]]
11: [[23, 28, 7], [17, 24, 9], [5, 3, 6], [11, 10, 1], [4, 16], [13, 15, 8], [12, 22, 14], [18, 2, 19], [26, 21, 27], [29, 25, 20]]
12: [[23, 28], [7, 17], [24, 9], [5, 3, 6], [11, 10, 1], [4, 16, 13], [14, 15], [8, 12, 22], [18, 2, 19], [26, 21, 27], [29, 25, 20]]
13: [[23, 28], [7, 17, 24, 9], [5, 3, 6, 11, 10], [1, 4, 16, 13, 15, 8], [18, 2, 19, 12, 22, 14], [26, 21], [27, 29, 25, 20]]
14: [[23, 28], [7, 17, 24, 9], [5, 3, 6, 11, 10, 1], [4, 16, 13, 15, 8, 12], [22, 14, 18, 2, 19], [26, 21, 27, 29, 25, 20]]
15: [[23, 28], [7, 17], [24, 9, 5], [3, 6, 11], [10, 1], [4, 16, 13], [15, 8, 12], [22, 14], [18, 2, 19], [26, 21, 27], [29, 25, 20]]
16: [[23, 28, 7], [17, 24, 9], [5, 3, 6], [11, 10, 1, 14], [8, 13, 15, 4, 12], [22, 18, 16], [2, 19, 26], [21, 27], [29, 25, 20]]
17: [[23, 28], [7, 17], [24, 9, 5], [3, 6], [11, 10], [1, 4, 16], [13, 15, 8], [12, 22, 14], [18, 2, 19], [26, 21, 27], [29, 25, 20]]
18: [[23, 28, 7], [17, 24], [9, 5, 3], [22, 6, 11], [10, 4, 16], [13, 15, 8], [12, 1, 14], [18, 2, 19], [26, 21, 27], [29, 25, 20]]
19: [[23, 28, 7], [17, 24], [9, 5, 3], [22, 6, 10], [1, 14, 8], [13, 15, 4], [12, 11, 16], [18, 2, 19], [26, 21, 27], [29, 25, 20]]
20: [[23, 28], [7, 17, 24], [9, 5, 3], [6, 11], [10, 1, 4, 16], [13, 15, 8], [12, 22, 14, 2], [19, 18], [26, 21, 27], [29, 25, 20]]
21: [[23, 28, 7], [17, 24, 9], [5, 3], [6, 11, 10], [1, 4, 16], [12, 13, 15], [8, 18, 2], [14, 22, 19], [26, 21, 27], [29, 25, 20]]
22: [[23, 28], [7, 17, 24, 9], [5, 3, 6, 11, 10], [1, 4, 16, 13, 15], [8, 12, 22], [14, 18, 2], [19, 26, 21, 27], [29, 25, 20]]
23: [[23, 28, 7, 17, 24, 9], [5, 3, 6, 11, 10, 1, 14, 8, 13, 15, 4, 12], [22, 18, 16, 2, 19], [26, 21, 27, 29, 25, 20]]
