0: [[13, 1, 10, 4, 5, 3, 2], [12, 7], [11, 6, 9, 8]]
1: [[13, 1, 10, 4, 5, 3, 2], [12, 7], [11, 6, 9, 8]]
2: [[13, 1, 10, 4, 5, 3, 2], [12, 7], [11, 6, 9, 8]]
3: [[13, 1, 10, 4, 5, 3, 2], [12, 7], [11, 6, 9, 8]]
4: [[13, 1, 10, 4, 5, 3, 2], [12, 7], [11, 6, 9, 8]]
5: [[13, 1, 10, 4, 5, 3, 2], [12, 7], [11, 6, 9, 8]]
6: [[13, 1, 10, 4, 5, 3, 2], [12, 7], [11, 6, 9, 8]]
7: [[13, 1, 10, 4, 5, 3, 2], [12, 7], [11, 6, 9, 8]]
8: [[13, 1, 10, 4, 5, 3, 2], [12, 7], [11, 6, 9, 8]]
9: [[13, 1, 10, 4, 5, 3, 2], [12, 7], [11, 6, 9, 8]]
10: [[13, 1, 10, 4, 5, 3], [2, 12], [7, 11, 6, 9, 8]]
11: [[13, 1, 10, 4, 5, 3], [2, 12], [7, 11, 6, 9, 8]]
12: [[13, 1, 10, 4, 5, 3], [2, 12], [7, 11, 6, 9, 8]]
13: [[13, 1, 10, 4, 5, 3], [2, 12], [7, 11, 6, 9, 8]]
14: [[13, 1, 10, 4, 5, 3], [2, 12], [7, 11, 6, 9, 8]]
15: [[13, 1, 10, 4, 5, 3], [2, 12], [7, 11, 6, 9, 8]]
16: [[13, 1, 10, 4, 5, 3], [2, 12], [7, 11, 6, 9, 8]]
17: [[13, 1, 10, 4, 5, 3], [2, 12], [7, 11, 6, 9, 8]]
18: [[13, 1, 10, 4, 5, 3], [2, 12], [7, 11, 6, 9, 8]]
19: [[13, 1, 10, 4, 5, 3], [2, 12], [7, 11, 6, 9, 8]]
20: [[13, 1, 10, 4, 5, 3, 2, 12], [7, 11], [6, 9, 8]]
21: [[13, 1, 10, 4, 5, 3, 2, 12], [7, 11], [6, 9, 8]]
22: [[13, 1, 10, 4, 5, 3, 2, 12], [7, 11], [6, 9, 8]]
23: [[13, 1, 10, 4, 5, 3, 2, 12], [7, 11], [6, 9, 8]]
24: [[13, 1, 10, 4, 5, 3, 2, 12], [7, 11], [6, 9, 8]]
25: [[13, 1, 10, 4, 5, 3, 2, 12], [7, 11], [6, 9, 8]]
26: [[13, 1, 10, 4, 5], [3, 2], [12, 7, 11, 6, 9, 8]]
27: [[13, 1, 10, 4, 5], [3, 2], [12, 7, 11, 6, 9, 8]]
