0: [[9, 6, 17, 1, 2, 13, 7, 5], [3, 4, 11, 8, 12, 15], [14, 10, 18, 28, 16, 22, 19, 23, 24], [20, 21, 27, 26, 25, 29]]
1: [[9, 6, 17, 1, 2, 13, 7, 5], [3, 4, 11, 8, 15, 12], [18, 28, 16, 22, 19, 23, 24, 10, 14], [20, 21, 27, 26, 25, 29]]
2: [[9, 6, 17, 1, 2, 13, 7, 5], [3, 4, 11, 8, 12, 15], [14, 10, 18, 28, 16, 22, 19, 23, 24], [20, 21, 27, 26, 25, 29]]
3: [[9, 6, 17, 1, 2, 13, 7, 5], [3, 4, 11, 8, 12, 15], [14, 10, 18, 28, 16, 22, 19, 23, 24], [20, 21, 27, 26, 25, 29]]
4: [[9, 6, 17, 1, 2, 13, 7, 5], [3, 4, 11, 8, 12, 15], [14, 10, 18, 28, 16, 22, 19, 23, 24], [20, 21, 27, 26, 25, 29]]
5: [[9, 6, 17, 1, 2, 13, 7, 5], [3, 4, 11, 8, 12, 15], [14, 10, 18, 28, 16, 22, 19, 23, 24], [20, 21, 27, 26, 25, 29]]
6: [[9, 6, 17, 1, 2, 13, 7, 5], [3, 4, 11, 8, 12, 15], [14, 10, 18, 28, 16, 22, 19, 23, 24], [20, 21, 27, 26, 25, 29]]
7: [[9, 6, 17, 1, 2, 13, 7, 5], [3, 4, 11, 8, 12, 15], [14, 10, 18, 28, 16, 22, 19, 23, 24], [20, 21, 27, 26, 25, 29]]
8: [[9, 6, 17, 1, 2, 13, 7, 5], [3, 4, 11, 8, 12, 15], [14, 10, 18, 28, 16, 22, 19, 23, 24], [20, 21, 27, 26, 25, 29]]
9: [[9, 6, 17, 1, 2, 13, 7, 5], [3, 4, 11, 8, 12, 15], [14, 10, 18, 28, 16, 22, 19, 23, 24], [20, 21, 27, 26, 25, 29]]
10: [[9, 6, 17, 1, 2, 13, 7, 5], [3, 4, 11, 8, 12, 15], [14, 10, 18, 28, 16, 22, 19, 23, 24], [20, 21, 27, 26, 25, 29]]
11: [[9, 6, 17, 1, 2, 13, 7, 5], [3, 4, 11, 8, 12, 15], [14, 10, 18, 28, 16, 22, 19, 23, 24], [20, 21, 27, 26, 25, 29]]
12: [[9, 6, 17, 1, 2, 13, 7, 5], [3, 4, 11, 8, 12, 15], [14, 10, 18, 28, 16, 22, 19, 23, 24], [20, 21, 27, 26, 25, 29]]
13: [[9, 6, 17, 1, 2, 13, 7, 5], [3, 4, 11, 8, 12, 15], [14, 10, 18, 28, 16, 22, 19, 23, 24], [20, 21, 27, 26, 25, 29]]
14: [[9, 6, 17, 1, 2, 13, 7, 5], [3, 4, 11, 8, 12, 15], [14, 10, 18, 28, 16, 22, 19, 23, 24], [20, 21, 27, 26, 25, 29]]
15: [[9, 6, 17, 1, 2, 13, 7, 5], [3, 4, 11, 8, 12, 15], [14, 10, 18, 28, 16, 22, 19, 23, 24], [20, 21, 27, 26, 25, 29]]
16: [[9, 6, 17, 1, 2, 13, 7, 5], [3, 4, 11, 8, 12, 15], [14, 10, 18, 28, 16, 22, 19, 23, 24], [20, 21, 27, 26, 25, 29]]
17: [[9, 6, 17, 1, 2, 13, 7, 5], [3, 4, 11, 8, 12, 15], [14, 10, 18, 28, 16, 22, 19, 23, 24], [20, 21, 27, 26, 25, 29]]
18: [[9, 6, 17, 1, 2, 13, 7, 5], [3, 4, 11, 8, 12, 15], [14, 10, 18, 28, 16, 22, 19, 23, 24], [20, 21, 27, 26, 25, 29]]
19: [[9, 6, 17, 1, 2, 13, 7, 5], [3, 4, 11, 8, 12, 15], [14, 10, 18, 28, 16, 22, 19, 23, 24], [20, 21, 27, 26, 25, 29]]
