0: [[21, 24, 23], [9, 6, 5], [3, 4, 16, 18], [7, 11], [1, 2], [10, 13, 14, 17, 19, 12, 20], [15, 8], [22]]
1: [[21, 24, 23], [9, 6], [5, 4], [16, 18, 3], [7, 11], [1, 2, 10], [13, 14, 17, 19, 12, 20, 15, 8, 22]]
2: [[21, 24, 23], [3, 4, 16, 18, 6], [7, 11], [1, 2, 9], [10, 13, 14, 17, 19], [12, 20, 15, 8, 22, 5]]
3: [[21, 24, 23], [3, 4, 6], [16, 18], [7, 11], [1, 2, 9], [10, 13, 14], [17, 19, 12, 5], [20, 15, 8, 22]]
4: [[21, 24, 23], [3, 4, 16, 18], [7, 11], [1, 2, 10], [13, 14, 17, 9, 6, 5], [19, 12, 20], [15, 8, 22]]
5: [[21, 24, 23], [3, 4, 16, 18, 6], [7, 11], [1, 2, 9], [10, 13, 14, 17], [19, 12, 20], [15, 8, 22, 5]]
6: [[21, 24, 23], [3, 4, 16, 18, 6], [7, 11], [1, 2, 9], [10, 13, 14, 17], [19, 12, 20], [15, 8, 22, 5]]
7: [[21, 24, 23], [3, 4, 6, 5], [16, 18, 7, 11], [1, 2, 10, 13, 14], [17, 19, 12, 20], [15, 8, 22, 9]]
8: [[21, 24, 23], [9, 6, 5], [3, 4, 16, 18], [7, 11], [1, 2, 10], [13], [14, 17, 19], [12, 20, 15, 8, 22]]
9: [[21, 24, 23], [3, 4, 16, 6], [18, 7, 11], [1, 2, 10, 13, 14], [17, 19, 12, 20, 5], [15, 8, 22, 9]]
10: [[21, 24, 23], [9, 6, 5], [3, 4, 16, 18], [7, 11, 1, 2], [10, 13, 14, 17, 19, 12, 20], [15, 8], [22]]
11: [[21, 24, 23], [3, 4, 16, 18, 6], [7, 11], [1, 2, 9], [10, 13], [14, 17, 19, 12, 5], [20, 15, 8, 22]]
12: [[21, 24, 23], [3, 4, 16, 18, 6], [7, 11], [1, 2, 10], [13], [14, 17, 19, 9], [12, 5], [20, 15, 8, 22]]
13: [[21, 24, 23], [3, 4, 16, 18, 6], [7, 11, 1, 2, 10, 13], [14, 17, 19, 12, 20, 5], [15, 8, 22, 9]]
14: [[21, 24, 23], [3, 4, 16, 18, 6], [7, 11], [1, 2, 9], [10, 13], [14, 17, 19, 12, 5], [20], [15, 8, 22]]
15: [[21, 24, 23], [3, 4, 16, 18], [7, 11, 1], [2, 10], [13, 14, 17, 9, 6, 5], [19, 12, 20, 15, 8, 22]]
16: [[21, 24, 23], [9, 5, 6], [16, 3, 4], [18, 7, 11], [1, 2, 10], [13, 14, 17, 19, 12, 20, 15, 8, 22]]
17: [[21, 24, 23], [9, 6], [4, 16, 18, 3], [7, 11, 1, 2, 10, 13, 14, 17, 19], [12, 20, 15, 8, 22, 5]]
18: [[21, 24, 23], [5, 3, 4, 16, 18], [7, 11, 1, 2, 10, 13, 14, 17, 19, 12, 20, 6], [15, 8, 22, 9]]
19: [[21, 24, 23], [3, 4, 16, 18, 6], [7, 11], [1, 2, 10, 13], [14, 17, 19, 12], [20, 15], [8, 22, 9, 5]]
20: [[21, 24, 23], [9, 6], [5, 16, 3, 4], [18, 7, 11], [1, 2, 10], [13, 14, 17, 19, 12, 20, 15, 8, 22]]
21: [[21, 24, 23], [3, 4, 16, 6], [18, 7, 11], [1, 2, 10], [13, 14], [17, 19, 12, 5], [20, 15, 8, 22, 9]]
22: [[21, 24, 23], [9], [5, 4, 16, 6, 3], [18, 7, 11], [1, 2, 10, 13, 14, 17, 19, 12, 20, 15, 8, 22]]
23: [[21, 24, 23], [9], [5, 4, 16, 18, 7, 11, 6, 3], [1, 2], [10, 13, 14, 17, 19, 12, 20, 15, 8, 22]]
24: [[21, 24, 23], [9, 6, 5, 3, 4, 16, 18, 7, 11], [1, 2, 10], [13, 14, 19, 20, 15, 8, 22, 17, 12]]
