0: [[7, 2, 1], [14, 3, 4], [5, 10, 8], [11, 12, 13, 9], [16, 6, 15], [17, 19, 18, 20]]
1: [[7, 2, 1], [14, 3, 4], [5, 10, 8], [11, 13, 12], [16, 9, 6, 15], [17, 19, 18, 20]]
2: [[7, 2, 1], [14, 3, 4], [5, 10, 8], [11, 13, 12], [16, 9, 6, 15], [17, 19, 18, 20]]
3: [[7, 2, 1], [14, 3, 4], [5, 10, 8], [11, 13, 12], [16, 9, 6, 15], [17, 19, 18, 20]]
4: [[7, 2, 1], [14, 3, 4], [5, 10, 8], [11, 13, 12], [16, 9, 6, 15], [17, 19, 18, 20]]
5: [[7, 2, 1], [14, 3, 4, 6], [5, 10, 8], [11, 12], [13, 16, 9, 15], [17, 19, 18, 20]]
6: [[7, 2, 1], [14, 3, 4, 6], [5, 10, 8], [11, 9], [12, 13], [16, 17, 15], [19, 18, 20]]
7: [[7, 2, 1], [14, 3, 4, 6], [5, 10, 8], [11, 12], [13, 9], [16, 17, 15], [19, 18, 20]]
8: [[7, 2, 1], [14, 3, 4], [5, 10, 8], [11, 12, 9], [13, 16, 6, 15], [17, 19, 18, 20]]
9: [[7, 2, 1], [14, 3, 4], [5, 10, 8], [11, 12, 9], [13, 16, 6, 15], [17, 19, 18, 20]]
10: [[7, 2, 1], [14, 3, 4, 6], [5, 10, 8], [11, 12], [13, 16, 17, 9, 15], [19, 18, 20]]
11: [[7, 2, 1], [14, 3, 4], [5, 10], [8, 9], [11, 12, 13], [16, 6, 15], [17, 19, 18, 20]]
12: [[7, 2, 1], [14, 3, 4, 6], [5, 10, 8], [11, 12, 9], [13], [20, 17, 19], [18, 16, 15]]
13: [[7, 2, 1], [14, 3, 4, 6], [5, 10, 8], [11, 9], [12, 13], [16, 17, 19, 15], [18, 20]]
14: [[7, 2, 1], [14, 3, 4, 6], [5, 10, 8], [11, 12], [13, 9], [16, 17, 19, 15], [18, 20]]
15: [[7, 2, 1], [14, 3, 4, 6], [5, 10, 8], [12, 15], [11, 13, 16, 9], [17, 18, 19, 20]]
16: [[7, 2, 1], [14, 3, 4, 6], [5, 10, 8], [11, 12], [13, 16, 17, 9], [19, 18, 20, 15]]
17: [[7, 2, 1], [14, 3, 4], [5, 10, 8], [11, 13, 12, 9, 6], [15, 16, 19, 17, 18, 20]]
18: [[7, 2, 1], [14, 3, 4, 6], [5, 10], [11, 12, 8], [13, 16, 9, 15], [17, 19, 18, 20]]
19: [[7, 2, 1], [14, 3, 4], [5, 10, 8, 9], [11, 12, 13], [6, 20, 17, 19, 18, 16, 15]]
20: [[7, 2, 1], [14, 3, 4, 6], [5, 10, 8], [11, 12, 15], [13, 16, 17, 9], [19, 18, 20]]
21: [[7, 2, 1], [14, 3, 4], [5, 10, 8], [11, 12, 15, 13, 9, 6], [16, 17, 18, 19, 20]]
22: [[7, 2, 1], [14, 3, 4, 6], [5, 10], [11, 13, 9], [8, 12, 18], [17, 16, 19, 20, 15]]
23: [[7, 2, 1], [14, 3, 4, 6], [5, 10, 8], [11, 12, 13, 15, 16, 17, 19, 18, 20, 9]]
24: [[7, 2, 1], [14, 3, 4], [5, 10, 8], [11, 12, 9, 6], [15, 13, 16, 17, 19, 18, 20]]
25: [[7, 2, 1], [14, 3, 4], [5, 10], [8, 12], [11, 13, 9], [16, 19, 6, 15], [17, 18, 20]]
26: [[7, 2, 1], [14, 3, 4, 6], [5, 10, 8], [12, 15], [13, 16, 17, 9], [11, 19, 18, 20]]
27: [[7, 2, 1], [14, 3, 4, 6], [5, 10, 8], [15, 12, 9], [11, 13, 16, 17, 18, 19, 20]]
28: [[7, 2, 1], [14, 3, 4, 6], [5, 10], [8, 11, 13, 9], [12], [17], [16, 19, 18, 20, 15]]
29: [[7, 2, 1], [14, 3, 4, 6], [5, 8], [11, 10, 12, 9, 15], [13, 16], [17, 19, 18, 20]]
30: [[7, 2, 1], [14, 3, 5, 4, 6], [10, 8, 11], [12, 15], [13, 16, 17, 9], [19, 18, 20]]
31: [[7, 2, 1], [14, 3, 5, 4], [10, 8, 11, 15, 12, 9, 13, 6, 16, 17], [19, 18, 20]]
32: [[7, 2, 1], [14, 3, 5, 4], [10, 11, 13, 9, 6], [12, 8, 15, 17, 19, 16, 18, 20]]
33: [[7, 2, 1], [14, 3, 4, 6], [5, 10, 8, 11], [12, 9], [13, 16, 17, 19, 15], [18, 20]]
34: [[7, 2, 1, 14, 6], [3, 5, 4], [10, 8, 9], [12, 13], [11, 20], [17, 19, 18, 16, 15]]
35: [[7, 2, 1], [14, 3, 4], [5, 10, 8], [12, 13, 9, 15], [11, 17, 6], [16, 19, 18, 20]]
36: [[7, 2, 1], [14, 3, 5, 4], [10, 8, 6], [12], [11, 13, 16, 17, 9], [19, 18, 20, 15]]
37: [[7, 2, 1], [14, 3, 4, 5, 6, 8, 9, 11, 10, 13, 15], [12, 16, 17, 19, 18, 20]]
38: [[7, 2, 1], [14, 3, 4, 6], [5, 10, 11, 9], [8, 12], [13, 16, 19, 17, 15], [18, 20]]
39: [[7, 2, 1], [14, 3, 4, 6], [5, 8, 11, 9], [10, 12, 15, 13, 16, 17, 19, 18, 20]]
40: [[7, 2, 1], [14, 3, 5, 9, 6], [10, 8, 11], [12, 15], [13, 16, 17, 18, 4], [19, 20]]
41: [[7, 2], [1, 14, 3, 4, 5, 10, 8, 11, 13, 6, 9, 12, 15, 16, 17, 19], [18, 20]]
