0: [[9, 11], [12, 13, 2, 7], [5, 3, 1], [4, 6, 10, 8]]
1: [[9, 11], [12, 13, 7, 2], [5, 3, 1], [4, 6, 10, 8]]
2: [[9, 11], [12, 13, 7, 2], [5, 3, 1], [4, 6, 10, 8]]
3: [[9, 11], [12, 13, 7, 2], [5, 3, 1], [4, 6, 10, 8]]
4: [[9, 11, 12, 7], [13, 2], [5, 3, 1], [4, 6, 10, 8]]
5: [[9, 11, 12, 7], [13, 2], [5, 3, 1], [4, 6, 10, 8]]
6: [[9, 11], [12, 13, 7, 2], [5, 3], [1, 4, 6, 10, 8]]
7: [[9, 11], [12, 13, 7, 2], [5, 3], [1, 4, 6, 10, 8]]
8: [[9, 11], [12, 13, 7, 2], [5, 3], [1, 4, 6, 10, 8]]
9: [[9, 11], [12, 13, 7, 2], [5, 3], [1, 4, 6, 10, 8]]
10: [[9, 11], [12, 13, 7, 2], [5, 3], [1, 4, 6, 10, 8]]
11: [[9, 11], [12, 13, 7, 2], [5, 3], [1, 4, 6, 10, 8]]
12: [[9, 11], [12, 13, 7, 2], [5, 3], [1, 4, 6, 10, 8]]
13: [[9, 11], [12, 13, 7, 2], [5, 3], [1, 4, 6, 10, 8]]
14: [[9, 11, 7], [12, 2, 13, 5], [3, 1], [4, 6, 10, 8]]
15: [[9, 11], [12, 13, 5, 7, 2], [3, 1], [4, 6, 10, 8]]
16: [[9, 11], [12, 13, 5, 7, 2], [3, 1], [4, 6, 10, 8]]
17: [[9, 11, 12, 7], [13, 5, 2], [3, 1], [4, 6, 10, 8]]
18: [[9, 11, 12, 7], [13, 2], [5, 3], [1, 4, 6, 10, 8]]
19: [[9, 11, 12, 7], [13, 2], [5, 3], [1, 4, 6, 10, 8]]
20: [[9, 11, 7, 12, 2, 13], [5, 3], [1, 4], [6, 10, 8]]
21: [[9, 11, 7, 12, 2, 13], [5, 3], [1, 4], [6, 10, 8]]
22: [[9, 11, 7, 12, 2, 13], [5, 3], [1, 4], [6, 10, 8]]
23: [[9, 11, 7], [12, 2], [13, 5, 3, 1], [4, 6, 10, 8]]
24: [[9, 11], [12, 7, 2], [13, 5, 3, 1], [4, 6, 10, 8]]
25: [[11, 9], [7, 12, 13, 5, 3, 2], [1, 4], [6, 10, 8]]
26: [[11, 7, 9], [12, 13, 5, 3, 2], [1, 4], [6, 10, 8]]
27: [[9, 11], [12, 7, 2], [13, 5, 3], [1, 4, 6, 10, 8]]
