0: [[3, 4, 10, 1, 5, 2], [12, 7, 13], [9, 6, 11, 8]]
1: [[3, 4, 10, 1, 5, 2], [12, 7, 13], [9, 6, 11, 8]]
2: [[3, 4, 10, 1, 5, 2], [12, 7, 13], [9, 6, 11, 8]]
3: [[3, 4, 10, 1, 5, 2], [12, 7, 13], [9, 6, 11, 8]]
4: [[3, 4, 10, 1, 5, 2], [12, 7, 13], [9, 6, 11, 8]]
5: [[3, 4, 10, 1, 5], [2, 12, 7, 13], [9, 6, 11, 8]]
6: [[3, 4, 10, 1, 5], [2, 12, 7, 13], [9, 6, 11, 8]]
7: [[3, 4, 10, 1, 5], [2, 12, 7, 13], [9, 6, 11, 8]]
8: [[3, 4, 10, 1, 5], [2, 12, 7, 13], [9, 6, 11, 8]]
9: [[3, 4, 10, 1], [5, 2, 12, 7, 13], [9, 6, 11, 8]]
10: [[3, 4, 10, 1], [5, 2, 12, 7, 13], [9, 6, 11, 8]]
11: [[3, 4, 10, 1], [5, 2, 12, 7, 13], [9, 6, 11, 8]]
12: [[3, 4, 10, 1, 5], [2, 12, 7, 13, 9], [6, 11, 8]]
13: [[3, 4, 10, 1, 5], [2, 12, 7, 13, 9], [6, 11, 8]]
14: [[3, 4, 10, 1, 5], [2, 12, 7, 13, 9], [6, 11, 8]]
15: [[3, 4, 10, 1, 5], [2, 12, 7, 13, 9], [6, 11, 8]]
16: [[3, 4, 10, 1, 5], [2, 12, 7, 13, 9], [6, 11, 8]]
17: [[3, 4, 10, 1, 5, 2], [12, 7, 13, 9], [6, 11, 8]]
18: [[3, 4, 10, 1], [5, 2, 12, 7, 13, 9], [6, 11, 8]]
19: [[3, 4, 10, 1, 5, 2, 12], [7, 13, 9], [6, 11, 8]]
20: [[3, 4, 10, 1, 5, 2], [12, 7], [13, 9, 6, 11, 8]]
21: [[3, 4, 10], [1, 5, 2, 12, 7, 13], [9, 6, 11, 8]]
22: [[3, 4, 10], [1, 5, 2, 12, 7, 13], [9, 6, 11, 8]]
23: [[3, 4, 10], [1, 5, 2, 12, 7, 13], [9, 6, 11, 8]]
24: [[3, 4, 10], [1, 5, 2, 12, 7, 13], [9, 6, 11, 8]]
25: [[3, 4, 10, 1], [5, 2, 12, 7], [13, 9, 6, 11, 8]]
26: [[3, 4, 10, 1], [5, 2, 12, 7], [13, 9, 6, 11, 8]]
27: [[3, 4, 10], [1, 5, 2, 12, 7, 13, 9], [6, 11, 8]]
