0: [[3, 5, 19, 2, 10, 1, 4], [6, 14, 13, 7, 9, 11], [8, 12, 15, 22, 20, 16, 17, 18], [23, 21, 24]]
1: [[3, 5, 19, 2, 10, 1, 4], [6, 14, 13, 7, 9, 11], [8, 12, 15, 22, 20, 16, 17, 18], [23, 21, 24]]
2: [[3, 5, 19, 2, 10, 1, 4], [6, 14, 13, 7, 9, 11], [8, 12, 15, 22, 20, 16, 17, 18], [23, 21, 24]]
3: [[3, 5, 19, 2, 10, 1, 4], [6, 14, 13, 7, 9, 11], [8, 12, 15, 22, 20, 16, 17, 18], [23, 21, 24]]
4: [[3, 5, 19, 2, 10, 1, 4], [6, 14, 13, 7, 9, 11], [8, 12, 15, 22, 20, 16, 17, 18], [23, 21, 24]]
5: [[3, 5, 19, 2, 10, 1, 4], [6, 14, 13, 7, 9, 11], [8, 12, 15, 22, 20, 16, 17, 18], [23, 21, 24]]
6: [[3, 5, 19, 2, 10, 1, 4], [6, 14, 13, 7, 9, 11], [8, 12, 15, 22, 20, 16, 17, 18], [23, 21, 24]]
7: [[3, 5, 19, 2, 10, 1, 4], [6, 14, 13, 7, 9, 11], [8, 12, 15, 22, 20, 16, 17, 18], [23, 21, 24]]
8: [[3, 5, 19, 2, 10, 1, 4], [6, 14, 13, 7, 9, 11], [8, 12, 15, 22, 20, 16, 17, 18], [23, 21, 24]]
9: [[3, 5, 19, 2, 10, 1, 4], [6, 14, 13, 7, 9, 11], [8, 12, 15, 22, 20, 16, 17, 18], [23, 21, 24]]
10: [[3, 5, 19, 2, 10, 1, 4], [6, 14, 13, 7, 9, 11], [8, 12, 15, 22, 20, 16, 17, 18], [23, 21, 24]]
11: [[3, 5, 19, 2, 10, 1, 4], [6, 14, 13, 7, 9, 11], [8, 12, 15, 22, 20, 16, 17, 18], [23, 21, 24]]
12: [[3, 5, 19, 2, 10, 1, 4], [6, 14, 13, 7, 9, 11], [8, 12, 15, 22, 20, 16, 17, 18], [23, 21, 24]]
