0: [[10, 1, 4], [5, 3], [6, 9, 7, 8, 11, 13], [2, 12]]
1: [[10, 1, 4], [5, 3], [6, 9, 7, 8, 11, 13], [2, 12]]
2: [[10, 1, 4], [5, 3], [6, 9, 7, 8, 11, 13], [2, 12]]
3: [[10, 1, 4], [5, 3], [6, 9, 7, 8, 11, 13], [2, 12]]
4: [[10, 1, 4], [5, 3], [6, 9, 7, 8, 11, 13], [2, 12]]
5: [[10, 1, 4], [5, 3], [6, 9, 7, 8, 11, 13], [2, 12]]
6: [[10, 1, 4], [5, 3], [6, 9, 7, 8, 11, 13], [2, 12]]
7: [[10, 1, 4], [5, 3], [6, 9, 7, 8, 11, 13], [2, 12]]
8: [[10, 1, 4], [5, 3], [6, 9, 7, 8, 11, 13], [2, 12]]
9: [[10, 1, 4], [5, 3], [6, 9, 7, 8, 11, 13], [2, 12]]
10: [[10, 1, 4], [5, 3], [6, 9, 7, 8, 11, 13], [2, 12]]
11: [[10, 1, 4], [5, 3], [6, 9, 7, 8, 11, 13], [2, 12]]
12: [[10, 1, 4], [5, 3], [6, 9, 7, 8, 11, 13], [2, 12]]
13: [[10, 1, 4], [5, 3], [6, 9, 7, 8, 11, 13], [2, 12]]
14: [[10, 1, 4], [5, 3], [6, 9, 7, 8, 11, 13], [2, 12]]
15: [[10, 1, 4, 5, 3], [6, 9], [7, 8, 11, 13], [2, 12]]
16: [[10, 1, 4, 5, 3], [6, 9], [7, 8, 11, 13], [2, 12]]
17: [[10, 1, 4, 5], [3, 6], [9, 7, 8, 11, 13], [2, 12]]
18: [[10, 1, 4, 5], [3, 6], [9, 7, 8, 11, 13], [2, 12]]
19: [[10, 1, 4, 5], [3, 6], [9, 7, 8, 11, 13], [2, 12]]
20: [[10, 1, 4, 5], [3, 6], [9, 7, 8, 11, 13], [2, 12]]
21: [[10, 1, 4, 5], [3, 6], [9, 7, 8, 11, 13], [2, 12]]
22: [[10, 1, 4, 5], [3, 6], [9, 7, 8, 11, 13], [2, 12]]
23: [[10, 1, 4, 5], [3, 6], [9, 7, 8, 11, 13], [2, 12]]
24: [[10, 1], [4, 5], [3, 6, 9, 7, 8, 11, 13], [2, 12]]
25: [[10, 1], [4, 5], [3, 6, 9, 7, 8, 11, 13], [2, 12]]
26: [[10, 1], [4, 5], [3, 6, 9, 7, 8, 11, 13], [2, 12]]
27: [[10, 1], [4, 5], [3, 6, 9, 7, 8, 11, 13], [2, 12]]
