0: [[1, 3, 2, 14, 4, 6], [5, 7, 10, 8], [11, 13, 12, 9], [15, 16], [17, 18, 19, 20]]
1: [[1, 3, 2, 14, 6, 4], [5, 7, 10, 8], [9, 11, 13, 12], [15, 16], [17, 18, 19, 20]]
2: [[1, 3, 2, 14, 6, 4], [5, 7, 10, 8], [9, 11, 13, 12], [15, 16], [17, 18, 19, 20]]
3: [[1, 3, 2, 14, 6, 4], [5, 7, 10, 8], [9, 11, 13, 12], [15, 16], [17, 18, 19, 20]]
4: [[1, 3, 2, 14, 6, 4], [5, 7, 10, 8], [9, 11, 13, 12], [15, 16], [17, 18, 19, 20]]
5: [[1, 3, 2, 14, 6, 4], [5, 7, 10, 8], [9, 11, 13, 12], [15, 16], [17, 18, 19, 20]]
6: [[1, 3, 2, 14, 6, 4], [5, 7, 10, 8], [9, 11, 13, 12], [15, 16], [17, 18, 19, 20]]
7: [[1, 3, 2, 14, 6, 4], [5, 7, 10, 8], [9, 11, 13, 12], [15, 16], [17, 18, 19, 20]]
8: [[1, 3, 2, 14, 6, 4], [5, 7, 10, 8], [9, 11, 13, 12], [15, 16], [17, 18, 19, 20]]
9: [[1, 3, 2, 14, 6, 4], [5, 7, 10, 8], [9, 11, 13, 12], [15, 16], [17, 18, 19, 20]]
10: [[1, 3, 2, 14, 6, 4], [5, 7, 10, 8], [9, 11, 13, 12], [15, 16], [17, 18, 19, 20]]
11: [[1, 3, 2, 14, 6, 4], [5, 7, 10, 8], [9, 11, 13, 12], [15, 16], [17, 18, 19, 20]]
12: [[1, 3, 2, 14, 6, 4], [5, 7, 10, 8], [9, 11, 13, 12], [15, 16], [17, 18, 19, 20]]
13: [[1, 3, 2, 14, 6, 4], [5, 7, 10, 8], [9, 11, 13, 12], [15, 16], [17, 18, 19, 20]]
14: [[1, 3, 2, 14, 6, 4], [5, 7, 10, 8], [9, 11, 13, 12], [15, 16], [17, 18, 19, 20]]
15: [[1, 3, 2, 14, 6, 4], [5, 7, 10, 8], [9, 11, 13, 12], [15, 16], [17, 18, 19, 20]]
16: [[1, 3, 2, 14, 6, 4], [5, 7, 10, 8], [9, 11, 13, 12], [15, 16], [17, 18, 19, 20]]
17: [[1, 3, 2, 14, 6, 4], [5, 7, 10, 8], [9, 11, 13, 12], [15, 16], [17, 18, 19, 20]]
18: [[1, 3, 2, 14, 6, 4], [5, 7, 10, 8], [9, 11, 13, 12], [15, 16], [17, 18, 19, 20]]
19: [[6, 1, 3, 2, 14, 4], [5, 7, 10, 8, 9], [11, 13, 12], [15, 16], [17, 18, 19, 20]]
20: [[6, 1, 3, 2, 14, 4], [5, 7, 10, 8, 9], [11, 13, 12], [15, 16], [17, 18, 19, 20]]
21: [[6, 1, 3, 2, 14, 4], [5, 7, 10, 8, 9], [11, 13, 12], [15, 16], [17, 18, 19, 20]]
22: [[1, 3, 2, 14, 6, 4], [5, 7, 10], [8, 9, 11, 13, 12], [15, 16], [17, 18, 19, 20]]
23: [[1, 3, 2, 14, 6, 4], [5, 7, 10], [8, 9, 11, 13, 12], [15, 16], [17, 18, 19, 20]]
24: [[1, 3, 2, 14, 6, 4], [5, 7, 10], [8, 9, 11, 13, 12], [15, 16], [17, 18, 19, 20]]
25: [[1, 3, 2, 14, 5, 6, 4], [7, 10, 8], [9, 11, 13, 12], [15, 16], [17, 18, 19, 20]]
26: [[1, 3, 2, 14, 5, 6, 4], [7, 10, 8], [9, 11, 13, 12], [15, 16], [17, 18, 19, 20]]
27: [[6, 1, 3, 2, 14, 5, 4], [7, 10, 8, 9], [11, 13, 12], [15, 16], [17, 18, 19, 20]]
28: [[6, 1, 3, 2, 14, 5, 4], [7, 10, 8, 9], [11, 13, 12], [15, 16], [17, 18, 19, 20]]
29: [[6, 1, 3, 2, 14, 5, 4], [7, 10, 8, 9], [11, 13, 12], [15, 16], [17, 18, 19, 20]]
30: [[1, 3, 2, 14, 6], [5, 7, 10, 8, 4], [9, 11, 13, 12], [15, 16], [17, 18, 19, 20]]
31: [[1, 3, 2, 14, 6], [5, 7, 10, 8, 4], [9, 11, 13, 12], [15, 16], [17, 18, 19, 20]]
32: [[1, 3, 2, 14, 6], [5, 7, 10, 4], [8, 9, 11, 13, 12], [15, 16], [17, 18, 19, 20]]
33: [[1, 3, 2, 14, 6], [5, 7, 10, 4], [8, 9, 11, 13, 12], [15, 16], [17, 18, 19, 20]]
34: [[1, 3, 2, 14, 6], [5, 7, 10, 4], [8, 9, 11, 13, 12], [15, 16], [17, 18, 19, 20]]
35: [[1, 3, 2, 14, 6], [5, 7, 10, 4], [8, 9, 11, 13, 12], [15, 16], [17, 18, 19, 20]]
36: [[1, 3, 2, 14, 6, 4], [5, 7, 10, 8], [9, 11, 13, 12, 15], [16, 17], [18, 19, 20]]
37: [[1, 3, 2, 14, 6, 4], [5, 7, 10, 8], [9, 11, 13, 12, 15], [16, 17], [18, 19, 20]]
38: [[1, 3, 2, 14, 5, 6, 4], [7, 10, 8], [9, 11, 13, 12, 15], [16, 17], [18, 19, 20]]
39: [[1, 3, 2, 14, 6, 4], [5, 7, 10, 8, 9], [11, 13, 12, 15], [16, 17], [18, 19, 20]]
40: [[1, 3, 2, 14, 6, 4], [5, 7, 10, 8, 9], [11, 13, 12, 15], [16, 17], [18, 19, 20]]
41: [[1, 3, 2, 14, 5, 6, 4], [7, 10], [8, 9, 11, 13], [12, 15], [16, 17, 18, 19, 20]]
