0: [[37, 7], [3, 5, 4], [10, 9], [1, 6], [2, 12, 22], [11, 8], [14, 15], [28, 13, 23], [16, 21, 17], [27, 18], [19, 20, 50], [26, 25], [59, 24], [31, 29, 54], [30, 33, 32], [42, 34, 38], [39, 46, 47], [36, 43, 44], [40, 45, 56], [60, 41, 53], [49, 61, 48], [51, 35, 52], [55, 57], [58, 62], [63, 68], [66, 65, 64], [75, 70, 69, 67, 73, 71, 72], [74, 77, 76, 78], [79, 86, 81, 82], [80, 83, 85, 84, 87, 88]]
1: [[37, 7], [3, 5, 4], [10, 9], [1, 6], [2, 12, 22], [11, 8], [14, 15], [28, 13, 23, 16], [21, 17], [27, 18], [19, 20, 50], [26, 25, 59, 24], [31, 29, 54], [30, 33, 32], [42, 38, 35], [34, 44, 40], [36, 39, 45], [41, 43, 63], [46, 60, 49], [56, 47], [52, 48], [57, 55, 51], [61, 53], [62, 58, 68], [66, 65, 64], [75, 70, 69, 67, 73, 71, 72], [74, 77, 76, 78], [79, 86, 81, 82], [80, 83, 85], [84, 87, 88]]
2: [[37, 7], [3, 5, 4], [10, 9], [1, 6], [2, 12, 22], [11, 8], [14, 15], [28, 13, 23], [16, 21, 17], [27, 18], [19, 20, 50], [26, 25], [59, 24], [31, 29, 54], [30, 33], [32, 42, 38], [35, 34], [44, 36], [41, 40, 45], [39, 43], [46, 47, 52], [63, 56, 49], [48, 60, 61, 55, 57, 51, 53], [62, 58, 68, 66], [65, 64, 75, 70], [69, 67, 73, 71, 72, 74, 77, 76, 78, 79, 86, 81, 82, 80, 83, 85], [84, 87, 88]]
3: [[37, 7], [3, 5, 4], [10, 9], [1, 6], [2, 12, 22], [11, 8], [14, 15], [28, 13, 23, 16], [21, 17], [27, 18], [19, 20, 50, 26], [25, 59], [24, 31, 29], [54, 30, 33], [32, 42, 38, 35], [34, 39, 40], [36, 41, 63], [43, 47, 44], [60, 61], [49, 48, 45, 53], [55, 46, 51, 56], [52, 58, 57, 62], [68, 66, 65, 64, 75, 70, 69, 67, 73, 71, 72, 74, 77, 76, 78, 79, 86, 81, 82, 80, 83, 85, 84, 87, 88]]
4: [[37, 7], [3, 5, 4], [10, 9], [1, 6], [2, 12, 22], [11, 8], [14, 15], [28, 13, 23], [16, 21, 17], [27, 18], [19, 20, 50], [26, 25], [59, 24], [31, 29, 54], [30, 33, 32], [42, 38], [35, 34, 36, 45, 39, 40, 47, 41, 43], [63, 61, 46, 49, 44, 48, 51, 52], [53, 57, 55, 58, 62, 56, 60, 68, 66, 65, 64, 75, 70, 69, 67, 73, 71, 72, 74, 77, 76, 78, 79, 86, 81, 82, 80, 83], [85, 84, 87, 88]]
5: [[37, 7], [3, 5, 4], [10, 9], [1, 6], [2, 12, 22], [11, 8], [14, 15], [28, 13, 23, 16], [21, 17], [27, 18, 19], [20, 50], [26, 25], [59, 24, 31], [29, 54], [30, 33, 32], [42, 38], [39, 34, 35, 44], [45, 40, 36, 47], [41, 46], [43, 62, 51], [61, 48, 49], [56, 53, 52], [55, 63, 57], [58, 60, 68], [66, 65, 64], [75, 70, 69], [67, 73], [71, 72], [74, 77, 76], [78, 79], [86, 81], [82, 80, 83, 85, 84, 87, 88]]
6: [[37, 7], [3, 5, 4], [10, 9], [1, 6], [2, 12, 22], [11, 8], [14, 15], [28, 13, 23, 16], [21, 17], [27, 18], [19, 20, 50], [26, 25, 59, 24], [31, 29, 54], [30, 33, 32], [42, 38, 35], [34, 36, 43], [44, 39, 40], [41, 45, 63], [46, 47, 49], [56, 48, 52], [57, 51, 61, 55, 60, 53, 62, 58, 68, 66, 65, 64, 75, 70, 69, 67, 73, 71, 72, 74, 77, 76, 78, 79, 86, 81, 82, 80, 83, 85, 84, 87, 88]]
7: [[37, 7], [3, 5, 4], [10, 9], [1, 6], [2, 12, 22], [11, 8], [14, 15], [28, 13, 23], [16, 21, 17], [27, 18], [19, 20, 50], [26, 25], [59, 24], [31, 29, 54], [30, 33], [32, 42, 38], [35, 34, 36], [39, 41, 43, 40, 45, 44, 46, 47, 49, 63, 56, 48, 51, 61, 55, 52, 53, 57, 60, 62, 58, 68, 66, 65, 64, 75, 70, 69, 67, 73, 71, 72, 74], [77, 76, 78, 79, 86, 81, 82, 80, 83, 85, 84, 87, 88]]
8: [[37, 7], [3, 5, 4], [10, 9], [1, 6], [2, 12, 22], [11, 8], [14, 15], [28, 13, 23], [16, 21, 17], [27, 18], [19, 20, 50], [26, 25], [59, 24], [31, 29, 54], [30, 33], [32, 42, 38], [35, 34, 36, 47, 39], [45, 40], [43, 56], [44, 46, 41, 48, 52, 51], [58, 49, 55, 57, 53, 60, 62, 63, 61, 68, 66, 65, 64, 75], [70, 69, 67], [73, 71, 72, 74, 77], [76], [78, 79, 86, 81, 82, 80, 83, 85, 84, 87, 88]]
9: [[37, 7], [3, 5, 4], [10, 9], [1, 6], [2, 12, 22], [11, 8], [14, 15], [28, 13, 23, 16], [21, 17], [27, 18], [19, 20, 50], [26, 25, 59], [24, 31], [29, 54, 30, 33], [32, 42, 34], [35, 39], [38, 43, 41], [40, 36, 46, 44, 56], [45, 47, 49], [51, 60, 48], [52, 53, 57], [55, 58, 62], [61, 63], [68, 66], [65, 64], [75, 70, 69], [67, 73, 71, 72], [74, 77, 76, 78], [79, 86, 81, 82], [80, 83, 85, 84, 87, 88]]
10: [[37, 7], [3, 5, 4], [10, 9], [1, 6], [2, 12, 22], [11, 8], [14, 15], [28, 13, 23, 16], [21, 17], [27, 18], [19, 20, 50, 26], [25, 59, 24, 31], [29, 54], [30, 33, 32], [42, 38], [35, 34], [36, 47, 46, 45, 39, 43, 40, 62, 55, 41, 44, 49, 48, 52], [58, 63, 53, 51, 56, 60, 57, 61, 68, 66, 65, 64, 75, 70], [69, 67, 73, 71, 72, 74, 77, 76, 78, 79, 86, 81, 82, 80, 83, 85, 84, 87, 88]]
