0: [[4, 10], [3, 1], [6, 8], [2, 13, 5], [12, 7], [11, 9]]
1: [[4, 10], [3, 1], [6, 8], [2, 13, 5], [12, 7], [11, 9]]
2: [[4, 10], [3, 1], [6, 8], [2, 13, 5], [12, 7], [11, 9]]
3: [[4, 10], [3, 1], [6, 8], [2, 13, 5], [12, 7], [11, 9]]
4: [[4, 10], [3, 1], [6, 8], [2, 13, 5], [12, 7], [11, 9]]
5: [[4, 10], [3, 1], [6, 8], [2, 13, 5], [12, 7], [11, 9]]
6: [[4, 10], [3, 1], [6, 8], [2, 13, 5], [12, 7], [11, 9]]
7: [[4, 10], [3, 1], [6, 8], [2, 13, 5], [12, 7], [11, 9]]
8: [[4, 10, 3, 1, 6], [8, 2, 13, 5], [12, 7, 11, 9]]
9: [[4, 10], [3, 1], [6, 8, 2, 13, 5, 12, 7, 11, 9]]
10: [[4, 10], [3, 1], [6, 8], [2, 13], [5, 12, 7, 11, 9]]
11: [[4, 10], [3, 1, 6, 8, 2, 13, 5], [12, 7, 11, 9]]
12: [[4, 10], [3, 1], [6, 8, 2], [13, 5], [12, 7], [11, 9]]
13: [[4, 10], [3, 1], [6, 8, 2], [13, 5], [12, 7], [11, 9]]
14: [[4, 10], [3, 1], [6, 8, 2], [13, 5], [12, 7], [11, 9]]
15: [[4, 10], [3, 1], [6, 8, 2], [13, 5], [12, 7], [11, 9]]
16: [[4, 10], [3, 1], [6, 8, 2], [13, 5], [12, 7], [11, 9]]
17: [[4, 10], [3, 1], [6, 8, 2], [13, 5], [12, 7], [11, 9]]
18: [[4, 10], [3, 1], [6, 8], [2, 13], [5, 12], [7, 11, 9]]
19: [[4, 10], [3, 1], [6, 8], [2, 13], [5, 12, 7, 11, 9]]
20: [[4, 10], [3, 1], [6, 8], [2, 13], [5, 12], [7, 11, 9]]
21: [[4, 10], [3, 1, 6], [8, 2], [13, 5], [12, 7], [11, 9]]
22: [[4, 10, 3, 1, 6], [8, 2], [13, 5], [12, 7], [11, 9]]
23: [[4, 10, 3], [1, 6], [8, 2], [13, 5], [12, 7], [11, 9]]
24: [[4, 10, 3], [1, 6], [8, 2], [13, 5], [12, 7], [11, 9]]
25: [[4, 10, 3], [1, 6], [8, 2], [13, 5], [12, 7, 11, 9]]
