0: [[19, 17], [14, 10, 7, 6], [18, 20, 4], [3, 1, 11], [2, 5, 8], [12, 13], [16, 9, 15]]
1: [[19, 17], [14, 10, 7, 6], [18, 20, 4], [3, 1, 11], [2, 5, 8], [12, 13], [16, 9, 15]]
2: [[19, 17, 14, 15], [10, 7], [18, 20, 4], [3, 1, 11], [2, 5, 8], [12, 13], [16, 9, 6]]
3: [[19, 17, 14, 15], [10, 7], [18, 20, 4], [3, 1, 11], [2, 5, 8], [12, 13], [16, 9, 6]]
4: [[19, 17, 14, 15], [10, 7], [18, 20, 4], [3, 1, 11], [2, 5, 8], [12, 13], [16, 9, 6]]
5: [[19, 17, 14, 15], [10, 7], [18, 20, 4], [3, 1, 11], [2, 5, 8], [12, 13], [16, 9, 6]]
6: [[19, 17, 14, 15], [10, 7], [18, 20, 4], [3, 1, 11], [2, 5, 8], [12, 13], [16, 9, 6]]
7: [[19, 17, 14, 15], [10, 7], [18, 20, 4], [3, 1, 11], [2, 5, 8], [12, 13], [16, 9, 6]]
8: [[19, 17, 14, 15], [10, 7], [18, 20, 4], [3, 1, 11], [2, 5, 8], [12, 13], [16, 9, 6]]
9: [[19, 17, 14, 15], [10, 7], [18, 20, 4], [3, 1, 11], [2, 5, 8], [12, 13], [16, 9, 6]]
10: [[19, 17, 14, 15], [10, 7, 6], [18, 20, 4], [3, 1, 11], [2, 5, 8], [12, 13, 16, 9]]
11: [[19, 17], [14, 15], [10, 7], [18, 20, 4], [3, 1, 11], [2, 5], [8, 12, 13], [16, 9, 6]]
12: [[19, 17, 14, 15], [10, 7], [18, 20, 4], [3, 1, 11], [2, 5], [8, 12, 13], [16, 9, 6]]
13: [[19, 17, 14, 15], [10, 7], [18, 20, 4], [3, 1, 11], [2, 5], [8, 12, 13], [16, 9, 6]]
14: [[19, 17, 14, 15], [10, 7], [18, 20, 4], [3, 1, 11], [2, 5], [8, 12, 13], [16, 9, 6]]
15: [[19, 17, 14, 15], [10, 7], [18, 20, 4], [3, 1, 11], [2, 5], [8, 12, 13], [16, 9, 6]]
16: [[19, 17, 14], [10, 6, 7], [18, 20, 4], [3, 1, 11], [2, 5, 8, 12, 13, 16, 9, 15]]
17: [[19, 17], [14, 10, 6], [7, 18, 20, 4], [3, 1, 11], [2, 5], [8, 12, 13], [16, 9, 15]]
18: [[19, 17, 14, 15], [10, 6, 7], [18, 20], [3, 1, 4], [11, 2, 5, 8, 12, 13, 16, 9]]
19: [[19, 17, 14, 15], [10, 6, 7], [18, 20], [3, 1, 4], [11, 2, 5, 8, 12, 13, 16, 9]]
20: [[19, 17, 14, 15], [10, 6, 7], [18, 20], [3, 1, 4], [11, 2, 5, 8, 12, 13, 16, 9]]
21: [[19, 17, 14, 15], [10, 6, 7], [18, 20], [3, 1, 4], [11, 2, 5, 8, 12, 13, 16, 9]]
22: [[19, 17], [14, 10, 7, 6], [18, 20, 4], [3, 1, 11], [5, 8, 15], [12, 13, 16], [2, 9]]
23: [[19, 17], [14, 10, 6], [7], [18, 20, 4], [3, 1, 11], [2, 5, 8, 12, 13, 16, 9, 15]]
24: [[19, 17], [14, 10, 2], [7, 18, 20, 4], [3, 1, 11], [5, 8], [12, 13], [16, 9, 6, 15]]
25: [[19, 17], [14, 15], [7, 18], [20, 4], [3, 1], [11, 2, 5, 9], [8, 12, 13], [10, 16, 6]]
26: [[19, 17], [14, 15], [10, 7], [18, 20], [3, 1, 4], [11, 2, 5], [8, 12, 13], [16, 9, 6]]
27: [[19, 17, 14, 15], [10, 7, 18], [20, 4], [3, 1, 11], [2, 5, 8, 12, 13, 6, 16, 9]]
28: [[19, 17], [14, 10, 7, 6], [18, 20], [4, 3, 1, 11, 2, 5, 8, 12, 13, 16, 9, 15]]
29: [[19, 17], [14, 10, 7, 6], [18, 20], [4, 3, 1, 11, 2, 5, 8, 12, 13, 16, 9, 15]]
30: [[19, 17], [14, 10, 6], [7, 18, 20], [3, 1], [11, 2, 5, 9], [8, 12], [13, 16, 4, 15]]
31: [[19, 17, 14, 15], [10, 7, 6], [18, 20, 3, 4], [1, 11, 2], [5, 8], [12, 13, 16], [9]]
32: [[19, 17, 14, 15], [10, 7, 6], [18, 20], [3], [1, 11, 2], [5, 8, 12, 9], [13, 16, 4]]
33: [[19, 17], [14, 10, 6], [7, 18, 20], [3, 1, 11, 2, 5, 8, 12, 4], [13, 16, 9, 15]]
34: [[19, 17], [14, 10, 6], [7], [18, 20], [3, 1, 4], [11, 5, 9, 15], [8, 12, 13, 16, 2]]
35: [[19, 17], [14, 10], [6, 7], [18, 20, 4], [3, 1, 11, 2, 5, 8, 12, 13, 16, 9, 15]]
36: [[19, 17], [14, 10], [6, 7], [18, 20, 4], [3, 1, 11, 2, 5, 8, 12, 13, 16, 9, 15]]
37: [[19, 17, 14, 15], [10, 6], [7, 18, 20], [3, 1, 11, 2, 5, 8, 12, 13, 4], [16, 9]]
38: [[19, 17], [14, 15], [10, 7, 18], [20, 3, 1, 11, 2, 5, 8, 12, 13, 16, 6, 9, 4]]
39: [[19, 17, 14, 10, 15], [7, 18], [20, 3, 4], [1, 11, 2], [5, 8], [12, 13], [16, 9, 6]]
40: [[19, 17], [14, 15, 6, 7, 18, 20, 4, 3, 1, 11, 2, 5, 8, 12, 13, 10, 16], [9]]
41: [[19, 17], [14, 15, 10, 7, 18, 20, 4, 3, 1, 11, 6, 5, 8, 12, 13, 16, 2], [9]]
