0: [[5, 3, 1], [2, 8, 4, 10], [7, 13, 12], [9, 11, 6]]
1: [[5, 3, 1], [2, 8, 4, 10], [7, 13, 12], [9, 11, 6]]
2: [[5, 3, 1], [2, 8, 4, 10], [7, 13, 12], [9, 11, 6]]
3: [[5, 3, 1], [2, 8, 4, 10], [7, 13, 12], [9, 11, 6]]
4: [[5, 3, 1], [2, 8, 4, 10], [7, 13, 12], [9, 11, 6]]
5: [[5, 3, 1], [2, 8, 4, 10], [7, 13, 12], [9, 11, 6]]
6: [[5, 3, 1], [2, 8, 4, 10], [7, 13, 12], [9, 11, 6]]
7: [[5, 3, 1], [2, 8, 4, 10], [7, 13, 12], [9, 11, 6]]
8: [[5, 3, 1], [2, 8, 4, 10], [7, 13, 12], [9, 11, 6]]
9: [[5, 3, 1], [2, 8, 4, 10], [7, 13, 12], [9, 11, 6]]
10: [[5, 3, 1], [2, 8, 4, 10], [7, 13, 12], [9, 11, 6]]
11: [[5, 3, 1], [2, 8, 4, 10], [7, 13, 12], [9, 11, 6]]
12: [[5, 3, 1], [2, 8, 4, 10], [7, 13, 12], [9, 11, 6]]
13: [[5, 3, 1], [2, 8, 4, 10], [7, 13, 12], [9, 11, 6]]
14: [[5, 3, 1], [2, 8, 4, 10], [7, 13, 12], [9, 11, 6]]
15: [[5, 3, 1], [2, 8, 4, 10], [7, 13, 12], [9, 11, 6]]
16: [[5, 3, 1], [2, 8, 4, 10], [7, 13, 12], [9, 11, 6]]
17: [[5, 3, 1], [2, 8, 4, 10], [7, 13, 12], [9, 11, 6]]
18: [[5, 3, 1], [2, 8, 4, 10], [7, 13, 12], [9, 11, 6]]
19: [[5, 3, 1], [2, 8, 4, 10], [7, 13, 12], [9, 11, 6]]
20: [[5, 3, 1], [2, 8, 4, 10], [7, 13, 12], [9, 11, 6]]
21: [[5, 3, 1], [2, 8, 4, 10], [7, 13, 12], [9, 11, 6]]
22: [[5, 3, 1], [2, 8, 4, 10], [7, 13, 12], [9, 11, 6]]
23: [[5, 3, 1], [2, 8, 4, 10], [7, 13, 12], [9, 11, 6]]
24: [[5, 3, 1], [2, 8, 4, 10], [7, 13, 12], [9, 11, 6]]
25: [[5, 3, 1], [2, 8, 4, 10], [7, 13, 12], [9, 11, 6]]
