0: [[9, 2, 1, 13, 19], [7, 11], [3, 10, 6, 14, 4], [8, 12, 15, 16, 18, 17, 20, 22, 5], [21, 23, 24]]
1: [[9, 2, 1], [7, 11], [3, 5, 13, 10, 6, 14, 4], [8, 12, 15, 16, 18, 17, 20, 22, 19], [21, 23, 24]]
2: [[4, 19], [1, 9, 2], [7, 11], [3, 5, 13, 10, 6, 14], [8, 12, 15, 16, 18, 17, 20], [22, 21, 23, 24]]
3: [[19, 4], [9, 2, 1], [7, 11], [5, 13], [10, 6, 14, 8, 12, 15, 16, 18, 17, 20, 22, 3], [21, 23, 24]]
4: [[4, 19], [1, 9, 2], [7, 11], [3, 5, 13], [10, 6, 14], [8, 12], [15, 16, 18], [17, 20, 22], [21, 23, 24]]
5: [[4, 19], [1, 9, 2], [7, 11], [3, 5, 13, 10], [6, 14], [8, 12, 15], [16, 18], [17, 20], [22, 21, 23, 24]]
6: [[4, 19], [1, 9, 2], [7, 11, 3], [5, 13], [10, 6, 14, 8, 12, 15], [16, 18, 17, 20, 22], [21, 23, 24]]
7: [[9], [2, 7, 11], [3, 5, 4], [13, 10], [6, 14, 8], [12, 15, 16, 18], [17, 20, 22, 19, 1], [21, 23, 24]]
8: [[9], [2, 7, 11, 3, 1], [5, 13], [10, 6, 14], [8, 12, 19], [15, 16, 18, 17], [20, 22, 4], [21, 23, 24]]
9: [[4, 19], [1, 9, 2], [7, 11], [3, 5, 13], [10, 6], [14, 8, 12], [15, 16, 18], [17, 20], [22, 21, 23, 24]]
10: [[9], [2, 7, 11, 3], [5, 13, 10, 4, 19, 1], [6, 14], [8, 12, 15], [16, 18, 17], [20, 22], [21, 23, 24]]
11: [[9], [2, 7], [11, 3, 5, 4], [13, 10, 6], [14, 8, 12, 15], [16, 18], [17, 20, 22, 19, 1], [21, 23, 24]]
12: [[4, 19], [1, 9, 2], [7, 11], [3, 5, 13], [10, 6], [14, 8, 12, 15], [16, 18], [17, 20], [22, 21], [23, 24]]
13: [[4, 19], [1, 9, 2], [7, 11, 3], [5, 13, 10, 6], [14, 8, 12], [15, 16], [18, 17, 20], [22, 21, 23, 24]]
14: [[9], [2, 7, 11], [3, 5, 13, 4, 1], [10, 6], [14, 8, 19], [12, 15, 16], [18, 17, 20], [22, 21, 23, 24]]
15: [[9], [2, 7, 11, 1], [3, 5, 13], [10, 6], [14, 8, 12, 19], [15, 16, 4], [18, 17, 20, 22], [21, 23, 24]]
16: [[2, 7], [11, 3, 1], [5, 13], [10, 6], [14, 8], [12, 15, 4, 19], [16, 18], [17, 20, 22, 9], [21, 23, 24]]
17: [[9, 2, 7, 11, 1], [3, 5, 4], [13, 10], [6, 14, 8], [12, 15, 16], [18, 17, 20, 19], [22, 21, 23, 24]]
18: [[9, 2, 7], [11, 3], [5, 13], [10, 6, 4, 19, 1], [14, 8, 12, 15, 16, 18], [17, 20, 22], [21, 23, 24]]
19: [[9], [2, 7], [11, 3], [5, 13, 10, 4, 19, 1], [6, 14, 8], [12, 15], [16, 18], [17, 20, 22], [21, 23, 24]]
20: [[9], [2, 7], [11, 3, 5, 4], [13, 10, 19, 1], [6, 14], [8, 12, 15], [16, 18], [17, 20], [22, 21, 23, 24]]
21: [[4, 19, 1, 9], [2, 7, 11, 3, 5, 13, 10, 6, 14, 8, 12], [15, 16, 18], [17, 20, 22], [21, 23], [24]]
22: [[9], [2, 7], [11, 3, 4, 19, 1], [5, 13, 10, 6, 14, 8, 12], [15, 16, 18, 17, 20, 22, 21], [23, 24]]
23: [[9], [2, 7], [11, 3], [5, 13, 10, 4, 19, 1], [6, 14, 8], [12, 15, 16], [18, 17], [20, 22], [21, 23, 24]]
24: [[9], [2, 7, 11], [3, 5, 4], [13, 10, 6, 1], [14, 8], [12, 15, 16], [18, 17, 19], [20, 22, 21], [23, 24]]
25: [[9], [2, 7], [11, 3, 5, 4], [13, 10, 6, 1], [14, 8, 19], [12, 15, 16], [18, 17, 20], [22, 21, 23, 24]]
26: [[9, 2, 7, 4, 1], [11, 3], [5, 13], [10, 6], [14, 8, 19], [12, 15, 16, 18, 17, 20], [22, 21, 23, 24]]
27: [[4, 19], [1, 9, 2], [7, 11], [3, 5, 13], [10, 6], [14, 8, 12], [15, 16, 18], [17], [20, 22, 21, 23, 24]]
28: [[4, 19], [1, 9, 2, 7], [11, 3], [5, 13, 10, 6, 14, 8, 12, 15], [16, 18, 17], [20, 22, 21, 23, 24]]
29: [[4, 19], [1, 9, 2], [7, 11, 3], [5, 13], [10, 6], [14, 8, 12], [15, 16], [18, 17, 20], [22, 21], [23, 24]]
30: [[4, 19], [1, 9], [2, 7, 11, 3, 5, 13, 10, 6, 14, 8], [12, 15, 16], [18, 17, 20], [22, 21, 23], [24]]
31: [[19, 4], [9, 2, 1], [7, 11, 3, 5, 13, 10, 6, 14, 8, 12, 15, 16, 18, 17], [20, 22, 21, 23], [24]]
32: [[9], [2, 7, 1], [11, 3], [5, 13], [10, 6, 14, 8], [12, 15, 16], [18, 17, 20], [22, 21, 4, 19], [23, 24]]
33: [[9], [2, 7], [11, 3], [5, 13, 10], [6, 14], [8, 12, 19, 1], [15, 16, 4], [18, 17, 20], [22, 21, 23, 24]]
34: [[4, 19], [1, 9, 2], [7, 11], [3, 5, 13], [10, 6], [14, 8, 12], [15, 16, 18], [17, 20, 22, 21, 23, 24]]
35: [[9, 2, 7, 1], [11, 3], [5, 13, 10, 6], [14, 8], [12, 15, 4, 19], [16, 18, 17], [20, 22, 21, 23, 24]]
36: [[4, 19], [1, 9, 2], [7, 11, 3], [5, 13, 10, 6], [14, 8], [12, 15], [16, 18], [17, 20, 22, 21, 23, 24]]
37: [[2, 7], [11, 3, 1], [5, 13], [10, 6], [14, 8, 12, 19], [15, 16, 4], [18, 17, 9], [20, 22, 21], [23, 24]]
38: [[9], [2, 7], [11, 3, 5, 4, 1], [13, 10], [6, 14, 8], [12, 15, 19], [16, 18, 17], [20, 22, 21], [23, 24]]
39: [[4, 19], [1, 9, 2], [7, 11, 3], [5, 13, 10, 6, 14, 8, 12, 15, 16, 18, 17, 20, 22, 21, 23, 24]]
