0: [[8, 3], [2, 10, 1], [13, 5, 9], [17, 7], [11, 12], [14, 16, 4, 6, 15], [18, 19, 20]]
1: [[8, 3], [2, 10, 1], [13, 5, 9], [17, 7], [11, 12], [14, 16, 4, 6, 15], [18, 19, 20]]
2: [[8, 3], [2, 10, 1], [13, 5, 9], [17, 7], [11, 12], [14, 16, 4, 6, 15], [18, 19, 20]]
3: [[8, 3], [2, 10, 1], [13, 5, 9], [17, 7], [11, 12], [14, 16, 4, 6, 15], [18, 19, 20]]
4: [[8, 3], [2, 10, 1], [13, 5, 9], [17, 7], [11, 12], [14, 16, 4, 6, 15], [18, 19, 20]]
5: [[8, 3], [2, 10, 1], [13, 5, 9], [17, 7], [11, 12], [14, 16, 4, 6, 15], [18, 19, 20]]
6: [[8, 3], [2, 10, 1], [13, 5, 9], [17, 7], [11, 12], [14, 16, 4, 6, 15], [18, 19, 20]]
7: [[8, 3], [2, 10, 1], [13, 5, 9], [17, 7], [11, 12], [14, 16, 4, 6, 15], [18, 19, 20]]
8: [[8, 3], [2, 10, 1], [13, 5, 9], [17, 7], [11, 12], [14, 16, 4, 6, 15], [18, 19, 20]]
9: [[8, 3], [2, 10, 1], [13, 5, 9], [17, 7], [11, 12], [14, 16, 4, 6, 15], [18, 19, 20]]
10: [[8, 3], [2, 10, 1], [13, 5, 9], [17, 7], [11, 12], [14, 16, 4, 6, 15], [18, 19, 20]]
11: [[8, 3], [2, 10, 1], [13, 5, 9], [17, 7], [11, 12], [14, 16, 4, 6, 15], [18, 19, 20]]
12: [[8, 3], [2, 10, 1], [13, 5, 9], [17, 7], [11, 12], [14, 16, 4, 6, 15], [18, 19, 20]]
13: [[8, 3], [2, 10, 1], [13, 5, 9], [17, 7], [11, 12], [14, 16, 4, 6, 15], [18, 19, 20]]
14: [[8, 3], [2, 10, 1], [13, 5, 9], [17, 7], [11, 12], [14, 16, 4, 6, 15], [18, 19, 20]]
15: [[8, 3], [2, 10, 1], [13, 5, 9], [17, 7], [11, 12], [14, 16, 4, 6, 15], [18, 19, 20]]
16: [[8, 3], [2, 10, 1], [13, 5, 9], [17, 7], [11, 12], [14, 16, 4, 6, 15], [18, 19, 20]]
17: [[8, 3], [2, 10, 1], [13, 5, 9], [17, 7], [11, 12], [14, 16, 4, 6, 15], [18, 19, 20]]
18: [[8, 3], [2, 10, 1], [13, 5, 9], [17, 7], [11, 12], [14, 16, 4, 6, 15], [18, 19, 20]]
19: [[8, 3], [2, 10, 1], [13, 5, 9], [17, 7], [11, 12], [14, 16, 4, 6, 15], [18, 19, 20]]
20: [[8, 3], [2, 10, 1], [13, 5, 9], [17, 7], [11, 12], [14, 16, 4, 6, 15], [18, 19, 20]]
21: [[8, 3], [2, 10, 1], [13, 5, 9], [17, 7], [11, 12], [14, 16, 4, 6, 15], [18, 19, 20]]
22: [[8, 3], [2, 10, 1], [13, 5, 9], [17, 7], [11, 12], [14, 16, 4, 6, 15], [18, 19, 20]]
23: [[8, 3], [2, 10, 1], [13, 5, 9], [17, 7], [11, 12], [14, 16, 4, 6, 15], [18, 19, 20]]
24: [[8, 3], [2, 10, 1], [13, 5, 9], [17, 7], [11, 12], [14, 16, 4, 6, 15], [18, 19, 20]]
25: [[8, 3], [2, 10, 1], [13, 5, 9], [17, 7], [11, 12], [14, 16, 4, 6, 15], [18, 19, 20]]
26: [[8, 3], [2, 10, 1], [13, 5, 9], [17, 7], [11, 12], [14, 16, 4, 6, 15], [18, 19, 20]]
27: [[8, 3], [2, 10, 1], [13, 5, 9], [17, 7], [11, 12], [14, 16, 4, 6, 15], [18, 19, 20]]
28: [[8, 3], [2, 10, 1], [13, 5, 9], [17, 7], [11, 12], [14, 16, 4, 6, 15], [18, 19, 20]]
29: [[8, 3], [2, 10, 1], [13, 5, 9], [17, 7], [11, 12], [14, 16, 4, 6, 15], [18, 19, 20]]
30: [[8, 3], [2, 10, 1], [13, 5, 9], [17, 7], [11, 12], [14, 16, 4, 6, 15], [18, 19, 20]]
31: [[8, 3], [2, 10, 1], [13, 5, 9], [17, 7], [11, 12], [14, 16, 4, 6, 15], [18, 19, 20]]
32: [[8, 3], [2, 10, 1], [13, 5, 9], [17, 7], [11, 12], [14, 16, 4, 6, 15], [18, 19, 20]]
33: [[8, 3], [2, 10, 1], [13, 5, 9], [17, 7], [11, 12], [14, 16, 4, 6, 15], [18, 19, 20]]
34: [[8, 3], [2, 10, 1], [13, 5, 9], [17, 7], [11, 12], [14, 16, 4, 6, 15], [18, 19, 20]]
35: [[8, 3], [2, 10, 1], [13, 5, 9], [17, 7], [11, 12], [14, 16, 4, 6, 15], [18, 19, 20]]
36: [[8, 3], [2, 10, 1], [13, 5, 9], [17, 7], [11, 12], [14, 16, 4, 6, 15], [18, 19, 20]]
37: [[8, 3], [2, 10, 1], [13, 5, 9], [17, 7], [11, 12], [14, 16, 4, 6, 15], [18, 19, 20]]
38: [[8, 3], [2, 10, 1], [13, 5, 9], [17, 7], [11, 12], [14, 16, 4, 6, 15], [18, 19, 20]]
39: [[8, 3], [2, 10, 1], [13, 5, 9], [17, 7], [11, 12], [14, 16, 4, 6, 15], [18, 19, 20]]
40: [[8, 3], [2, 10, 1], [13, 5, 9], [17, 7], [11, 12], [14, 16, 4, 6, 15], [18, 19, 20]]
41: [[8, 3], [2, 10, 1], [13, 5, 9], [17, 7], [11, 12], [14, 16, 4, 6, 15], [18, 19, 20]]
