0: [[7, 1, 17, 5, 6, 2, 9, 10], [3, 4, 8, 13, 11, 15, 12], [19, 16, 18, 29, 24, 14], [22, 20, 23, 25, 28], [21, 27, 26]]
1: [[7, 1, 17, 5, 6, 2, 9, 10], [3, 4, 8, 13, 11, 15, 12], [19, 16, 18, 29, 24, 14], [22, 20, 23, 25, 28], [21, 27, 26]]
2: [[7, 1, 17, 5, 6, 2, 9, 10], [3, 4, 8, 13, 11, 15, 12], [19, 16, 18, 29, 24, 14], [22, 20, 23, 25, 28], [21, 27, 26]]
3: [[7, 1, 17, 5, 6, 2, 9, 10], [3, 4, 8, 13, 11, 15, 12], [19, 16, 18, 29, 24, 14], [22, 20, 23, 25, 28], [21, 27, 26]]
4: [[7, 1, 17, 5, 6, 2, 9, 10], [3, 4, 8, 13, 11, 15, 12], [19, 16, 18, 29, 24, 14], [22, 20, 23, 25, 28], [21, 27, 26]]
5: [[7, 1, 17, 5, 6, 2, 9, 10], [3, 4, 8, 13, 11, 15, 12], [19, 16, 18, 29, 24, 14], [22, 20, 23, 25, 28], [21, 27, 26]]
6: [[7, 1, 17, 5, 6, 2, 9, 10], [3, 4, 8, 13, 11, 15, 12], [19, 16, 18, 29, 24, 14], [22, 20, 23, 25, 28], [21, 27, 26]]
7: [[7, 1, 17, 5, 6, 2, 9, 10], [3, 4, 8, 13, 11, 15, 12], [19, 16, 18, 29, 24, 14], [22, 20, 23, 25, 28], [21, 27, 26]]
8: [[7, 1, 17, 5, 6, 2, 9, 10], [3, 4, 8, 13, 11, 15, 12], [19, 16, 18, 29, 24, 14], [22, 20, 23, 25, 28], [21, 27, 26]]
9: [[7, 1, 17, 5, 6, 2, 9, 10], [3, 4, 8, 13, 11, 15, 12], [19, 16, 18, 29, 24, 14], [22, 20, 23, 25, 28], [21, 27, 26]]
10: [[7, 1, 17, 5, 6, 2, 9, 10], [3, 4, 8, 13, 11, 15, 12], [19, 16, 18, 29, 24, 14], [22, 20, 23, 25, 28], [21, 27, 26]]
11: [[7, 1, 17, 5, 6, 2, 9], [10, 3, 4, 8, 13, 11, 15, 12], [19, 16, 18, 29, 24, 14], [22, 20, 23, 25, 28], [21, 27, 26]]
12: [[7, 1, 17, 5, 6, 2, 9], [10, 3, 4, 8, 13, 11, 15, 12], [19, 16, 18, 29, 24, 14], [22, 20, 23, 25, 28], [21, 27, 26]]
13: [[7, 1, 17, 5, 6, 2, 9], [3, 4, 8, 13, 11, 15, 10, 12], [19, 16, 18, 29, 24, 14], [22, 20, 23, 25, 28], [21, 27, 26]]
14: [[7, 1, 17, 5, 6, 2, 9], [10, 3, 4, 8, 13, 11, 15, 12], [19, 16, 18, 29, 24, 14], [22, 20, 23, 25, 28], [21, 27, 26]]
15: [[7, 1, 17, 5, 6, 2, 9], [10, 3, 4, 8, 13, 11, 15, 12], [19, 16, 18, 29, 24, 14], [22, 20, 23, 25, 28], [21, 27, 26]]
16: [[7, 1, 17, 5, 6, 2, 9], [10, 3, 4, 8, 13, 11, 15, 12], [19, 16, 18, 29, 24, 14], [22, 20, 23, 25, 28], [21, 27, 26]]
17: [[7, 1, 17, 5, 6, 2, 9], [10, 3, 4, 8, 13, 11, 15, 12], [19, 16, 18, 29, 24, 14], [22, 20, 23, 25, 28], [21, 27, 26]]
18: [[7, 1, 17, 5, 6, 2, 9], [10, 3, 4, 8, 13, 11, 15, 12], [19, 16, 18, 29, 24, 14], [22, 20, 23, 25, 28], [21, 27, 26]]
19: [[7, 1, 17, 5, 6, 2, 9], [10, 3, 4, 8, 13, 11, 15, 12], [19, 16, 18, 29, 24, 14], [22, 20, 23, 25, 28], [21, 27, 26]]
20: [[7, 1, 17, 5, 6, 2, 9], [10, 3, 4, 8, 13, 11, 15, 12], [19, 16, 18, 29, 24, 14], [22, 20, 23, 25, 28], [21, 27, 26]]
21: [[7, 1, 17, 5, 6, 2, 9], [10, 3, 4, 8, 13, 11, 15, 12], [19, 16, 18, 29, 24, 14], [22, 20, 23, 25, 28], [21, 27, 26]]
22: [[7, 1, 17, 5, 6, 2, 9, 10], [3, 4, 8, 13, 11, 15], [12, 19, 16, 18, 29, 24, 14], [22, 20, 23, 25, 28], [21, 27, 26]]
23: [[7, 1, 17, 5, 6, 2, 9, 10], [3, 4, 8, 13, 11, 15], [12, 19, 16, 18, 29, 24, 14], [22, 20, 23, 25, 28], [21, 27, 26]]
24: [[7, 1, 17, 5, 6, 2, 9, 10], [3, 4, 8, 13, 11, 15], [12, 19, 16, 18, 29, 24, 14], [22, 20, 23, 25, 28], [21, 27, 26]]
25: [[7, 1, 17, 5, 6, 2, 9], [3, 4, 8, 13, 11, 15], [10, 19, 16, 18, 24, 29, 12, 14], [22, 20, 23, 25, 28], [21, 27, 26]]
26: [[7, 1, 17, 5, 6, 2, 9, 10], [3, 4, 8, 13, 11, 15, 14], [19, 16, 18, 29, 24, 12], [22, 20, 23, 25, 28], [21, 27, 26]]
27: [[7, 1, 17, 5, 6, 2, 9, 10], [3, 4, 8, 13, 11, 15, 14], [19, 16, 18, 29, 24, 12], [22, 20, 23, 25, 28], [21, 27, 26]]
28: [[7, 1, 17, 5, 6, 2, 9, 10], [3, 4, 8, 13, 11, 15, 14], [19, 16, 18, 29, 24, 12], [22, 20, 23, 25, 28], [21, 27, 26]]
29: [[7, 1, 17, 5, 6, 2, 9], [10, 3, 4, 8, 13, 11], [15, 14, 19, 16, 18, 29, 24, 12], [22, 20, 23, 25, 28], [21, 27, 26]]
30: [[7, 1, 17, 5, 6, 2, 9], [3, 4, 8, 13, 11, 10], [15, 19, 16, 18, 29, 24, 12, 14], [22, 20, 23, 25, 28], [21, 27, 26]]
31: [[7, 1, 17, 5, 6, 2, 9], [10, 3, 4, 8, 13, 11], [15, 12, 19, 16, 18, 29, 24, 14], [22, 20, 23, 25, 28], [21, 27, 26]]
