0: [[2, 1, 10], [25, 6, 5], [4], [7, 24], [3], [9, 17, 8], [11, 15, 13], [19, 18], [23, 20, 16, 12, 14, 22], [29, 21, 27, 26], [28]]
1: [[2, 1, 10], [25, 6, 5], [4], [7, 24], [3], [9, 17, 8], [11, 15, 13], [19, 18], [23, 20, 16, 12, 14, 22], [29, 21, 27, 26], [28]]
2: [[2, 1], [10], [25, 6, 5], [4, 7, 24], [3], [9, 17, 8], [11, 15, 13], [19, 18], [23, 20, 16, 12, 14, 22], [29, 21, 27, 26], [28]]
3: [[2, 1, 10], [25], [6, 5], [4], [7, 24, 3], [9, 17, 8], [11, 15, 13], [19, 18], [23, 20, 16, 12, 14, 22], [29, 21, 27, 26], [28]]
4: [[2, 1, 10], [25], [6, 5], [4], [7, 24, 3], [9, 17, 8], [11, 15, 13], [19, 18], [23, 20, 16, 12, 14, 22], [29, 21, 27, 26], [28]]
5: [[2], [1, 10, 25], [6, 5, 4], [7, 24], [3], [9, 17, 8], [11, 15, 13], [19, 18], [23, 20, 16, 12, 14, 22], [29, 21, 27, 26], [28]]
6: [[22, 10, 11, 12, 1, 6, 3, 5, 4, 8], [2, 13, 15, 7, 9, 19, 14, 16, 17, 18], [20, 23, 21, 25, 26, 24, 27, 29, 28]]
7: [[22, 10, 11, 12, 1, 6, 3, 5, 4, 8], [2, 13, 15, 7, 9, 19, 14, 16, 17, 18], [20, 23, 21, 25, 26, 24, 27, 29, 28]]
8: [[22, 10, 11, 12, 1, 6, 3, 5, 4, 8], [2, 13, 15, 7, 9, 19, 14, 16, 17, 18], [20, 23, 21, 25, 26, 24, 27, 29, 28]]
9: [[22, 10, 11, 12, 1, 6, 3, 5, 4, 8], [2, 13, 15, 7, 9, 19, 14, 16, 17, 18], [20, 23, 21, 25, 26, 24, 27, 29, 28]]
10: [[22, 10, 11, 12, 1, 6, 3, 5, 4, 8], [2, 13, 15, 7, 9, 19, 14, 16, 17, 18], [20, 23, 21, 25, 26, 24, 27, 29, 28]]
11: [[22, 10, 11, 12, 1, 6, 3, 5, 4, 8], [2, 13, 15, 7, 9, 19, 14, 16, 17, 18], [20, 23, 21, 25, 26, 24, 27, 29, 28]]
12: [[22, 10, 11, 12, 1, 6, 3, 5, 4, 8], [2, 13, 15, 7, 9, 19, 14, 16, 17, 18], [20, 23, 21, 25, 26, 24, 27, 29, 28]]
13: [[22, 10, 11, 12, 1, 6, 3, 5, 4, 8], [2, 13, 15, 7, 9, 19, 14, 16, 17, 18], [20, 23, 21, 25, 26, 24, 27, 29, 28]]
14: [[22, 10, 11, 12, 1, 6, 3, 5, 4, 8], [2, 13, 15, 7, 9, 19, 14, 16, 17, 18], [20, 23, 21, 25, 26, 24, 27, 29, 28]]
15: [[22, 10, 11, 12, 1, 6, 3, 5, 4, 8], [2, 13, 15, 7, 9, 19, 14, 16, 17, 18], [20, 23, 21, 25, 26, 24, 27, 29, 28]]
16: [[22, 10, 11, 12, 1, 6, 3, 5, 4, 8], [2, 13, 15, 7, 9, 19, 14, 16, 17, 18], [20, 23, 21, 25, 26, 24, 27, 29, 28]]
17: [[22, 10, 11, 12, 1, 6, 3, 5, 4, 8], [2, 13, 15, 7, 9, 19, 14, 16, 17, 18], [20, 23, 21, 25, 26, 24, 27, 29, 28]]
18: [[22, 10, 11, 12, 1, 6, 3, 5, 4, 8], [2, 13, 15, 7, 9, 19, 14, 16, 17, 18], [20, 23, 21, 25, 26, 24, 27, 29, 28]]
19: [[22, 10, 11, 12, 1, 6, 3, 5, 4, 8], [2, 13, 15, 7, 9, 19, 14, 16, 17, 18], [20, 23, 21, 25, 26, 24, 27, 29, 28]]
20: [[22, 10, 11, 12, 1, 6, 3, 5, 4, 8], [2, 13, 15, 7, 9, 19, 14, 16, 17, 18], [20, 23, 21, 25, 26, 24, 27, 29, 28]]
21: [[22, 10, 11, 12, 1, 6, 3, 5, 4, 8], [2, 13, 15, 7, 9, 19, 14, 16, 17, 18], [20, 23, 21, 25, 26, 24, 27, 29, 28]]
22: [[22, 10, 11, 12, 1, 6, 3, 5, 4, 8], [2, 13, 15, 7, 9, 19, 14, 16, 17, 18], [20, 23, 21, 25, 26, 24, 27, 29, 28]]
