0: [[1, 3, 4, 10, 14, 2], [13, 7, 6, 11], [5, 8, 9, 12, 15, 16, 20, 18, 17, 19, 22], [21, 23, 24]]
1: [[1, 3, 4, 10, 14, 2], [13, 7, 6, 11], [5, 8, 9, 15, 16, 20, 18, 19, 22, 12, 17], [21, 23, 24]]
2: [[1, 3, 4, 10, 14, 2], [13, 7, 6, 11], [5, 8, 9, 15, 16, 20, 18, 19, 22, 12, 17], [21, 23, 24]]
3: [[1, 3, 4, 10, 14, 2], [13, 7, 6, 11], [5, 8, 9, 15, 16, 20, 18, 19, 22, 12, 17], [21, 23, 24]]
4: [[1, 3, 4, 10, 14, 2], [13, 7, 6, 11], [5, 8, 9, 15, 16, 20, 18, 19, 22, 12, 17], [21, 23, 24]]
5: [[1, 3, 4, 10, 14, 2], [13, 7, 6, 11], [5, 8, 9, 15, 16, 20, 18, 19, 22, 12, 17], [21, 23, 24]]
6: [[1, 3, 4, 10, 14, 2], [13, 7, 6, 11], [5, 8, 9, 15, 16, 20, 18, 19, 22, 12, 17], [21, 23, 24]]
7: [[1, 3, 4, 10, 14, 2], [13, 7, 6, 11], [5, 8, 9, 15, 16, 20, 18, 19, 22, 12, 17], [21, 23, 24]]
8: [[1, 3, 4, 10, 14, 2], [13, 7, 6, 11], [5, 8, 9, 15, 16, 20, 18, 19, 22, 12, 17], [21, 23, 24]]
9: [[1, 3, 4, 10, 14, 2], [13, 7, 6, 11], [5, 8, 9, 15, 16, 20, 18, 19, 22, 12, 17], [21, 23, 24]]
10: [[1, 3, 4, 10, 14, 2], [13, 7, 6, 11], [5, 8, 9, 15, 16, 20, 18, 19, 22, 12, 17], [21, 23, 24]]
11: [[1, 3, 4, 10, 14, 2], [13, 7, 6, 11], [5, 8, 9, 15, 16, 20, 18, 19, 22, 12, 17], [21, 23, 24]]
12: [[1, 3, 4, 10, 14, 2], [13, 7, 6, 11], [5, 8, 9, 15, 16, 20, 18, 19, 22, 12, 17], [21, 23, 24]]
13: [[1, 3, 4, 10, 14, 2], [13, 7, 6, 11], [5, 8, 9, 15, 16, 20, 18, 19, 22, 12, 17], [21, 23, 24]]
14: [[1, 3, 4, 10, 14, 2], [13, 7, 6, 11], [5, 8, 9, 15, 16, 20, 18, 19, 22, 12, 17], [21, 23, 24]]
15: [[1, 3, 4, 10, 14, 2], [13, 7, 6, 11], [5, 8, 9, 15, 16, 20, 18, 19, 22, 12, 17], [21, 23, 24]]
16: [[1, 3, 4, 10, 14, 2], [13, 7, 6, 11], [5, 8, 9, 15, 16, 20, 18, 19, 22, 12, 17], [21, 23, 24]]
17: [[1, 3, 4, 10, 14, 2], [13, 7, 6, 11], [5, 8, 9, 15, 16, 20, 18, 19, 22, 12, 17], [21, 23, 24]]
18: [[1, 3, 4, 10, 14, 2], [13, 7, 6, 11], [5, 8, 9, 15, 16, 20, 18, 19, 22, 12, 17], [21, 23, 24]]
19: [[1, 3, 4, 10, 14, 2], [13, 7, 6, 11], [5, 8, 9, 15, 16, 20, 18, 19, 22, 12, 17], [21, 23, 24]]
20: [[1, 3, 4, 10, 14, 2], [13, 7, 6, 11], [5, 8, 9, 15, 16, 20, 18, 19, 22, 12, 17], [21, 23, 24]]
21: [[1, 3, 4, 10, 14, 2], [13, 7, 6, 11], [5, 8, 9, 15, 16, 20, 18, 19, 22, 12, 17], [21, 23, 24]]
22: [[1, 3, 4, 10, 14, 2, 13], [7, 6, 11], [5, 8, 9, 15, 16, 20, 18, 19, 22, 12, 17], [21, 23, 24]]
23: [[1, 3, 4, 10, 14, 2, 13], [7, 6, 11], [5, 8, 9, 15, 16, 20, 18, 19, 22, 12, 17], [21, 23, 24]]
24: [[1, 3, 4, 10, 14, 2, 13], [7, 6, 11], [5, 8, 9, 15, 16, 20, 18, 19, 22, 12, 17], [21, 23, 24]]
